year,geo,disagg,value
2010,WLD,Residential,156.3
2011,WLD,Residential,158.7
2012,WLD,Residential,161.6
2013,WLD,Residential,165.6
2014,WLD,Residential,167.5
2015,WLD,Residential,171.1
2016,WLD,Residential,175.4
2017,WLD,Residential,179.5
2018,WLD,Residential,183
2019,WLD,Residential,185.9
2020,WLD,Residential,188.2
2021,WLD,Residential,190.5
2010,WLD,Non-residential,41.8
2011,WLD,Non-residential,42.9
2012,WLD,Non-residential,44.1
2013,WLD,Non-residential,45.1
2014,WLD,Non-residential,46.3
2015,WLD,Non-residential,47.3
2016,WLD,Non-residential,48.3
2017,WLD,Non-residential,49.4
2018,WLD,Non-residential,48.7
2019,WLD,Non-residential,49.7
2020,WLD,Non-residential,49.8
2021,WLD,Non-residential,51.2
2010,WLD,Total,198.1
2011,WLD,Total,201.7
2012,WLD,Total,205.7
2013,WLD,Total,210.7
2014,WLD,Total,213.7
2015,WLD,Total,218.3
2016,WLD,Total,223.7
2017,WLD,Total,228.9
2018,WLD,Total,231.7
2019,WLD,Total,235.6
2020,WLD,Total,238
2021,WLD,Total,241.7
