year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
1961,WLD,-2.5,,,,
1962,WLD,-2.5,,,,
1963,WLD,-2.5,,,,
1964,WLD,-2.4,,,,
1965,WLD,-2.3,,,,
1966,WLD,-1.9,,,,
1967,WLD,-1.4,,,,
1968,WLD,-1.2,,,,
1969,WLD,-0.9,,,,
1970,WLD,0.1,,,,
1971,WLD,0.2,,,,
1972,WLD,0.2,,,,
1973,WLD,0.8,,,,
1974,WLD,1,,,,
1975,WLD,1.1,,,,
1976,WLD,1.3,,,,
1977,WLD,1.4,,,,
1978,WLD,1.7,,,,
1979,WLD,2.1,,,,
1980,WLD,1.5,,,,
1981,WLD,1.3,,,,
1982,WLD,1,,,,
1983,WLD,0.8,,,,
1984,WLD,1.5,,,,
1985,WLD,1.9,,,,
1986,WLD,2,,,,
1987,WLD,2.3,,,,
1988,WLD,2.9,,,,
1989,WLD,3.1,,,,
1990,WLD,2.8,,,,
1991,WLD,2.7,,,,
1992,WLD,2.3,,,,
1993,WLD,2.4,,,,
1994,WLD,2.9,,,,
1995,WLD,3.3,,,,
1996,WLD,3.6,,,,
1997,WLD,3.5,,,,
1998,WLD,3.5,,,,
1999,WLD,4.1,,,,
2000,WLD,4.6,,,,
2001,WLD,4.9,,,,
2002,WLD,4.6,,,,
2003,WLD,5,,,,
2004,WLD,5.6,,,,
2005,WLD,6.1,,,,
2006,WLD,6.4,,,,
2007,WLD,7,,,,
2008,WLD,7.1,,,,
2009,WLD,6.5,,,,
2010,WLD,7.6,,,,
2011,WLD,8,,,,
2012,WLD,8.1,,,,
2013,WLD,8.3,,,,
2014,WLD,8.2,,,,
2015,WLD,8,,,,
2016,WLD,7.8,,,,
2017,WLD,8.3,,,,
2018,WLD,8.6,,,,
2019,WLD,8.5,,,,
2024,WLD,,9.4,,,
1961,AFG,-0.001,,,,
1962,AFG,-0.001,,,,
1963,AFG,-0.0003,,,,
1964,AFG,-0.0001,,,,
1965,AFG,0.0003,,,,
1966,AFG,0.0004,,,,
1967,AFG,0.0006,,,,
1968,AFG,0.0006,,,,
1969,AFG,0.0006,,,,
1970,AFG,0.0011,,,,
1971,AFG,0.0015,,,,
1972,AFG,-0.0001,,,,
1973,AFG,-0.0001,,,,
1974,AFG,0.0003,,,,
1975,AFG,0.0007,,,,
1976,AFG,0.0007,,,,
1977,AFG,0.0012,,,,
1978,AFG,0.001,,,,
1979,AFG,0.0011,,,,
1980,AFG,0.0008,,,,
1981,AFG,0.0008,,,,
1982,AFG,0.0008,,,,
1983,AFG,0.0005,,,,
1984,AFG,0,,,,
1985,AFG,-0.0006,,,,
1986,AFG,-0.0009,,,,
1987,AFG,-0.0003,,,,
1988,AFG,-0.0005,,,,
1989,AFG,0,,,,
1990,AFG,-0.0004,,,,
1991,AFG,-0.0007,,,,
1992,AFG,-0.0006,,,,
1993,AFG,-0.0008,,,,
1994,AFG,-0.0008,,,,
1995,AFG,-0.0002,,,,
1996,AFG,0.0004,,,,
1997,AFG,0.0009,,,,
1998,AFG,0.0011,,,,
1999,AFG,0.0024,,,,
2000,AFG,0.0029,,,,
2001,AFG,0.0024,,,,
2002,AFG,0.0032,,,,
2003,AFG,0.0028,,,,
2004,AFG,0.0026,,,,
2005,AFG,0.0027,,,,
2006,AFG,0.0032,,,,
2007,AFG,0.003,,,,
2008,AFG,0.0056,,,,
2009,AFG,0.0056,,,,
2010,AFG,0.0074,,,,
2011,AFG,0.0095,,,,
2012,AFG,0.0085,,,,
2013,AFG,0.0082,,,,
2014,AFG,0.0089,,,,
2015,AFG,0.0093,,,,
2016,AFG,0.0092,,,,
2017,AFG,0.0112,,,,
2018,AFG,0.0113,,,,
2019,AFG,0.0116,,,,
1961,AGO,-0.0524,,,,
1962,AGO,-0.0522,,,,
1963,AGO,-0.0519,,,,
1964,AGO,-0.0514,,,,
1965,AGO,-0.0515,,,,
1966,AGO,-0.0508,,,,
1967,AGO,-0.051,,,,
1968,AGO,-0.0512,,,,
1969,AGO,-0.0505,,,,
1970,AGO,-0.0494,,,,
1971,AGO,-0.0493,,,,
1972,AGO,-0.0487,,,,
1973,AGO,-0.0498,,,,
1974,AGO,-0.0492,,,,
1975,AGO,-0.0487,,,,
1976,AGO,-0.0487,,,,
1977,AGO,-0.0478,,,,
1978,AGO,-0.0478,,,,
1979,AGO,-0.048,,,,
1980,AGO,-0.0468,,,,
1981,AGO,-0.0469,,,,
1982,AGO,-0.0473,,,,
1983,AGO,-0.0474,,,,
1984,AGO,-0.0465,,,,
1985,AGO,-0.046,,,,
1986,AGO,-0.0452,,,,
1987,AGO,-0.0453,,,,
1988,AGO,-0.0448,,,,
1989,AGO,-0.0447,,,,
1990,AGO,-0.0446,,,,
1991,AGO,-0.0383,,,,
1992,AGO,-0.0389,,,,
1993,AGO,-0.0389,,,,
1994,AGO,-0.0391,,,,
1995,AGO,-0.0394,,,,
1996,AGO,-0.039,,,,
1997,AGO,-0.0387,,,,
1998,AGO,-0.0385,,,,
1999,AGO,-0.0382,,,,
2000,AGO,-0.0378,,,,
2001,AGO,-0.0379,,,,
2002,AGO,-0.0377,,,,
2003,AGO,-0.037,,,,
2004,AGO,-0.037,,,,
2005,AGO,-0.0367,,,,
2006,AGO,-0.036,,,,
2007,AGO,-0.0352,,,,
2008,AGO,-0.0316,,,,
2009,AGO,-0.0287,,,,
2010,AGO,-0.0329,,,,
2011,AGO,-0.031,,,,
2012,AGO,-0.0257,,,,
2013,AGO,-0.0207,,,,
2014,AGO,-0.0147,,,,
2015,AGO,-0.0198,,,,
2016,AGO,-0.023,,,,
2017,AGO,-0.0223,,,,
2018,AGO,-0.023,,,,
2019,AGO,-0.0237,,,,
1961,ALB,0.0008,,,,
1962,ALB,0.0006,,,,
1963,ALB,0.0005,,,,
1964,ALB,0.0006,,,,
1965,ALB,0.0007,,,,
1966,ALB,0.0008,,,,
1967,ALB,0.0008,,,,
1968,ALB,0.0011,,,,
1969,ALB,0.0014,,,,
1970,ALB,0.0018,,,,
1971,ALB,0.0019,,,,
1972,ALB,0.002,,,,
1973,ALB,0.0019,,,,
1974,ALB,0.002,,,,
1975,ALB,0.0022,,,,
1976,ALB,0.0023,,,,
1977,ALB,0.0024,,,,
1978,ALB,0.0027,,,,
1979,ALB,0.0031,,,,
1980,ALB,0.003,,,,
1981,ALB,0.0026,,,,
1982,ALB,0.0026,,,,
1983,ALB,0.0028,,,,
1984,ALB,0.0031,,,,
1985,ALB,0.0032,,,,
1986,ALB,0.0032,,,,
1987,ALB,0.0032,,,,
1988,ALB,0.0034,,,,
1989,ALB,0.0034,,,,
1990,ALB,0.003,,,,
1991,ALB,0.0031,,,,
1992,ALB,0.0029,,,,
1993,ALB,0.0018,,,,
1994,ALB,0.0012,,,,
1995,ALB,0.0009,,,,
1996,ALB,0.0015,,,,
1997,ALB,0.0008,,,,
1998,ALB,0.0012,,,,
1999,ALB,0.0021,,,,
2000,ALB,0.0022,,,,
2001,ALB,0.0023,,,,
2002,ALB,0.0028,,,,
2003,ALB,0.0028,,,,
2004,ALB,0.003,,,,
2005,ALB,0.0032,,,,
2006,ALB,0.0035,,,,
2007,ALB,0.0039,,,,
2008,ALB,0.0036,,,,
2009,ALB,0.0035,,,,
2010,ALB,0.0032,,,,
2011,ALB,0.0039,,,,
2012,ALB,0.0034,,,,
2013,ALB,0.0033,,,,
2014,ALB,0.003,,,,
2015,ALB,0.0028,,,,
2016,ALB,0.0026,,,,
2017,ALB,0.0028,,,,
2018,ALB,0.0026,,,,
2019,ALB,0.0028,,,,
1961,ARE,0,,,,
1962,ARE,0,,,,
1963,ARE,0,,,,
1964,ARE,0,,,,
1965,ARE,0,,,,
1966,ARE,0,,,,
1967,ARE,0,,,,
1968,ARE,0,,,,
1969,ARE,0,,,,
1970,ARE,0,,,,
1971,ARE,0,,,,
1972,ARE,0,,,,
1973,ARE,0,,,,
1974,ARE,0,,,,
1975,ARE,0,,,,
1976,ARE,0,,,,
1977,ARE,0,,,,
1978,ARE,0,,,,
1979,ARE,0,,,,
1980,ARE,0.0013,,,,
1981,ARE,0.0036,,,,
1982,ARE,0.0045,,,,
1983,ARE,0.0043,,,,
1984,ARE,0.0076,,,,
1985,ARE,0.0095,,,,
1986,ARE,0.0113,,,,
1987,ARE,0.0138,,,,
1988,ARE,0.0152,,,,
1989,ARE,0.0188,,,,
1990,ARE,0.018,,,,
1991,ARE,0.0208,,,,
1992,ARE,0.0191,,,,
1993,ARE,0.0205,,,,
1994,ARE,0.0242,,,,
1995,ARE,0.0265,,,,
1996,ARE,0.0281,,,,
1997,ARE,0.0293,,,,
1998,ARE,0.0307,,,,
1999,ARE,0.0344,,,,
2000,ARE,0.0342,,,,
2001,ARE,0.0426,,,,
2002,ARE,0.0408,,,,
2003,ARE,0.0427,,,,
2004,ARE,0.0453,,,,
2005,ARE,0.0467,,,,
2006,ARE,0.0562,,,,
2007,ARE,0.0653,,,,
2008,ARE,0.0799,,,,
2009,ARE,0.0762,,,,
2010,ARE,0.0746,,,,
2011,ARE,0.0753,,,,
2012,ARE,0.075,,,,
2013,ARE,0.0733,,,,
2014,ARE,0.0809,,,,
2015,ARE,0.0801,,,,
2016,ARE,0.0781,,,,
2017,ARE,0.0766,,,,
2018,ARE,0.0715,,,,
2019,ARE,0.0766,,,,
1961,ARG,-0.133,,,,
1962,ARG,-0.1432,,,,
1963,ARG,-0.1502,,,,
1964,ARG,-0.1407,,,,
1965,ARG,-0.1362,,,,
1966,ARG,-0.1356,,,,
1967,ARG,-0.1245,,,,
1968,ARG,-0.1221,,,,
1969,ARG,-0.1268,,,,
1970,ARG,-0.1225,,,,
1971,ARG,-0.1106,,,,
1972,ARG,-0.1077,,,,
1973,ARG,-0.1006,,,,
1974,ARG,-0.089,,,,
1975,ARG,-0.0877,,,,
1976,ARG,-0.097,,,,
1977,ARG,-0.106,,,,
1978,ARG,-0.1098,,,,
1979,ARG,-0.1045,,,,
1980,ARG,-0.1028,,,,
1981,ARG,-0.1132,,,,
1982,ARG,-0.1136,,,,
