year,geo,disagg,value
1993,WLD,FSC,0.00
1994,WLD,FSC,0.00
1995,WLD,FSC,0.00
1996,WLD,FSC,0.00
1997,WLD,FSC,0.03
1998,WLD,FSC,0.04
1999,WLD,FSC,0.14
2000,WLD,FSC,0.30
2001,WLD,FSC,0.51
2002,WLD,FSC,0.82
2003,WLD,FSC,1.30
2004,WLD,FSC,1.96
2005,WLD,FSC,2.87
2006,WLD,FSC,4.22
2007,WLD,FSC,5.90
2008,WLD,FSC,9.84
2009,WLD,FSC,14.04
2010,WLD,FSC,17.80
2011,WLD,FSC,20.99
2012,WLD,FSC,23.68
2013,WLD,FSC,25.60
2014,WLD,FSC,27.66
2015,WLD,FSC,28.96
2016,WLD,FSC,30.20
2017,WLD,FSC,32.07
2018,WLD,FSC,33.85
2019,WLD,FSC,36.95
2020,WLD,FSC,41.64
2021,WLD,FSC,46.15
2022,WLD,FSC,51.23
2023,WLD,FSC,54.06
2001,WLD,PEFC,0.06
2002,WLD,PEFC,0.46
2003,WLD,PEFC,1.10
2004,WLD,PEFC,1.91
2005,WLD,PEFC,2.36
2006,WLD,PEFC,2.90
2007,WLD,PEFC,3.55
2008,WLD,PEFC,4.42
2009,WLD,PEFC,6.17
2010,WLD,PEFC,7.69
2011,WLD,PEFC,8.80
2012,WLD,PEFC,9.53
2013,WLD,PEFC,10.00
2014,WLD,PEFC,10.59
2015,WLD,PEFC,10.74
2016,WLD,PEFC,10.98
2017,WLD,PEFC,11.48
2018,WLD,PEFC,11.47
2019,WLD,PEFC,11.98
2020,WLD,PEFC,12.37
2021,WLD,PEFC,12.67
2022,WLD,PEFC,12.53
2023,WLD,PEFC,12.61
