year,geo,value
2005,KAZ,1684.32
2004,KAZ,701.32
2008,KAZ,453.37
2011,KAZ,420.67
2013,KAZ,382.21
2012,KAZ,355.95
2014,KAZ,337.41
2010,KAZ,303.12
2007,RUS,287.65
2003,RUS,287.27
2006,KAZ,263.97
2007,KAZ,261.19
2015,KAZ,251.57
2009,KAZ,227.56
2002,RUS,210.64
2008,PHL,164.94
2004,RUS,142.77
2005,RUS,142.50
2009,RUS,141.02
2006,RUS,140.01
2008,RUS,122.88
2011,RUS,120.16
2013,RUS,116.67
2010,RUS,114.37
2012,RUS,113.67
2015,CHN,39.76
2014,CHN,36.34
2012,CHN,34.65
2011,CHN,34.31
2013,CHN,31.57
2008,DEU,22.32
2012,DEU,21.98
2014,DEU,21.81
2006,DEU,21.71
2004,DEU,20.00
2010,DEU,19.93
2013,SRB,16.76
2015,SRB,16.57
2010,CHN,15.87
2012,SRB,14.45
2009,CHN,14.30
2008,CHN,13.57
2010,BGR,13.55
2006,BGR,13.55
2014,SRB,13.47
2012,BGR,13.41
2008,BGR,13.04
2011,SRB,12.80
2014,BGR,12.21
2004,BGR,11.90
2006,PHL,11.79
2003,CHN,11.70
2005,CHN,11.62
2010,FRA,11.54
2012,FRA,11.30
2010,SRB,11.16
2008,FRA,10.89
2006,CHN,10.84
2007,CHN,10.79
2014,FRA,10.78
2015,KGZ,10.50
2014,EST,10.41
2014,KGZ,10.22
2011,KGZ,10.15
1999,CHN,10.15
1997,CHN,10.10
2009,SRB,10.03
2002,CHN,10.01
2004,CHN,9.95
1996,CHN,9.93
1998,CHN,9.74
2001,CHN,9.52
2012,EST,9.16
2012,ITA,8.99
2010,EST,8.96
2013,PHL,8.95
2014,ITA,8.92
2006,FRA,8.89
2004,FRA,8.76
2010,ITA,8.54
2006,GBR,8.45
2008,SRB,8.33
2000,CHN,8.30
2006,IND,8.14
2004,GBR,7.97
2013,KGZ,7.96
2011,IND,7.90
2012,IND,7.90
2015,IND,7.80
2008,EST,7.54
2006,ITA,7.46
2014,IND,7.42
2004,EST,7.33
2008,GBR,7.29
2000,IND,7.24
2010,GBR,7.00
2008,ITA,6.88
2006,EST,6.62
2002,KGZ,6.51
2003,KGZ,6.42
2012,GBR,6.41
2004,KGZ,6.41
2000,KGZ,6.30
1997,KGZ,6.27
2008,IND,6.23
2001,KGZ,6.23
2005,KGZ,6.21
2004,ITA,6.13
1999,KGZ,6.07
2006,PRT,6.06
2008,BEL,5.92
1998,KGZ,5.91
2006,KGZ,5.83
2010,KGZ,5.81
2014,GBR,5.76
2009,KGZ,5.68
2008,KGZ,5.58
2007,KGZ,5.55
2004,BEL,5.20
2006,NLD,5.14
2011,PHL,4.98
2012,KGZ,4.93
2012,NLD,4.86
2014,NLD,4.83
2010,BEL,4.77
2010,NLD,4.49
2008,NLD,4.45
2006,BEL,4.04
2006,ESP,4.03
2012,TUR,3.99
2008,ESP,3.65
2014,TUR,3.43
2011,MYS,3.28
2010,TUR,3.23
2004,ESP,3.12
2012,ESP,3.11
2010,MYS,3.09
2010,ESP,2.99
2015,PHL,2.99
2014,ESP,2.98
2013,MYS,2.97
2012,BEL,2.96
2014,BEL,2.95
2015,MYS,2.92
2012,MYS,2.85
2015,THA,2.80
2006,FIN,2.71
2012,SWE,2.70
2006,SWE,2.65
2014,SWE,2.57
2010,FIN,2.56
2010,SWE,2.53
2006,POL,2.38
2014,MYS,2.35
2004,ROU,2.29
2003,PHL,2.27
2004,PRT,2.26
2008,FIN,2.16
2004,FIN,2.15
2004,NLD,2.14
2014,THA,2.07
2008,SWE,2.06
2014,FIN,2.00
2010,IRL,1.97
2009,PHL,1.90
2007,THA,1.85
2006,THA,1.83
2005,THA,1.81
2004,THA,1.81
2003,THA,1.80
2002,THA,1.78
2010,NOR,1.76
2012,POL,1.74
2014,BLR,1.72
2014,DNK,1.72
1997,THA,1.72
2014,PHL,1.71
2009,MYS,1.71
2014,POL,1.68
2005,PHL,1.67
2012,FIN,1.65
2001,THA,1.65
2000,THA,1.65
1998,THA,1.64
2004,SWE,1.62
2004,POL,1.61
1999,THA,1.60
2008,CZE,1.51
2010,POL,1.49
2012,CZE,1.48
2010,AUT,1.47
2008,POL,1.47
2008,NOR,1.45
2004,CZE,1.45
2007,CUB,1.42
2013,BLR,1.42
2014,NOR,1.37
2004,HUN,1.36
2010,CZE,1.36
2012,NOR,1.36
2010,PHL,1.35
2008,AUT,1.33
2012,BLR,1.32
2011,ZAF,1.32
2006,CZE,1.31
2008,MYS,1.30
2006,HUN,1.30
2008,JOR,1.29
2014,AUT,1.27
2006,CUB,1.25
2011,JOR,1.23
2010,DNK,1.22
2006,NOR,1.22
2012,DNK,1.22
2015,BLR,1.21
2014,CZE,1.16
2007,MYS,1.14
2007,PHL,1.13
2006,MYS,1.10
2012,AUT,1.07
2006,ROU,1.05
2008,TUR,1.02
2004,AUT,1.01
2004,TUR,1.00
2006,AUT,0.96
2011,BLR,0.94
2005,CUB,0.94
2010,BLR,0.92
2006,GTM,0.82
2006,HRV,0.77
2009,BLR,0.76
2008,IRL,0.74
2014,UKR,0.74
2010,MKD,0.73
2004,IRL,0.72
2006,IRL,0.71
2004,PHL,0.71
2012,HUN,0.70
2010,ROU,0.70
2012,ROU,0.69
2012,PHL,0.68
2008,HUN,0.67
2004,NOR,0.67
2012,MKD,0.67
2010,PRT,0.67
2010,CUB,0.66
2003,GTM,0.65
1996,KGZ,0.63
2002,GTM,0.63
2004,GTM,0.62
2004,CUB,0.61
2005,GTM,0.60
2014,HUN,0.60
2014,ROU,0.59
2015,UKR,0.59
2013,ARM,0.58
2014,ARM,0.58
2012,CUB,0.57
2008,PRT,0.56
2016,SAU,0.56
2001,GTM,0.56
2015,ARM,0.56
2005,NER,0.55
2005,MYS,0.55
2012,PRT,0.54
2010,HUN,0.54
2006,SVK,0.53
2008,ROU,0.53
2008,SVK,0.53
2008,BLR,0.52
2004,NER,0.50
2011,CUB,0.50
2013,CUB,0.50
2007,SGP,0.49
2014,IRL,0.48
2012,IRL,0.48
1995,KGZ,0.47
2008,SGP,0.47
2012,ARM,0.47
2004,MYS,0.47
2011,ARM,0.46
2014,PRT,0.46
2002,MYS,0.46
2003,MYS,0.46
2014,AZE,0.46
2015,SGP,0.45
2009,ARM,0.44
2008,ARM,0.44
2010,ARM,0.44
2010,SGP,0.43
2011,SGP,0.43
2004,SVK,0.42
2001,MYS,0.42
2008,DNK,0.42
2010,SVK,0.42
2006,SGP,0.41
2014,CUB,0.41
2014,SGP,0.41
2000,ARM,0.38
2010,LUX,0.38
1999,MYS,0.38
2002,ARM,0.38
2001,ARM,0.38
2006,DNK,0.37
2014,SVK,0.37
2012,SVK,0.37
2007,ARM,0.36
2014,ARE,0.36
2009,SGP,0.36
2006,ARM,0.35
2004,ARM,0.35
2005,ARM,0.35
2000,MYS,0.34
2003,ARM,0.34
2011,ARE,0.34
2012,ARE,0.34
2005,SGP,0.34
2004,GRC,0.34
2013,SGP,0.33
2007,DZA,0.33
2003,DZA,0.33
