year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2011,EUU,Total,5.8,,,,
2012,EUU,Total,5.5,,,,
2014,EUU,Total,5.5,,,,
2015,EUU,Total,5.9,,,,
2016,EUU,Total,6.8,,,,
2017,EUU,Total,7.1,,,,
2018,EUU,Total,7.3,,,,
2019,EUU,Total,8.2,,,,
2020,EUU,Total,8.8,,,,
2011,BEL,Total,8.1,,,,
2012,BEL,Total,8.2,,,,
2013,BEL,Total,8.5,,,,
2014,BEL,Total,8,,,,
2015,BEL,Total,8.1,,,,
2016,BEL,Total,8.2,,,,
2017,BEL,Total,8.2,,,,
2018,BEL,Total,8.8,,,,
2019,BEL,Total,9.3,,,,
2020,BEL,Total,10.2,,,,
2011,BGR,Total,4.5,,,,
2012,BGR,Total,4.4,,,,
2013,BGR,Total,4,,,,
2014,BGR,Total,5,,,,
2015,BGR,Total,7.4,,,,
2016,BGR,Total,7,,,,
2017,BGR,Total,6.5,,,,
2018,BGR,Total,6.1,,,,
2019,BGR,Total,7.4,,,,
2020,BGR,Total,9.1,,,,
2011,CZE,Total,4.6,,,,
2012,CZE,Total,4.1,,,,
2013,CZE,Total,4.7,,,,
2014,CZE,Total,4.8,,,,
2015,CZE,Total,5.8,,,,
2016,CZE,Total,9.1,,,,
2017,CZE,Total,8.8,,,,
2018,CZE,Total,7.4,,,,
2019,CZE,Total,8.8,,,,
2020,CZE,Total,9.8,,,,
2011,DNK,Total,13.9,,,,
2012,DNK,Total,11.5,,,,
2013,DNK,Total,10.6,,,,
2014,DNK,Total,10.5,,,,
2015,DNK,Total,10.7,,,,
2016,DNK,Total,10.7,,,,
2017,DNK,Total,10.4,,,,
2018,DNK,Total,9.9,,,,
2019,DNK,Total,10.5,,,,
2020,DNK,Total,11.4,,,,
2011,DEU,Total,7.4,,,,
2012,DEU,Total,7.2,,,,
2013,DEU,Total,7.5,,,,
2014,DEU,Total,7.5,,,,
2015,DEU,Total,7,,,,
2016,DEU,Total,8.2,,,,
