year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2017,WLD,Total,0.51,,,,
2018,WLD,Total,0.53,,,,
2019,WLD,Total,0.52,,,,
2020,WLD,Total,0.44,,,,
2021,WLD,Total,0.64,,,,
2022,WLD,Total,1.0,,,,
2023,WLD,Total,1.4,,,,
2024,WLD,Total,1.8,,,,
2025,WLD,Total,2.0,,,,
2030,WLD,Total,,1.8,,,
2030,WLD,Total,,,30,360,690
2035,WLD,Total,,,150,925,1700
2040,WLD,Total,,,290,1695,3100
2050,WLD,Total,,,740,3120,5500
2023,WLD,Alkalinity enhancement of water bodies,0.00013725,,,,
2024,WLD,Alkalinity enhancement of water bodies,0.001192819,,,,
2025,WLD,Alkalinity enhancement of water bodies,0.00354,,,,
2020,WLD,Bio-oil storage,0.0035,,,,
2021,WLD,Bio-oil storage,0.0025,,,,
2022,WLD,Bio-oil storage,0.0003,,,,
2023,WLD,Bio-oil storage,0.0008,,,,
2024,WLD,Bio-oil storage,0.0008,,,,
2025,WLD,Bio-oil storage,0.0057,,,,
2021,WLD,Biochar soil amendment,0.205026752,,,,
2022,WLD,Biochar soil amendment,0.4961,,,,
2023,WLD,Biochar soil amendment,0.788980784,,,,
2024,WLD,Biochar soil amendment,1.1305,,,,
2025,WLD,Biochar soil amendment,1.4629,,,,
2017,WLD,Bioenergy with carbon capture and storage,0.50665,,,,
2018,WLD,Bioenergy with carbon capture and storage,0.525002,,,,
2019,WLD,Bioenergy with carbon capture and storage,0.51978,,,,
2020,WLD,Bioenergy with carbon capture and storage,0.428,,,,
2021,WLD,Bioenergy with carbon capture and storage,0.428,,,,
2022,WLD,Bioenergy with carbon capture and storage,0.519,,,,
2023,WLD,Bioenergy with carbon capture and storage,0.6061,,,,
2024,WLD,Bioenergy with carbon capture and storage,0.6635,,,,
2025,WLD,Bioenergy with carbon capture and storage,0.5105,,,,
2023,WLD,Biomass burial,0.0019,,,,
2024,WLD,Biomass burial,0.0174,,,,
2025,WLD,Biomass burial,0.0465,,,,
2020,WLD,Biomass sinking,0.0021,,,,
2021,WLD,Biomass sinking,0.0005,,,,
2022,WLD,Biomass sinking,0.0037,,,,
2023,WLD,Biomass sinking,0.004726,,,,
2024,WLD,Biomass sinking,0,,,,
2025,WLD,Biomass sinking,0,,,,
2022,WLD,Direct air carbon capture and storage,0,,,,
2023,WLD,Direct air carbon capture and storage,0.0001,,,,
2024,WLD,Direct air carbon capture and storage,0.0014,,,,
2025,WLD,Direct air carbon capture and storage,0.0015,,,,
2020,WLD,Enhanced weathering,0,,,,
2021,WLD,Enhanced weathering,0.0025,,,,
2022,WLD,Enhanced weathering,0.0029,,,,
2023,WLD,Enhanced weathering,0.0028,,,,
2024,WLD,Enhanced weathering,0.0063,,,,
2025,WLD,Enhanced weathering,0.0038,,,,
2020,WLD,Mineral products,0,,,,
2021,WLD,Mineral products,0.0004,,,,
2022,WLD,Mineral products,0.0015,,,,
2023,WLD,Mineral products,0.0037,,,,
2024,WLD,Mineral products,0.0117,,,,
2025,WLD,Mineral products,0.0022,,,,
2020,WLD,Other,0.0035,,,,
2021,WLD,Other,0.0025,,,,
2022,WLD,Other,0.0003,,,,
2023,WLD,Other,0.001,,,,
2024,WLD,Other,0.002,,,,
2025,WLD,Other,0.0093,,,,
