year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2010,WLD,Total,0.75,,,,
2015,WLD,Total,0.76,,,,
2020,WLD,Total,0.72,,,,
2020,WLD,Total,,0.69,,,
2010,AFG,Total,0.09,,,,
2015,AFG,Total,0.10,,,,
2020,AFG,Total,0.12,,,,
2010,AGO,Total,0.29,,,,
2015,AGO,Total,0.29,,,,
2020,AGO,Total,0.06,,,,
2010,ALB,Total,1.28,,,,
2015,ALB,Total,1.31,,,,
2020,ALB,Total,1.24,,,,
2010,ARE,Total,0.42,,,,
2015,ARE,Total,0.41,,,,
2020,ARE,Total,0.25,,,,
2010,ARG,Total,1.35,,,,
2015,ARG,Total,1.58,,,,
2020,ARG,Total,2.02,,,,
2010,ARM,Total,-0.41,,,,
2015,ARM,Total,-0.17,,,,
2020,ARM,Total,-0.28,,,,
2010,AUS,Total,0.50,,,,
2015,AUS,Total,0.51,,,,
2020,AUS,Total,0.45,,,,
2010,AUT,Total,1.53,,,,
2015,AUT,Total,2.25,,,,
2020,AUT,Total,1.67,,,,
2010,AZE,Total,0.66,,,,
2015,AZE,Total,0.58,,,,
2020,AZE,Total,0.75,,,,
2010,BDI,Total,-0.01,,,,
2015,BDI,Total,-0.02,,,,
2020,BDI,Total,-0.14,,,,
2010,BEL,Total,1.12,,,,
2015,BEL,Total,1.00,,,,
2020,BEL,Total,1.21,,,,
2010,BEN,Total,0.28,,,,
2015,BEN,Total,0.42,,,,
2020,BEN,Total,0.39,,,,
2010,BFA,Total,0.00,,,,
2015,BFA,Total,0.00,,,,
2020,BFA,Total,-0.02,,,,
2010,BGD,Total,0.18,,,,
2015,BGD,Total,0.10,,,,
2020,BGD,Total,0.54,,,,
2010,BGR,Total,1.92,,,,
2015,BGR,Total,2.07,,,,
2020,BGR,Total,2.00,,,,
2010,BHR,Total,0.16,,,,
2015,BHR,Total,0.08,,,,
2020,BHR,Total,-0.13,,,,
2010,BHS,Total,0.01,,,,
2015,BHS,Total,0.07,,,,
2020,BHS,Total,0.09,,,,
2010,BIH,Total,0.57,,,,
2015,BIH,Total,0.73,,,,
2020,BIH,Total,0.64,,,,
2010,BLR,Total,1.15,,,,
2015,BLR,Total,1.42,,,,
2020,BLR,Total,1.05,,,,
2010,BOL,Total,0.37,,,,
2015,BOL,Total,0.29,,,,
2020,BOL,Total,0.29,,,,
2010,BRA,Total,0.70,,,,
2015,BRA,Total,0.72,,,,
2020,BRA,Total,0.59,,,,
2010,BWA,Total,0.58,,,,
2015,BWA,Total,0.41,,,,
2020,BWA,Total,0.58,,,,
2010,CAF,Total,0.28,,,,
2015,CAF,Total,0.11,,,,
2020,CAF,Total,0.17,,,,
2010,CAN,Total,0.64,,,,
2015,CAN,Total,0.63,,,,
2020,CAN,Total,0.69,,,,
2010,CHE,Total,1.24,,,,
2015,CHE,Total,1.26,,,,
2020,CHE,Total,1.21,,,,
2010,CHL,Total,0.66,,,,
2015,CHL,Total,0.44,,,,
2020,CHL,Total,0.57,,,,
2010,CHN,Total,0.78,,,,
2015,CHN,Total,0.82,,,,
2020,CHN,Total,0.77,,,,
2010,CIV,Total,0.29,,,,
2015,CIV,Total,0.18,,,,
2020,CIV,Total,0.17,,,,
2010,CMR,Total,0.12,,,,
2015,CMR,Total,-0.02,,,,
2020,CMR,Total,-0.05,,,,
2010,COD,Total,0.35,,,,
2015,COD,Total,0.33,,,,
2020,COD,Total,0.20,,,,
2010,COG,Total,0.43,,,,
2015,COG,Total,0.32,,,,
2020,COG,Total,0.08,,,,
2010,COL,Total,0.32,,,,
2015,COL,Total,0.39,,,,
2020,COL,Total,0.08,,,,
2010,CRI,Total,0.16,,,,
2015,CRI,Total,0.13,,,,
2020,CRI,Total,0.04,,,,
2010,CUB,Total,0.09,,,,
2015,CUB,Total,0.09,,,,
2020,CUB,Total,0.12,,,,
2010,CUW,Total,0.04,,,,
2015,CUW,Total,-0.01,,,,
2020,CUW,Total,0.08,,,,
2010,CYP,Total,0.72,,,,
2015,CYP,Total,0.68,,,,
2020,CYP,Total,0.81,,,,
2010,CZE,Total,1.64,,,,
2015,CZE,Total,2.12,,,,
2020,CZE,Total,1.79,,,,
2010,DEU,Total,1.23,,,,
2015,DEU,Total,1.23,,,,
2020,DEU,Total,1.24,,,,
2010,DJI,Total,0.17,,,,
2015,DJI,Total,0.19,,,,
2020,DJI,Total,0.05,,,,
