year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2015,WLD,4.4,,,,
2020,WLD,4.2,,,,
2030,WLD,,3.9,,,
2015,AFG,0.52,,,,
2020,AFG,0.56,,,,
2015,AGO,1.79,,,,
2020,AGO,0.69,,,,
2015,ALB,0.64,,,,
2020,ALB,0.58,,,,
2015,ARE,41.21,,,,
2020,ARE,27.42,,,,
2015,ARG,3.20,,,,
2020,ARG,2.54,,,,
2015,ARM,1.44,,,,
2020,ARM,1.61,,,,
2015,AUS,6.57,,,,
2020,AUS,5.66,,,,
2015,AUT,5.01,,,,
2020,AUT,4.64,,,,
2015,AZE,6.90,,,,
2020,AZE,6.00,,,,
2015,BDI,0.27,,,,
2020,BDI,0.26,,,,
2015,BEL,9.84,,,,
2020,BEL,8.43,,,,
2015,BEN,0.50,,,,
2020,BEN,0.52,,,,
2015,BFA,0.85,,,,
2020,BFA,0.72,,,,
2015,BGD,0.66,,,,
2020,BGD,0.69,,,,
2015,BGR,2.76,,,,
2020,BGR,2.59,,,,
2015,BHR,7.52,,,,
2020,BHR,7.13,,,,
2015,BHS,7.44,,,,
2020,BHS,7.15,,,,
2015,BIH,1.29,,,,
2020,BIH,1.39,,,,
2015,BLR,4.72,,,,
2020,BLR,4.36,,,,
2015,BOL,2.34,,,,
2020,BOL,2.15,,,,
2015,BRA,2.68,,,,
2020,BRA,2.32,,,,
2015,BWA,2.98,,,,
2020,BWA,2.67,,,,
2015,CAF,0.20,,,,
2020,CAF,0.21,,,,
2015,CAN,9.70,,,,
2020,CAN,8.86,,,,
2015,CHE,7.96,,,,
2020,CHE,7.00,,,,
2015,CHL,2.58,,,,
2020,CHL,2.39,,,,
2015,CHN,6.91,,,,
2020,CHN,7.44,,,,
2015,CIV,0.53,,,,
2020,CIV,0.53,,,,
2015,CMR,0.65,,,,
2020,CMR,0.59,,,,
2015,COD,0.43,,,,
2020,COD,0.29,,,,
2015,COG,3.36,,,,
2020,COG,3.34,,,,
2015,COL,1.15,,,,
2020,COL,1.03,,,,
2015,CPV,3.42,,,,
2020,CPV,3.98,,,,
2015,CRI,2.24,,,,
2020,CRI,2.08,,,,
2015,CUB,3.00,,,,
2020,CUB,2.71,,,,
2015,CUW,15.75,,,,
2020,CUW,3.29,,,,
2015,CYP,1.69,,,,
2020,CYP,1.56,,,,
2015,CZE,3.92,,,,
2020,CZE,3.67,,,,
2015,DEU,7.75,,,,
2020,DEU,6.57,,,,
2015,DJI,0.36,,,,
2020,DJI,0.33,,,,
2015,DNK,3.09,,,,
2020,DNK,2.43,,,,
2015,DOM,1.41,,,,
2020,DOM,1.51,,,,
2015,DZA,1.44,,,,
2020,DZA,1.40,,,,
2015,ECU,1.52,,,,
2020,ECU,1.11,,,,
2015,EGY,2.20,,,,
2020,EGY,2.11,,,,
2015,ERI,0.34,,,,
2020,ERI,0.37,,,,
2015,ESH,21.74,,,,
2020,ESH,17.86,,,,
2015,ESP,1.59,,,,
2020,ESP,1.40,,,,
2015,EST,3.69,,,,
2020,EST,3.78,,,,
2015,ETH,0.47,,,,
2020,ETH,0.53,,,,
