year,geo,value
1995,WLD,3.1
2000,WLD,3.6
2005,WLD,4.4
2010,WLD,5
2012,WLD,5.2
2014,WLD,5.4
2016,WLD,5.5
2017,WLD,5.6
2018,WLD,5.7
2019,WLD,5.8
2020,WLD,5.8
2021,WLD,5.9
2022,WLD,5.9
2023,WLD,6
2024,WLD,6
1995,005,0.19
2000,005,0.22
2005,005,0.25
2010,005,0.3
2012,005,0.32
2014,005,0.34
2016,005,0.35
2017,005,0.37
2018,005,0.37
2019,005,0.37
2020,005,0.37
2021,005,0.37
2022,005,0.37
2023,005,0.37
2024,005,0.37
1995,011,0.01
2000,011,0.013
2005,011,0.018
2010,011,0.021
2012,011,0.022
2014,011,0.023
2016,011,0.024
2017,011,0.024
2018,011,0.026
2019,011,0.027
2020,011,0.031
2021,011,0.031
2022,011,0.033
2023,011,0.033
2024,011,0.033
1995,013,0.034
2000,013,0.037
2005,013,0.044
2010,013,0.063
2012,013,0.073
2014,013,0.077
2016,013,0.081
2017,013,0.082
2018,013,0.084
2019,013,0.085
2020,013,0.085
2021,013,0.085
2022,013,0.086
2023,013,0.1
2024,013,0.1
1995,014,0.11
2000,014,0.12
2005,014,0.14
2010,014,0.16
2012,014,0.16
2014,014,0.16
2016,014,0.16
2017,014,0.16
2018,014,0.17
2019,014,0.17
2020,014,0.17
2021,014,0.17
2022,014,0.17
2023,014,0.17
2024,014,0.17
1995,015,0.0066
2000,015,0.0078
2005,015,0.037
2010,015,0.088
2012,015,0.098
2014,015,0.11
2016,015,0.12
2017,015,0.12
2018,015,0.12
2019,015,0.13
2020,015,0.13
2021,015,0.13
2022,015,0.13
2023,015,0.13
2024,015,0.13
1995,018,0.0048
2000,018,0.0065
2005,018,0.012
2010,018,0.015
2012,018,0.015
2014,018,0.015
2016,018,0.016
2017,018,0.016
2018,018,0.016
2019,018,0.016
2020,018,0.016
2021,018,0.016
2022,018,0.016
2023,018,0.016
2024,018,0.016
1995,021,0.51
2000,021,0.56
2005,021,0.59
2010,021,0.66
2012,021,0.67
2014,021,0.68
2016,021,0.68
2017,021,0.69
2018,021,0.69
2019,021,0.7
2020,021,0.7
2021,021,0.7
2022,021,0.71
2023,021,0.71
2024,021,0.71
1995,029,0.012
2000,029,0.014
2005,029,0.015
2010,029,0.017
2012,029,0.019
2014,029,0.019
2016,029,0.02
2017,029,0.02
2018,029,0.02
2019,029,0.02
2020,029,0.02
2021,029,0.02
2022,029,0.021
2023,029,0.021
2024,029,0.021
1995,030,0.13
2000,030,0.18
2005,030,0.2
2010,030,0.22
2012,030,0.22
2014,030,0.23
2016,030,0.23
2017,030,0.24
2018,030,0.24
2019,030,0.24
2020,030,0.24
2021,030,0.25
2022,030,0.25
2023,030,0.26
2024,030,0.26
1995,034,0.23
2000,034,0.29
2005,034,0.39
2010,034,0.43
2012,034,0.45
2014,034,0.46
2016,034,0.48
2017,034,0.48
2018,034,0.49
2019,034,0.49
2020,034,0.51
2021,034,0.52
2022,034,0.52
2023,034,0.53
2024,034,0.53
1995,035,0.028
2000,035,0.034
2005,035,0.062
2010,035,0.078
2012,035,0.082
2014,035,0.085
2016,035,0.088
2017,035,0.088
2018,035,0.099
2019,035,0.1
2020,035,0.098
2021,035,0.098
2022,035,0.098
2023,035,0.098
2024,035,0.099
1995,039,0.16
2000,039,0.17
2005,039,0.18
2010,039,0.19
2012,039,0.2
2014,039,0.21
2016,039,0.21
2017,039,0.22
2018,039,0.22
2019,039,0.22
2020,039,0.22
2021,039,0.24
2022,039,0.24
2023,039,0.24
2024,039,0.22
1995,053,0.14
2000,053,0.17
2005,053,0.22
2010,053,0.24
2012,053,0.24
2014,053,0.25
2016,053,0.27
2017,053,0.29
2018,053,0.29
2019,053,0.3
2020,053,0.3
2021,053,0.31
2022,053,0.33
2023,053,0.33
2024,053,0.33
1995,054,0.001
2000,054,0.0012
2005,054,0.0013
2010,054,0.0014
2012,054,0.0014
