geo,disagg,year,value
WLD,Total,2010,25.4
WLD,Total,2011,30.5
WLD,Total,2012,26.7
WLD,Total,2013,29.6
WLD,Total,2014,31.9
WLD,Total,2015,32.4
WLD,Total,2016,32
WLD,Total,2017,31.7
WLD,Total,2018,28.2
WLD,Total,2019,27.5
WLD,Female,2010,19.9
WLD,Female,2011,25.1
WLD,Female,2012,20.6
WLD,Female,2013,24.5
WLD,Female,2014,26.6
WLD,Female,2015,27.2
WLD,Female,2016,26.4
WLD,Female,2017,26.6
WLD,Female,2018,22.2
WLD,Female,2019,21.7
WLD,Male,2010,30.8
WLD,Male,2011,36.1
WLD,Male,2012,33.1
WLD,Male,2013,35
WLD,Male,2014,37.5
WLD,Male,2015,37.9
WLD,Male,2016,37.7
WLD,Male,2017,37.1
WLD,Male,2018,34.5
WLD,Male,2019,33.5
AFG,Total,2010,8.6
AFG,Total,2012,8.6
AFG,Total,2014,8.7
AFG,Total,2017,10
ALB,Total,2010,20.1
ALB,Total,2011,23.9
ALB,Total,2012,21.7
ALB,Total,2013,20.4
ALB,Total,2014,19.9
ALB,Total,2015,21.4
ALB,Total,2016,22.1
ALB,Total,2017,23.4
ALB,Total,2018,25.4
ALB,Total,2019,26.7
DZA,Total,2010,18.6
DZA,Total,2011,18.6
DZA,Total,2014,18.3
DZA,Total,2017,18.8
AGO,Total,2010,34.1
AGO,Total,2011,33.2
AGO,Total,2014,26.4
AGO,Total,2019,26
ARG,Total,2010,48.7
ARG,Total,2011,50.3
ARG,Total,2012,50.1
ARG,Total,2013,50.4
ARG,Total,2014,49.9
ARG,Total,2017,47.8
ARG,Total,2018,48
ARG,Total,2019,47.4
ARM,Total,2010,20.1
ARM,Total,2011,21.3
ARM,Total,2012,22.1
ARM,Total,2013,22.7
ARM,Total,2014,23.2
ARM,Total,2015,23.1
ARM,Total,2016,24.2
ARM,Total,2017,24.2
ARM,Total,2018,21.7
ARM,Total,2019,21.8
AUS,Total,2010,39
AUS,Total,2011,39.3
AUS,Total,2012,39.2
AUS,Total,2013,39
AUS,Total,2014,38.7
AUS,Total,2015,39.1
AUS,Total,2016,39.2
