year,geo,disagg,value
2011,MOZ,Total,71.69
2011,NER,Total,31.2
2011,TZA,Total,42.2
2012,COM,Total,51.52
2012,HND,Total,31.73
2012,IND,Total,22.6
2012,KGZ,Total,76.3
2013,MWI,Total,29.2
2013,NAM,Total,23.43
2013,NGA,Total,30.8
2013,PAK,Total,21.07
2013,TZA,Total,44.4
2014,BFA,Total,17.4
2014,KHM,Total,62.78
2014,TCD,Total,65.46
2014,ETH,Total,63.6
2014,KEN,Total,57.01
2014,LSO,Total,17.87
2014,PER,Total,13.6
2014,TGO,Total,29.91
2015,AFG,Total,62.79
2015,ARM,Total,56.01
2015,COD,Total,52.89
2015,GTM,Total,29.22
2015,IND,Total,40.01
2015,PER,Total,13.8
2015,RWA,Total,61.79
2015,TZA,Total,54.5
2016,BDI,Total,65.68
2016,ETH,Total,65.8
2016,HTI,Total,50.31
2016,MMR,Total,47.02
2016,NGA,Total,29
2016,PER,Total,13.1
2016,TLS,Total,81.91
2017,ALB,Total,53.83
2017,GHA,Total,31.8
2017,MWI,Total,43.8
2017,PER,Total,13.4
2018,CMR,Total,39.4
2018,PAK,Total,28.55
2018,PNG,Total,69.49
2018,PER,Total,13.3
2018,SLE,Total,15.3
2018,UGA,Total,39.6
2011,MOZ,Female,68.4
2011,NER,Female,16.9
2011,TZA,Female,35.5
2012,COM,Female,54.94
2012,HND,Female,16.35
2012,IND,Female,6.3
2012,KGZ,Female,62.63
2013,MWI,Female,30.1
2013,NAM,Female,20.5
2013,NGA,Female,13.9
2013,PAK,Female,2.46
2013,TZA,Female,38.3
2014,BFA,Female,5.2
2014,KHM,Female,68.09
2014,TCD,Female,48.42
2014,ETH,Female,61.8
2014,KEN,Female,56.64
2014,LSO,Female,23.03
2014,PER,Female,8.2
2014,TGO,Female,11.12
2015,AFG,Female,41.07
2015,ARM,Female,47.4
2015,COD,Female,47.5
2015,GTM,Female,15.89
2015,IND,Female,20.91
2015,PER,Female,8.4
2015,RWA,Female,59.15
2015,TZA,Female,39.9
2016,BDI,Female,65.43
2016,ETH,Female,66.6
2016,HTI,Female,45.15
2016,MMR,Female,47.74
2016,NGA,Female,12.9
2016,PER,Female,7.7
2016,TLS,Female,80.51
2017,ALB,Female,48.38
2017,GHA,Female,23.4
2017,MWI,Female,46.5
2017,PER,Female,7.9
2018,CMR,Female,20.98
2018,PAK,Female,2.1
2018,PNG,Female,58.66
2018,PER,Female,8
2018,SLE,Female,9.5
2018,UGA,Female,31.1
2011,MOZ,Male,75.41
2011,NER,Male,47.7
2011,TZA,Male,49.4
2012,COM,Male,49.39
2012,HND,Male,37.42
2012,IND,Male,39.8
2012,KGZ,Male,80.69
2013,MWI,Male,28.2
2013,NAM,Male,24.82
2013,NGA,Male,49.8
2013,PAK,Male,38.63
2013,TZA,Male,50.9
2014,BFA,Male,32.8
2014,KHM,Male,58.56
2014,TCD,Male,74.49
2014,ETH,Male,65.4
2014,KEN,Male,57.19
2014,LSO,Male,16.03
2014,PER,Male,19
2014,TGO,Male,46.01
2015,AFG,Male,82.52
2015,ARM,Male,67.55
2015,COD,Male,57.94
2015,GTM,Male,36.52
2015,IND,Male,43.6
2015,PER,Male,19.2
2015,RWA,Male,64.61
2015,TZA,Male,47.6
2016,BDI,Male,65.93
2016,ETH,Male,65.1
2016,HTI,Male,52.89
2016,MMR,Male,46.32
2016,NGA,Male,47
2016,PER,Male,18.4
2016,TLS,Male,82.62
2017,ALB,Male,59.72
2017,GHA,Male,41.4
2017,MWI,Male,40.6
2017,PER,Male,18.8
2018,CMR,Male,56.69
2018,PAK,Male,39.55
2018,PNG,Male,76.34
2018,PER,Male,18.6
2018,SLE,Male,22.7
2018,UGA,Male,48.7
