year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2014,WLD,Total,21.1,,,,
2015,WLD,Total,21.5,,,,
2016,WLD,Total,22.5,,,,
2017,WLD,Total,23.6,,,,
2018,WLD,Total,24.7,,,,
2019,WLD,Total,25,,,,
2020,WLD,Total,28.8,,,,
2021,WLD,Total,29.1,,,,
2022,WLD,Total,28.9,,,,
2023,WLD,Total,28.9,,,,
2028,WLD,Total,,33.7,,,
2030,WLD,Total,,,,0,
2015,AFG,Total,45.1,,,,
2016,AFG,Total,49.6,,,,
2017,AFG,Total,54.3,,,,
2018,AFG,Total,57.6,,,,
2019,AFG,Total,63.1,,,,
2020,AFG,Total,70.1,,,,
2021,AFG,Total,79.1,,,,
2022,AFG,Total,80.9,,,,
2015,ALB,Total,38.8,,,,
2016,ALB,Total,39,,,,
2017,ALB,Total,38.6,,,,
2018,ALB,Total,37.1,,,,
2019,ALB,Total,33.8,,,,
2020,ALB,Total,30.9,,,,
2021,ALB,Total,30.2,,,,
2022,ALB,Total,32.2,,,,
2015,DZA,Total,22.9,,,,
2016,DZA,Total,21.5,,,,
2017,DZA,Total,19.8,,,,
2018,DZA,Total,17.6,,,,
2019,DZA,Total,17.6,,,,
2020,DZA,Total,19,,,,
2021,DZA,Total,19.4,,,,
2022,DZA,Total,18.9,,,,
2017,AGO,Total,66.5,,,,
2018,AGO,Total,70.1,,,,
2019,AGO,Total,73.5,,,,
2020,AGO,Total,77.7,,,,
2021,AGO,Total,78.5,,,,
2022,AGO,Total,79.2,,,,
2020,ATG,Total,33,,,,
2021,ATG,Total,33,,,,
2022,ATG,Total,33,,,,
2015,ARG,Total,19.2,,,,
2016,ARG,Total,25.9,,,,
2017,ARG,Total,32.3,,,,
2018,ARG,Total,35.8,,,,
2019,ARG,Total,35.8,,,,
2020,ARG,Total,37,,,,
2021,ARG,Total,36.9,,,,
2022,ARG,Total,36.1,,,,
2017,ARM,Total,17.1,,,,
2018,ARM,Total,14.8,,,,
2019,ARM,Total,11.7,,,,
2020,ARM,Total,8.3,,,,
2021,ARM,Total,8,,,,
2022,ARM,Total,7.8,,,,
2015,AUS,Total,10.8,,,,
2016,AUS,Total,11.8,,,,
2017,AUS,Total,12.7,,,,
2018,AUS,Total,13.3,,,,
2019,AUS,Total,12.3,,,,
2020,AUS,Total,11.9,,,,
2021,AUS,Total,11.4,,,,
2022,AUS,Total,12.9,,,,
2015,AUT,Total,5.5,,,,
2016,AUT,Total,5.2,,,,
2017,AUT,Total,4.4,,,,
2018,AUT,Total,3.6,,,,
2019,AUT,Total,3,,,,
2020,AUT,Total,3.3,,,,
2021,AUT,Total,4.3,,,,
2022,AUT,Total,4.9,,,,
2015,AZE,Total,5.9,,,,
2016,AZE,Total,7.7,,,,
2017,AZE,Total,8.5,,,,
2018,AZE,Total,9.6,,,,
2019,AZE,Total,8.8,,,,
2020,AZE,Total,9.5,,,,
2021,AZE,Total,10.1,,,,
2022,AZE,Total,12.2,,,,
2020,BHS,Total,17.2,,,,
2021,BHS,Total,17.2,,,,
2022,BHS,Total,17.2,,,,
2015,BGD,Total,32.2,,,,
2016,BGD,Total,31.9,,,,
2017,BGD,Total,31.5,,,,
2018,BGD,Total,31.5,,,,
2019,BGD,Total,31.9,,,,
2020,BGD,Total,31.7,,,,
2021,BGD,Total,31.1,,,,
