year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,WLD,13,,,,
2001,WLD,13,,,,
2002,WLD,13,,,,
2003,WLD,13,,,,
2004,WLD,13,,,,
2005,WLD,12,,,,
2006,WLD,11,,,,
2007,WLD,10,,,,
2008,WLD,9.5,,,,
2009,WLD,9.2,,,,
2010,WLD,8.7,,,,
2011,WLD,8.1,,,,
2012,WLD,8.0,,,,
2013,WLD,7.8,,,,
2014,WLD,7.3,,,,
2015,WLD,7.7,,,,
2016,WLD,7.6,,,,
2017,WLD,7.1,,,,
2018,WLD,7.2,,,,
2019,WLD,7.5,,,,
2020,WLD,8.5,,,,
2021,WLD,9.0,,,,
2022,WLD,9.1,,,,
2023,WLD,9.1,,,,
2028,WLD,,12,,,
2030,WLD,,,,0,
2001,AFG,46,,,,
2002,AFG,44,,,,
2003,AFG,39,,,,
2004,AFG,36,,,,
2005,AFG,34,,,,
2006,AFG,32,,,,
2007,AFG,28,,,,
2008,AFG,25,,,,
2009,AFG,22,,,,
2010,AFG,19,,,,
2011,AFG,18,,,,
2012,AFG,20,,,,
2013,AFG,19,,,,
2014,AFG,19,,,,
2015,AFG,20,,,,
2016,AFG,21,,,,
2017,AFG,21,,,,
2018,AFG,23,,,,
2019,AFG,25,,,,
2020,AFG,28,,,,
2021,AFG,29,,,,
2022,AFG,30,,,,
2001,AGO,67,,,,
2002,AGO,63,,,,
2003,AGO,59,,,,
2004,AGO,55,,,,
2005,AGO,52,,,,
2006,AGO,49,,,,
2007,AGO,46,,,,
2008,AGO,43,,,,
2009,AGO,33,,,,
2010,AGO,23,,,,
2011,AGO,15,,,,
2012,AGO,14,,,,
2013,AGO,13,,,,
2014,AGO,13,,,,
2015,AGO,14,,,,
2016,AGO,15,,,,
2017,AGO,15,,,,
2018,AGO,16,,,,
2019,AGO,18,,,,
2020,AGO,21,,,,
2021,AGO,22,,,,
2022,AGO,23,,,,
2001,ALB,4.9,,,,
2002,ALB,6.0,,,,
2003,ALB,7.4,,,,
2004,ALB,8.6,,,,
2005,ALB,8.9,,,,
2006,ALB,8.9,,,,
2007,ALB,8.4,,,,
2008,ALB,7.4,,,,
2009,ALB,6.2,,,,
2010,ALB,5.4,,,,
2011,ALB,4.8,,,,
2012,ALB,4.5,,,,
2013,ALB,4.4,,,,
2014,ALB,4.5,,,,
2015,ALB,4.4,,,,
2016,ALB,4.3,,,,
2017,ALB,4.3,,,,
2018,ALB,4.2,,,,
2019,ALB,4.3,,,,
2020,ALB,4.4,,,,
2021,ALB,4.3,,,,
2022,ALB,4.5,,,,
2001,ARE,3.3,,,,
2002,ARE,4.1,,,,
2003,ARE,5.3,,,,
2004,ARE,6.8,,,,
2005,ARE,7.8,,,,
2006,ARE,8.1,,,,
2007,ARE,8.1,,,,
2008,ARE,7.5,,,,
2009,ARE,7.8,,,,
2010,ARE,7.1,,,,
2011,ARE,6.5,,,,
2012,ARE,5.1,,,,
2013,ARE,4.6,,,,
2014,ARE,4.5,,,,
2015,ARE,4.6,,,,
2016,ARE,4.4,,,,
2017,ARE,4.2,,,,
2018,ARE,3.6,,,,
2019,ARE,3.3,,,,
2020,ARE,3.1,,,,
2021,ARE,3.4,,,,
2022,ARE,2.7,,,,
2001,ARG,2.9,,,,
2002,ARG,3.7,,,,
2003,ARG,4.3,,,,
2004,ARG,3.9,,,,
2005,ARG,3.6,,,,
2006,ARG,3.3,,,,
2007,ARG,3.2,,,,
2008,ARG,3.2,,,,
2009,ARG,3.4,,,,
2010,ARG,3.6,,,,
2011,ARG,3.6,,,,
2012,ARG,3.4,,,,
2013,ARG,3.1,,,,
2014,ARG,2.8,,,,
2015,ARG,2.8,,,,
2016,ARG,3.0,,,,
2017,ARG,3.4,,,,
2018,ARG,3.5,,,,
2019,ARG,3.5,,,,
2020,ARG,3.4,,,,
2021,ARG,3.3,,,,
2022,ARG,3.2,,,,
2001,ARM,26,,,,
2002,ARM,24,,,,
2003,ARM,21,,,,
2004,ARM,16,,,,
2005,ARM,12,,,,
2006,ARM,9.5,,,,
2007,ARM,7.2,,,,
2008,ARM,5.9,,,,
2009,ARM,3.9,,,,
2010,ARM,2.7,,,,
2011,ARM,2.5,,,,
2012,ARM,2.5,,,,
2013,ARM,2.5,,,,
2014,ARM,2.5,,,,
2015,ARM,2.5,,,,
2016,ARM,2.5,,,,
2017,ARM,2.5,,,,
2018,ARM,2.5,,,,
2019,ARM,2.5,,,,
2020,ARM,2.5,,,,
2021,ARM,2.5,,,,
2022,ARM,2.5,,,,
2001,AUS,2.5,,,,
2002,AUS,2.5,,,,
2003,AUS,2.5,,,,
2004,AUS,2.5,,,,
2005,AUS,2.5,,,,
2006,AUS,2.5,,,,
2007,AUS,2.5,,,,
2008,AUS,2.5,,,,
2009,AUS,2.5,,,,
2010,AUS,2.5,,,,
2011,AUS,2.5,,,,
2012,AUS,2.5,,,,
2013,AUS,2.5,,,,
2014,AUS,2.5,,,,
2015,AUS,2.5,,,,
2016,AUS,2.5,,,,
2017,AUS,2.5,,,,
2018,AUS,2.5,,,,
2019,AUS,2.5,,,,
2020,AUS,2.5,,,,
2021,AUS,2.5,,,,
2022,AUS,2.5,,,,
2001,AUT,2.5,,,,
2002,AUT,2.5,,,,
2003,AUT,2.5,,,,
2004,AUT,2.5,,,,
2005,AUT,2.5,,,,
2006,AUT,2.5,,,,
2007,AUT,2.5,,,,
2008,AUT,2.5,,,,
2009,AUT,2.5,,,,
2010,AUT,2.5,,,,
2011,AUT,2.5,,,,
2012,AUT,2.5,,,,
2013,AUT,2.5,,,,
2014,AUT,2.5,,,,
2015,AUT,2.5,,,,
2016,AUT,2.5,,,,
2017,AUT,2.5,,,,
2018,AUT,2.5,,,,
2019,AUT,2.5,,,,
2020,AUT,2.5,,,,
2021,AUT,2.5,,,,
2022,AUT,2.5,,,,
2001,AZE,17,,,,
2002,AZE,13,,,,
2003,AZE,10,,,,
2004,AZE,7.4,,,,
2005,AZE,4.7,,,,
2006,AZE,2.8,,,,
2007,AZE,2.5,,,,
2008,AZE,2.5,,,,
2009,AZE,2.5,,,,
2010,AZE,2.5,,,,
2011,AZE,2.5,,,,
2012,AZE,2.5,,,,
2013,AZE,2.5,,,,
2014,AZE,2.5,,,,
2015,AZE,2.5,,,,
2016,AZE,2.5,,,,
2017,AZE,2.5,,,,
2018,AZE,2.5,,,,
2019,AZE,2.5,,,,
2020,AZE,2.5,,,,
2021,AZE,2.5,,,,
2022,AZE,2.5,,,,
2001,BEL,2.5,,,,
2002,BEL,2.5,,,,
2003,BEL,2.5,,,,
2004,BEL,2.5,,,,
2005,BEL,2.5,,,,
2006,BEL,2.5,,,,
2007,BEL,2.5,,,,
2008,BEL,2.5,,,,
2009,BEL,2.5,,,,
2010,BEL,2.5,,,,
2011,BEL,2.5,,,,
2012,BEL,2.5,,,,
2013,BEL,2.5,,,,
2014,BEL,2.5,,,,
2015,BEL,2.5,,,,
2016,BEL,2.5,,,,
2017,BEL,2.5,,,,
2018,BEL,2.5,,,,
2019,BEL,2.5,,,,
2020,BEL,2.5,,,,
2021,BEL,2.5,,,,
2022,BEL,2.5,,,,
2001,BEN,17,,,,
2002,BEN,16,,,,
2003,BEN,14,,,,
2004,BEN,13,,,,
2005,BEN,11,,,,
2006,BEN,11,,,,
2007,BEN,11,,,,
2008,BEN,10,,,,
2009,BEN,10,,,,
2010,BEN,9.8,,,,
2011,BEN,9.6,,,,
2012,BEN,9.5,,,,
2013,BEN,9.3,,,,
2014,BEN,9.3,,,,
2015,BEN,9.2,,,,
2016,BEN,9.7,,,,
2017,BEN,11,,,,
2018,BEN,11,,,,
2019,BEN,12,,,,
2020,BEN,11,,,,
2021,BEN,10,,,,
2022,BEN,10,,,,
2001,BFA,23,,,,
2002,BFA,21,,,,
2003,BFA,19,,,,
2004,BFA,18,,,,
2005,BFA,17,,,,
2006,BFA,17,,,,
2007,BFA,16,,,,
2008,BFA,16,,,,
2009,BFA,15,,,,
2010,BFA,15,,,,
2011,BFA,15,,,,
2012,BFA,14,,,,
2013,BFA,14,,,,
2014,BFA,13,,,,
2015,BFA,14,,,,
2016,BFA,14,,,,
2017,BFA,14,,,,
2018,BFA,15,,,,
2019,BFA,14,,,,
2020,BFA,15,,,,
2021,BFA,15,,,,
2022,BFA,15,,,,
2001,BGD,16,,,,
2002,BGD,15,,,,
2003,BGD,14,,,,
2004,BGD,14,,,,
2005,BGD,14,,,,
2006,BGD,13,,,,
2007,BGD,13,,,,
2008,BGD,13,,,,
2009,BGD,15,,,,
2010,BGD,15,,,,
2011,BGD,16,,,,
2012,BGD,16,,,,
2013,BGD,16,,,,
2014,BGD,15,,,,
2015,BGD,15,,,,
2016,BGD,14,,,,
2017,BGD,14,,,,
2018,BGD,13,,,,
2019,BGD,12,,,,
2020,BGD,12,,,,
2021,BGD,12,,,,
2022,BGD,12,,,,
2001,BGR,4.2,,,,
2002,BGR,4.4,,,,
2003,BGR,4.7,,,,
2004,BGR,5.1,,,,
2005,BGR,5.0,,,,
2006,BGR,5.2,,,,
2007,BGR,4.8,,,,
2008,BGR,4.6,,,,
2009,BGR,4.6,,,,
2010,BGR,4.8,,,,
2011,BGR,5.1,,,,
2012,BGR,4.6,,,,
2013,BGR,4.1,,,,
2014,BGR,4.1,,,,
2015,BGR,4.0,,,,
2016,BGR,4.1,,,,
2017,BGR,3.4,,,,
2018,BGR,3.0,,,,
2019,BGR,3.0,,,,
2020,BGR,2.9,,,,
2021,BGR,2.5,,,,
2022,BGR,2.5,,,,
2001,BIH,3.5,,,,
2002,BIH,3.3,,,,
2003,BIH,2.8,,,,
2004,BIH,2.5,,,,
2005,BIH,2.5,,,,
2006,BIH,2.5,,,,
2007,BIH,2.5,,,,
2008,BIH,2.5,,,,
2009,BIH,2.5,,,,
2010,BIH,2.5,,,,
2011,BIH,2.5,,,,
2012,BIH,2.5,,,,
2013,BIH,2.5,,,,
2014,BIH,2.5,,,,
2015,BIH,2.5,,,,
2016,BIH,2.5,,,,
2017,BIH,2.5,,,,
2018,BIH,2.5,,,,
2019,BIH,2.5,,,,
2020,BIH,2.5,,,,
2021,BIH,2.5,,,,
2022,BIH,2.5,,,,
2001,BLR,2.5,,,,
2002,BLR,2.8,,,,
2003,BLR,3.3,,,,
2004,BLR,3.4,,,,
