year,geog,value
2000,WLD,78.22407357
2001,WLD,77.87506473
2002,WLD,79.3367594
2003,WLD,79.934954
2004,WLD,80.1519111
2005,WLD,80.64814221
2006,WLD,81.35642771
2007,WLD,81.84771646
2008,WLD,82.47629043
2009,WLD,82.84916997
2010,WLD,83.21860576
2011,WLD,82.16443101
2012,WLD,84.73198899
2013,WLD,85.22697048
2014,WLD,85.63176302
2015,WLD,86.60221363
2016,WLD,87.68014462
2017,WLD,88.57731537
2018,WLD,89.55324496
2019,WLD,89.99644942
2020,WLD,90.50846683
2000,AFG,1.6
2001,AFG,4.1
2002,AFG,9.4
2003,AFG,14.7
2004,AFG,20.1
2005,AFG,25.4
2006,AFG,30.7
2007,AFG,36.1
2008,AFG,42.4
2009,AFG,46.7
2010,AFG,42.7
2011,AFG,43.2
2012,AFG,69.1
2013,AFG,68.3
2014,AFG,89.5
2015,AFG,71.5
2016,AFG,97.7
2017,AFG,97.7
2018,AFG,96.6
2019,AFG,97.7
2020,AFG,97.7
2000,ALB,100
2001,ALB,100
2002,ALB,100
2003,ALB,100
2004,ALB,100
2005,ALB,100
2006,ALB,100
2007,ALB,100
2008,ALB,100
2009,ALB,100
2010,ALB,100
2011,ALB,100
2012,ALB,99.9
2013,ALB,100
2014,ALB,100
2015,ALB,100
2016,ALB,99.9
2017,ALB,99.9
2018,ALB,100
2019,ALB,100
2020,ALB,100
2000,DZA,99
2001,DZA,99
2002,DZA,99
2003,DZA,98.9
2004,DZA,98.9
2005,DZA,98.9
2006,DZA,98.9
2007,DZA,98.9
2008,DZA,99.3
2009,DZA,98.8
2010,DZA,98.9
2011,DZA,98.9
2012,DZA,98.8
2013,DZA,99
2014,DZA,99.1
2015,DZA,99.2
2016,DZA,99.4
2017,DZA,99.6
2018,DZA,99.7
2019,DZA,99.5
2020,DZA,99.8
2000,AND,100
2001,AND,100
2002,AND,100
2003,AND,100
2004,AND,100
2005,AND,100
2006,AND,100
2007,AND,100
2008,AND,100
2009,AND,100
2010,AND,100
2011,AND,100
2012,AND,100
2013,AND,100
2014,AND,100
2015,AND,100
2016,AND,100
2017,AND,100
2018,AND,100
2019,AND,100
2020,AND,100
