year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2016,WLD,Bilateral public,28,,,,
2016,WLD,Multilateral public,18.9,,,,
2016,WLD,Export credits,1.5,,,,
2016,WLD,Mobilized private,10.1,,,,
2016,WLD,Total,58.5,,,,
2017,WLD,Bilateral public,27,,,,
2017,WLD,Multilateral public,27.1,,,,
2017,WLD,Export credits,3,,,,
2017,WLD,Mobilized private,14.5,,,,
2017,WLD,Total,71.6,,,,
2018,WLD,Bilateral public,32,,,,
2018,WLD,Multilateral public,30.5,,,,
2018,WLD,Export credits,2.7,,,,
2018,WLD,Mobilized private,14.7,,,,
2018,WLD,Total,79.9,,,,
2019,WLD,Bilateral public,28.7,,,,
2019,WLD,Multilateral public,34.7,,,,
2019,WLD,Export credits,2.6,,,,
2019,WLD,Mobilized private,14.4,,,,
2019,WLD,Total,80.4,,,,
2020,WLD,Bilateral public,31.4,,,,
2020,WLD,Multilateral public,36.9,,,,
2020,WLD,Export credits,1.9,,,,
2020,WLD,Mobilized private,13.1,,,,
2020,WLD,Total,83.3,,,,
2021,WLD,Bilateral public,34.5,,,,
2021,WLD,Multilateral public,38.7,,,,
2021,WLD,Export credits,2.1,,,,
2021,WLD,Mobilized private,14.4,,,,
2021,WLD,Total,89.6,,,,
2020,WLD,Total,,,,100,
2021,WLD,Total,,,,100,
2022,WLD,Total,,,,100,
2023,WLD,Total,,,,100,
2024,WLD,Total,,,,100,
2025,WLD,Total,,,,100,
