year,geo,value
2004,WLD,33
2005,WLD,33
2006,WLD,35
2007,WLD,38
2008,WLD,39
2009,WLD,41
2010,WLD,43
2011,WLD,43
2012,WLD,44
2013,WLD,47
2014,WLD,49
2015,WLD,49
2016,WLD,50
2017,WLD,51
2018,WLD,52
2019,WLD,53
2020,WLD,52
2021,WLD,52
2022,WLD,51
2023,WLD,52
2024,WLD,51
2025,WLD,51
2011,ABW,110
2012,ABW,117
2013,ABW,121
2014,ABW,115
2015,ABW,116
2016,ABW,123
2017,ABW,122
2018,ABW,124
2019,ABW,125
2020,ABW,121
2021,ABW,118
2022,ABW,113
2023,ABW,110
2024,ABW,111
2025,ABW,118
2004,AFG,0.018
2005,AFG,0.069
2006,AFG,0.13
2007,AFG,0.23
2008,AFG,0.34
2009,AFG,0.49
2010,AFG,0.57
2011,AFG,0.67
2012,AFG,0.69
2013,AFG,0.76
2014,AFG,0.81
2015,AFG,1
2016,AFG,1.2
2017,AFG,1.3
2018,AFG,1.8
2019,AFG,1.8
2004,AGO,0.83
2005,AGO,1.4
2006,AGO,3
2007,AGO,4.3
2008,AGO,6.1
2009,AGO,8.1
2010,AGO,10
2011,AGO,12
2012,AGO,15
2013,AGO,16
2014,AGO,17
2015,AGO,18
2016,AGO,18
2017,AGO,18
2018,AGO,18
2019,AGO,18
2020,AGO,17
2021,AGO,17
2022,AGO,16
2023,AGO,17
2024,AGO,20
2025,AGO,21
2004,ALB,4.2
2005,ALB,9.2
2006,ALB,14
2007,ALB,19
2008,ALB,28
2009,ALB,33
2010,ALB,34
2011,ALB,35
2012,ALB,36
2013,ALB,36
2014,ALB,36
2015,ALB,37
2016,ALB,37
2017,ALB,35
2018,ALB,34
2019,ALB,33
2020,ALB,35
2021,ALB,40
2022,ALB,42
2023,ALB,46
2024,ALB,51
2025,ALB,56
2022,AND,96
2023,AND,92
2024,AND,90
2025,AND,83
2004,ARE,17
2005,ARE,41
2006,ARE,41
2007,ARE,44
2008,ARE,47
2009,ARE,65
2010,ARE,66
