year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2001,WLD,0.6,,,,
2002,WLD,0.5,,,,
2003,WLD,0.5,,,,
2004,WLD,0.5,,,,
2005,WLD,0.5,,,,
2006,WLD,0.4,,,,
2007,WLD,0.47,,,,
2008,WLD,0.47,,,,
2009,WLD,0.47,,,,
2010,WLD,0.5,,,,
2011,WLD,0.5,,,,
2012,WLD,0.4,,,,
2013,WLD,0.4,,,,
2014,WLD,0.4,,,,
2015,WLD,0.52,,,,
2016,WLD,0.65,,,,
2017,WLD,0.64,,,,
2018,WLD,0.66,,,,
2019,WLD,0.74,,,,
2020,WLD,1,,,,
2021,WLD,0.96,,,,
2022,WLD,1,,,,
2023,WLD,1.04,,,,
2028,WLD,,1.35,,,
2030,WLD,,,,7,
2040,WLD,,,,10,
2050,WLD,,,,10,
