year,geo,value
2000,WLD,3109
2001,WLD,3808
2002,WLD,3996
2003,WLD,4462
2004,WLD,5632
2005,WLD,4865
2006,WLD,5928
2007,WLD,7569
2008,WLD,8609
2009,WLD,9185
2010,WLD,10034
2011,WLD,10511
2012,WLD,14842
2013,WLD,16894
2014,WLD,17336
2015,WLD,18817
2016,WLD,18300
2017,WLD,18760
2018,WLD,20781
2019,WLD,22244
2020,WLD,21131
2021,WLD,17808
2022,WLD,12493
2023,WLD,9737
2024,WLD,146
2000,AFG,0
2001,AFG,0
2002,AFG,0
2003,AFG,0
2004,AFG,1
2005,AFG,67
2006,AFG,0
2007,AFG,0
2008,AFG,0
2009,AFG,0
2010,AFG,0
2011,AFG,0
2012,AFG,0
2013,AFG,0
2014,AFG,0
2015,AFG,0
2016,AFG,0
2017,AFG,0
2018,AFG,0
2019,AFG,0
2020,AFG,0
2021,AFG,0
2022,AFG,0
2023,AFG,0
2024,AFG,0
2000,DZA,0
2001,DZA,0
2002,DZA,0
2003,DZA,0
2004,DZA,33
2005,DZA,37
2006,DZA,41
2007,DZA,42
2008,DZA,43
2009,DZA,45
2010,DZA,45
2011,DZA,0
2012,DZA,0
2013,DZA,0
2014,DZA,0
2015,DZA,0
2016,DZA,0
2017,DZA,0
2018,DZA,0
2019,DZA,0
2020,DZA,0
2021,DZA,0
2022,DZA,0
2023,DZA,0
2024,DZA,0
2000,ARG,10
2001,ARG,10
2002,ARG,10
2003,ARG,10
2004,ARG,10
2005,ARG,7
2006,ARG,8
2007,ARG,9
2008,ARG,9
2009,ARG,8
2010,ARG,8
2011,ARG,8
2012,ARG,7
2013,ARG,7
2014,ARG,4
2015,ARG,4
2016,ARG,4
2017,ARG,4
2018,ARG,91
2019,ARG,126
2020,ARG,126
2021,ARG,126
2022,ARG,123
2023,ARG,3
2024,ARG,0
2000,AUS,1
2001,AUS,1
2002,AUS,1
2003,AUS,1
2004,AUS,1
2005,AUS,0
2006,AUS,0
2007,AUS,0
2008,AUS,0
2009,AUS,0
2010,AUS,0
2011,AUS,0
2012,AUS,0
2013,AUS,0
2014,AUS,0
2015,AUS,0
2016,AUS,0
2017,AUS,0
2018,AUS,0
2019,AUS,0
2020,AUS,0
2021,AUS,0
2022,AUS,0
2023,AUS,0
2024,AUS,0
2000,AUT,217
2001,AUT,219
2002,AUT,221
2003,AUT,222
2004,AUT,366
2005,AUT,366
2006,AUT,366
2007,AUT,195
2008,AUT,202
2009,AUT,203
2010,AUT,204
2011,AUT,205
2012,AUT,205
2013,AUT,370
2014,AUT,370
2015,AUT,369
2016,AUT,369
2017,AUT,369
2018,AUT,368
2019,AUT,368
2020,AUT,363
2021,AUT,370
2022,AUT,359
2023,AUT,321
2024,AUT,0
2000,BGD,0
2001,BGD,0
2002,BGD,0
2003,BGD,0
2004,BGD,86
2005,BGD,0
2006,BGD,0
2007,BGD,0
2008,BGD,0
2009,BGD,0
2010,BGD,0
2011,BGD,0
2012,BGD,0
2013,BGD,0
2014,BGD,0
2015,BGD,0
2016,BGD,0
2017,BGD,0
2018,BGD,0
2019,BGD,0
2020,BGD,0
2021,BGD,0
2022,BGD,0
2023,BGD,0
2024,BGD,0
2000,BEL,13
2001,BEL,47
2002,BEL,48
2003,BEL,48
2004,BEL,37
2005,BEL,47
2006,BEL,78
2007,BEL,103
2008,BEL,108
2009,BEL,119
2010,BEL,118
2011,BEL,116
2012,BEL,116
2013,BEL,66
2014,BEL,66
2015,BEL,68
2016,BEL,68
2017,BEL,68
2018,BEL,70
2019,BEL,80
2020,BEL,80
2021,BEL,80
2022,BEL,80
2023,BEL,79
2024,BEL,7
2000,BIH,0
2001,BIH,0
2002,BIH,0
2003,BIH,12
2004,BIH,12
2005,BIH,13
2006,BIH,15
2007,BIH,15
2008,BIH,16
2009,BIH,16
2010,BIH,16
2011,BIH,15
2012,BIH,15
2013,BIH,0
2014,BIH,0
2015,BIH,0
2016,BIH,0
2017,BIH,0
2018,BIH,0
2019,BIH,0
2020,BIH,0
2021,BIH,0
2022,BIH,0
2023,BIH,0
2024,BIH,0
2000,BRA,55
2001,BRA,513
2002,BRA,549
2003,BRA,820
2004,BRA,1576
2005,BRA,667
2006,BRA,689
2007,BRA,692
2008,BRA,713
2009,BRA,761
2010,BRA,781
2011,BRA,786
2012,BRA,787
2013,BRA,841
2014,BRA,799
2015,BRA,788
2016,BRA,0
2017,BRA,0
2018,BRA,0
2019,BRA,0
2020,BRA,0
2021,BRA,0
2022,BRA,0
2023,BRA,0
2024,BRA,0
2000,BGR,1
2001,BGR,1
2002,BGR,5
2003,BGR,5
2004,BGR,16
2005,BGR,18
2006,BGR,112
2007,BGR,113
2008,BGR,120
2009,BGR,121
2010,BGR,122
2011,BGR,122
2012,BGR,122
2013,BGR,126
2014,BGR,124
2015,BGR,129
2016,BGR,132
2017,BGR,128
2018,BGR,126
2019,BGR,123
2020,BGR,119
2021,BGR,117
2022,BGR,110
2023,BGR,107
2024,BGR,0
2000,BDI,0
2001,BDI,0
2002,BDI,0
2003,BDI,0
2004,BDI,0
2005,BDI,0
2006,BDI,0
2007,BDI,0
2008,BDI,0
2009,BDI,0
2010,BDI,0
2011,BDI,0
2012,BDI,0
2013,BDI,0
2014,BDI,0
2015,BDI,0
2016,BDI,5
2017,BDI,0
2018,BDI,0
2019,BDI,0
2020,BDI,0
2021,BDI,0
2022,BDI,0
2023,BDI,0
2024,BDI,0
2000,KHM,6
2001,KHM,6
2002,KHM,6
2003,KHM,6
2004,KHM,11
2005,KHM,11
2006,KHM,11
2007,KHM,10
2008,KHM,10
2009,KHM,1
2010,KHM,0
2011,KHM,0
2012,KHM,0
2013,KHM,0
2014,KHM,0
2015,KHM,0
2016,KHM,0
2017,KHM,0
2018,KHM,0
2019,KHM,0
2020,KHM,0
2021,KHM,0
2022,KHM,0
2023,KHM,0
2024,KHM,0
2000,CAN,175
2001,CAN,218
2002,CAN,223
2003,CAN,227
2004,CAN,233
2005,CAN,235
2006,CAN,246
2007,CAN,239
2008,CAN,250
2009,CAN,252
2010,CAN,254
2011,CAN,254
2012,CAN,265
2013,CAN,266
2014,CAN,268
2015,CAN,268
2016,CAN,270
2017,CAN,265
2018,CAN,260
2019,CAN,254
2020,CAN,0
2021,CAN,0
2022,CAN,0
2023,CAN,0
2024,CAN,0
2000,CHL,458
2001,CHL,476
2002,CHL,480
2003,CHL,485
2004,CHL,484
2005,CHL,492
2006,CHL,497
2007,CHL,499
2008,CHL,499
2009,CHL,512
2010,CHL,488
2011,CHL,487
2012,CHL,499
2013,CHL,519
2014,CHL,592
2015,CHL,693
2016,CHL,834
2017,CHL,965
2018,CHL,1084
2019,CHL,1050
2020,CHL,1083
2021,CHL,1180
2022,CHL,1201
2023,CHL,689
2024,CHL,47
2000,CHN,1
2001,CHN,1
2002,CHN,1
2003,CHN,2
2004,CHN,2
2005,CHN,2
2006,CHN,2
2007,CHN,2
2008,CHN,2
2009,CHN,2
2010,CHN,2
2011,CHN,2
2012,CHN,2
2013,CHN,2
2014,CHN,0
2015,CHN,0
2016,CHN,0
2017,CHN,0
2018,CHN,0
2019,CHN,0
2020,CHN,0
2021,CHN,0
2022,CHN,0
2023,CHN,0
2024,CHN,0
2000,COL,0
2001,COL,0
2002,COL,0
2003,COL,0
2004,COL,0
2005,COL,111
2006,COL,130
2007,COL,134
2008,COL,134
2009,COL,135
2010,COL,139
2011,COL,138
2012,COL,130
2013,COL,108
2014,COL,0
2015,COL,0
2016,COL,0
2017,COL,0
2018,COL,0
2019,COL,0
2020,COL,0
2021,COL,0
2022,COL,0
2023,COL,0
2024,COL,0
2000,CRI,0
2001,CRI,0
2002,CRI,0
2003,CRI,0
2004,CRI,0
2005,CRI,0
2006,CRI,0
2007,CRI,0
2008,CRI,0
2009,CRI,0
2010,CRI,0
2011,CRI,0
2012,CRI,0
2013,CRI,0
2014,CRI,0
2015,CRI,15
2016,CRI,97
2017,CRI,93
2018,CRI,40
2019,CRI,0
2020,CRI,0
2021,CRI,0
2022,CRI,0
2023,CRI,0
2024,CRI,0
2000,HRV,0
2001,HRV,0
2002,HRV,0
2003,HRV,25
2004,HRV,27
2005,HRV,29
2006,HRV,29
2007,HRV,30
2008,HRV,32
2009,HRV,34
2010,HRV,35
2011,HRV,37
2012,HRV,36
2013,HRV,115
2014,HRV,115
2015,HRV,115
2016,HRV,118
2017,HRV,118
2018,HRV,118
2019,HRV,118
2020,HRV,116
2021,HRV,116
2022,HRV,116
2023,HRV,116
2024,HRV,5
2000,CUB,0
2001,CUB,0
2002,CUB,0
2003,CUB,0
2004,CUB,0
2005,CUB,0
2006,CUB,0
2007,CUB,0
2008,CUB,0
2009,CUB,0
2010,CUB,0
2011,CUB,0
2012,CUB,0
2013,CUB,0
2014,CUB,0
2015,CUB,0
2016,CUB,0
2017,CUB,0
2018,CUB,0
2019,CUB,0
2020,CUB,0
2021,CUB,0
2022,CUB,0
2023,CUB,0
2024,CUB,0
2000,CYP,14
2001,CYP,14
2002,CYP,14
2003,CYP,14
2004,CYP,14
2005,CYP,14
2006,CYP,14
2007,CYP,31
2008,CYP,34
2009,CYP,37
2010,CYP,39
2011,CYP,40
2012,CYP,40
2013,CYP,40
2014,CYP,40
2015,CYP,40
2016,CYP,37
2017,CYP,37
2018,CYP,37
2019,CYP,37
2020,CYP,37
2021,CYP,37
2022,CYP,36
2023,CYP,34
2024,CYP,1
2000,CZE,0
2001,CZE,0
2002,CZE,0
2003,CZE,0
2004,CZE,70
2005,CZE,70
2006,CZE,71
2007,CZE,68
2008,CZE,98
2009,CZE,101
2010,CZE,106
2011,CZE,135
2012,CZE,171
2013,CZE,228
2014,CZE,234
2015,CZE,242
2016,CZE,245
2017,CZE,224
2018,CZE,242
2019,CZE,219
2020,CZE,216
2021,CZE,202
2022,CZE,162
2023,CZE,0
2024,CZE,0
2000,DNK,113
2001,DNK,113
2002,DNK,113
2003,DNK,113
2004,DNK,113
2005,DNK,113
2006,DNK,123
2007,DNK,123
2008,DNK,123
2009,DNK,110
2010,DNK,101
2011,DNK,71
2012,DNK,71
2013,DNK,70
2014,DNK,68
2015,DNK,59
2016,DNK,50
2017,DNK,50
2018,DNK,50
2019,DNK,49
2020,DNK,49
2021,DNK,49
2022,DNK,49
2023,DNK,0
2024,DNK,0
2000,ECU,0
2001,ECU,0
2002,ECU,0
2003,ECU,1
2004,ECU,1
2005,ECU,1
2006,ECU,1
2007,ECU,0
2008,ECU,0
2009,ECU,0
2010,ECU,0
2011,ECU,0
2012,ECU,0
2013,ECU,0
2014,ECU,0
2015,ECU,0
2016,ECU,0
2017,ECU,0
2018,ECU,0
2019,ECU,0
2020,ECU,0
2021,ECU,0
2022,ECU,0
2023,ECU,0
2024,ECU,0
2000,EGY,0
2001,EGY,0
2002,EGY,0
2003,EGY,0
2004,EGY,0
2005,EGY,0
2006,EGY,0
2007,EGY,0
2008,EGY,0
2009,EGY,0
2010,EGY,0
2011,EGY,0
2012,EGY,0
2013,EGY,0
2014,EGY,0
2015,EGY,0
2016,EGY,0
2017,EGY,0
2018,EGY,0
2019,EGY,0
2020,EGY,0
2021,EGY,0
2022,EGY,0
2023,EGY,0
2024,EGY,0
2000,EST,71
2001,EST,71
2002,EST,72
2003,EST,72
2004,EST,72
2005,EST,72
2006,EST,72
2007,EST,74
2008,EST,73
2009,EST,74
2010,EST,86
2011,EST,101
2012,EST,102
