year,year_max,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,2022,WLD,200000,,,,
2016,2017,ARG  ,15,,,,
2014,2021,ARG  ,282,,,,
2017,2024,ARG  ,238,,,,
2017,2024,PER  ,18327,,,,
2017,2027,ARG  ,1000,,,,
2011,2020,ARG  ,6.2,,,,
2018,2024,PAN  ,150,,,,
2017,2025,PAN  ,25,,,,
2022,2026,BRA  ,10,,,,
2000,2024,BRA  ,56,,,,
2003,2006,CHN  ,200,,,,
2017,2022,TZA  ,265,,,,
2011,2014,IDN  ,30,,,,
2009,2023,IDN  ,20,,,,
2019,2022,IDN  ,200,,,,
2001,2005,IDN  ,10000,,,,
2015,2021,IDN  ,119,,,,
2010,2019,JPN  ,40,,,,
2017,2020,PHL  ,20,,,,
2011,2023,RUS  ,22000,,,,
2011,2015,MLI  ,20,,,,
2017,2021,MLI  ,10,,,,
2015,2021,MLI  ,200,,,,
2011,2015,MLI  ,5000,,,,
2019,2021,MLI  ,1280,,,,
1996,2028,IND  ,25000,,,,
1992,2022,IND  ,116500,,,,
2017,2025,SEN  ,810,,,,
2012,2016,SEN  ,350,,,,
