year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,WLD,Total,32,,,,
2001,WLD,Total,33,,,,
2002,WLD,Total,33,,,,
2003,WLD,Total,34,,,,
2004,WLD,Total,35,,,,
2005,WLD,Total,36,,,,
2006,WLD,Total,37,,,,
2007,WLD,Total,39,,,,
2008,WLD,Total,40,,,,
2009,WLD,Total,41,,,,
2010,WLD,Total,42,,,,
2011,WLD,Total,43,,,,
2012,WLD,Total,45,,,,
2013,WLD,Total,46,,,,
2014,WLD,Total,47,,,,
2015,WLD,Total,49,,,,
2016,WLD,Total,50,,,,
2017,WLD,Total,51,,,,
2018,WLD,Total,53,,,,
2019,WLD,Total,54,,,,
2020,WLD,Total,55,,,,
2021,WLD,Total,56,,,,
2022,WLD,Total,57,,,,
2027,WLD,Total,,62,,,
2030,WLD,Total,,,,100,
2000,WLD,Rural,17,,,,
2001,WLD,Rural,18,,,,
2002,WLD,Rural,19,,,,
2003,WLD,Rural,19,,,,
2004,WLD,Rural,21,,,,
2005,WLD,Rural,22,,,,
2006,WLD,Rural,23,,,,
2007,WLD,Rural,24,,,,
2008,WLD,Rural,26,,,,
2009,WLD,Rural,27,,,,
2010,WLD,Rural,28,,,,
2011,WLD,Rural,30,,,,
2012,WLD,Rural,31,,,,
2013,WLD,Rural,33,,,,
2014,WLD,Rural,34,,,,
2015,WLD,Rural,36,,,,
2016,WLD,Rural,37,,,,
2017,WLD,Rural,39,,,,
2018,WLD,Rural,40,,,,
2019,WLD,Rural,42,,,,
2020,WLD,Rural,43,,,,
2021,WLD,Rural,45,,,,
2022,WLD,Rural,46,,,,
2000,WLD,Urban,50,,,,
2001,WLD,Urban,50,,,,
2002,WLD,Urban,50,,,,
2003,WLD,Urban,50,,,,
2004,WLD,Urban,51,,,,
2005,WLD,Urban,51,,,,
2006,WLD,Urban,52,,,,
2007,WLD,Urban,53,,,,
2008,WLD,Urban,54,,,,
2009,WLD,Urban,54,,,,
2010,WLD,Urban,55,,,,
2011,WLD,Urban,56,,,,
2012,WLD,Urban,57,,,,
2013,WLD,Urban,58,,,,
2014,WLD,Urban,59,,,,
2015,WLD,Urban,60,,,,
2016,WLD,Urban,61,,,,
2017,WLD,Urban,62,,,,
2018,WLD,Urban,63,,,,
2019,WLD,Urban,64,,,,
2020,WLD,Urban,64,,,,
2021,WLD,Urban,65,,,,
2022,WLD,Urban,65,,,,
2000,ALB,Total,27,,,,
2001,ALB,Total,27,,,,
2002,ALB,Total,28,,,,
2003,ALB,Total,28,,,,
2004,ALB,Total,29,,,,
2005,ALB,Total,30,,,,
2006,ALB,Total,31,,,,
2007,ALB,Total,31,,,,
2008,ALB,Total,32,,,,
2009,ALB,Total,33,,,,
2010,ALB,Total,34,,,,
2011,ALB,Total,34,,,,
2012,ALB,Total,35,,,,
2013,ALB,Total,37,,,,
2014,ALB,Total,39,,,,
2015,ALB,Total,42,,,,
2016,ALB,Total,44,,,,
2017,ALB,Total,46,,,,
2018,ALB,Total,48,,,,
2019,ALB,Total,50,,,,
2020,ALB,Total,53,,,,
2021,ALB,Total,54,,,,
2022,ALB,Total,56,,,,
2000,DZA,Total,59,,,,
2001,DZA,Total,59,,,,
2002,DZA,Total,60,,,,
2003,DZA,Total,60,,,,
2004,DZA,Total,60,,,,
2005,DZA,Total,60,,,,
2006,DZA,Total,61,,,,
2007,DZA,Total,61,,,,
2008,DZA,Total,61,,,,
2009,DZA,Total,62,,,,
2010,DZA,Total,62,,,,
2011,DZA,Total,62,,,,
2012,DZA,Total,62,,,,
2013,DZA,Total,62,,,,
2014,DZA,Total,62,,,,
2015,DZA,Total,62,,,,
2016,DZA,Total,62,,,,
2017,DZA,Total,62,,,,
2018,DZA,Total,62,,,,
2019,DZA,Total,62,,,,
2020,DZA,Total,62,,,,
2021,DZA,Total,62,,,,
2022,DZA,Total,62,,,,
2000,ASM,Total,45,,,,
2001,ASM,Total,45,,,,
2002,ASM,Total,45,,,,
2003,ASM,Total,45,,,,
2004,ASM,Total,44,,,,
2005,ASM,Total,44,,,,
2006,ASM,Total,44,,,,
2007,ASM,Total,44,,,,
2008,ASM,Total,44,,,,
2009,ASM,Total,44,,,,
2010,ASM,Total,43,,,,
2011,ASM,Total,42,,,,
2012,ASM,Total,41,,,,
2013,ASM,Total,40,,,,
2014,ASM,Total,39,,,,
2015,ASM,Total,39,,,,
2016,ASM,Total,38,,,,
2017,ASM,Total,37,,,,
2018,ASM,Total,37,,,,
2019,ASM,Total,37,,,,
