year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2018,WLD,Total,71,,,,
2019,WLD,Total,68,,,,
2020,WLD,Total,66,,,,
2021,WLD,Total,62,,,,
2022,WLD,Total,61,,,,
2023,WLD,Total,61,,,,
2024,WLD,Total,59,,,,
2029,WLD,Total,,54,,,
2018,WLD,Open,23,,,,
2019,WLD,Open,22,,,,
2020,WLD,Open,21,,,,
2021,WLD,Open,20,,,,
2022,WLD,Open,19,,,,
2023,WLD,Open,19,,,,
2024,WLD,Open,20,,,,
2018,WLD,Narrowed,20,,,,
2019,WLD,Narrowed,21,,,,
2020,WLD,Narrowed,20,,,,
2021,WLD,Narrowed,21,,,,
2022,WLD,Narrowed,21,,,,
2023,WLD,Narrowed,22,,,,
2024,WLD,Narrowed,21,,,,
2018,WLD,Obstructed,27,,,,
2019,WLD,Obstructed,25,,,,
2020,WLD,Obstructed,24,,,,
2021,WLD,Obstructed,22,,,,
2022,WLD,Obstructed,20,,,,
2023,WLD,Obstructed,20,,,,
2024,WLD,Obstructed,18,,,,
2018,AFG,Total,0,,,,
2019,AFG,Total,0,,,,
2020,AFG,Total,0,,,,
2021,AFG,Total,0,,,,
2022,AFG,Total,0,,,,
2018,AGO,Total,0,,,,
2019,AGO,Total,0,,,,
2020,AGO,Total,0,,,,
2021,AGO,Total,0,,,,
2022,AGO,Total,0,,,,
2018,ALB,Total,1,,,,
2019,ALB,Total,1,,,,
2020,ALB,Total,1,,,,
2021,ALB,Total,1,,,,
2022,ALB,Total,1,,,,
2018,AND,Total,1,,,,
2019,AND,Total,1,,,,
2020,AND,Total,1,,,,
2021,AND,Total,1,,,,
2022,AND,Total,1,,,,
2018,ARE,Total,0,,,,
2019,ARE,Total,0,,,,
2020,ARE,Total,0,,,,
2021,ARE,Total,0,,,,
2022,ARE,Total,0,,,,
2018,ARG,Total,1,,,,
2019,ARG,Total,1,,,,
2020,ARG,Total,1,,,,
2021,ARG,Total,1,,,,
2022,ARG,Total,1,,,,
2018,ARM,Total,1,,,,
2019,ARM,Total,1,,,,
2020,ARM,Total,1,,,,
2021,ARM,Total,1,,,,
2022,ARM,Total,1,,,,
2018,ATG,Total,1,,,,
2019,ATG,Total,1,,,,
2020,ATG,Total,1,,,,
2021,ATG,Total,1,,,,
2022,ATG,Total,1,,,,
2018,AUS,Total,1,,,,
2019,AUS,Total,1,,,,
2020,AUS,Total,1,,,,
2021,AUS,Total,1,,,,
2022,AUS,Total,1,,,,
2018,AUT,Total,1,,,,
2019,AUT,Total,1,,,,
2020,AUT,Total,1,,,,
2021,AUT,Total,1,,,,
2022,AUT,Total,1,,,,
2018,AZE,Total,0,,,,
2019,AZE,Total,0,,,,
2020,AZE,Total,0,,,,
2021,AZE,Total,0,,,,
2022,AZE,Total,0,,,,
2018,BDI,Total,0,,,,
2019,BDI,Total,0,,,,
2020,BDI,Total,0,,,,
2021,BDI,Total,0,,,,
2022,BDI,Total,0,,,,
2018,BEL,Total,1,,,,
2019,BEL,Total,1,,,,
2020,BEL,Total,1,,,,
2021,BEL,Total,1,,,,
2022,BEL,Total,1,,,,
2018,BEN,Total,1,,,,
2019,BEN,Total,1,,,,
2020,BEN,Total,1,,,,
2021,BEN,Total,0,,,,
2022,BEN,Total,0,,,,
2018,BFA,Total,1,,,,
2019,BFA,Total,1,,,,
2020,BFA,Total,1,,,,
2021,BFA,Total,1,,,,
2022,BFA,Total,1,,,,
2018,BGD,Total,0,,,,
2019,BGD,Total,0,,,,
2020,BGD,Total,0,,,,
2021,BGD,Total,0,,,,
2022,BGD,Total,0,,,,
2018,BGR,Total,1,,,,
2019,BGR,Total,1,,,,
2020,BGR,Total,1,,,,
2021,BGR,Total,1,,,,
2022,BGR,Total,1,,,,
2018,BHR,Total,0,,,,
2019,BHR,Total,0,,,,
2020,BHR,Total,0,,,,
2021,BHR,Total,0,,,,
2022,BHR,Total,0,,,,
