year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2015,WLD,77,,,,
2020,WLD,79,,,,
2015,KHM,1,,,,
2015,CHN,1,,,,
2015,IND,1,,,,
2015,IDN,1,,,,
2015,KAZ,1,,,,
2015,KGZ,1,,,,
2015,LAO,1,,,,
2015,MNG,1,,,,
2015,MMR,1,,,,
2015,NPL,1,,,,
2015,PHL,1,,,,
2015,THA,1,,,,
2015,TLS,0,,,,
2015,TKM,1,,,,
2015,UZB,0,,,,
2015,VNM,1,,,,
2015,FIN,1,,,,
2015,NOR,1,,,,
2015,RUS,1,,,,
2015,SWE,1,,,,
2015,ARG,1,,,,
2015,BOL,1,,,,
2015,BRA,1,,,,
2015,CHL,1,,,,
2015,COL,1,,,,
2015,CRI,1,,,,
2015,ECU,1,,,,
2015,GTM,1,,,,
2015,GUY,1,,,,
2015,HND,1,,,,
2015,MEX,1,,,,
2015,NIC,1,,,,
2015,PAN,1,,,,
2015,PER,1,,,,
2015,SUR,0,,,,
2015,VEN,1,,,,
2015,CAN,1,,,,
2015,USA,1,,,,
2015,DZA,1,,,,
2015,EGY,0,,,,
2015,LBY,0,,,,
2015,MAR,1,,,,
2015,OMN,0,,,,
2015,SAU,0,,,,
2015,TUN,1,,,,
2015,YEM,0,,,,
2015,AGO,1,,,,
2015,BWA,1,,,,
2015,CMR,1,,,,
2015,CAF,0,,,,
2015,TCD,0,,,,
2015,COD,0,,,,
2015,COG,0,,,,
2015,ETH,1,,,,
2015,GAB,1,,,,
2015,GHA,1,,,,
2015,KEN,1,,,,
2015,LBR,1,,,,
2015,MDG,1,,,,
2015,MOZ,1,,,,
2015,NAM,1,,,,
2015,SEN,0,,,,
2015,SSD,1,,,,
2015,SDN,1,,,,
2015,TZA,1,,,,
2015,UGA,1,,,,
2015,ZMB,1,,,,
2015,ZWE,1,,,,
2015,AUS,1,,,,
2015,PNG,0,,,,
2020,KHM,1,,,,
2020,CHN,1,,,,
2020,IND,1,,,,
2020,IDN,1,,,,
2020,KAZ,1,,,,
2020,KGZ,1,,,,
2020,LAO,1,,,,
2020,MNG,1,,,,
2020,MMR,1,,,,
2020,NPL,1,,,,
2020,PHL,1,,,,
2020,THA,1,,,,
2020,TLS,0,,,,
2020,TKM,1,,,,
2020,UZB,0,,,,
2020,VNM,1,,,,
2020,FIN,1,,,,
2020,NOR,1,,,,
2020,RUS,1,,,,
2020,SWE,1,,,,
2020,ARG,1,,,,
2020,BOL,1,,,,
2020,BRA,1,,,,
2020,CHL,1,,,,
2020,COL,1,,,,
2020,CRI,1,,,,
2020,ECU,1,,,,
2020,GTM,1,,,,
2020,GUY,1,,,,
2020,HND,1,,,,
2020,MEX,1,,,,
2020,NIC,1,,,,
2020,PAN,1,,,,
2020,PER,1,,,,
2020,SUR,0,,,,
2020,VEN,1,,,,
2020,CAN,1,,,,
2020,USA,1,,,,
2020,DZA,1,,,,
2020,EGY,0,,,,
2020,LBY,0,,,,
2020,MAR,1,,,,
2020,OMN,0,,,,
2020,SAU,0,,,,
2020,TUN,1,,,,
2020,YEM,0,,,,
2020,AGO,1,,,,
2020,BWA,1,,,,
2020,CMR,1,,,,
2020,CAF,1,,,,
2020,TCD,0,,,,
2020,COD,1,,,,
2020,COG,0,,,,
2020,ETH,1,,,,
2020,GAB,1,,,,
2020,GHA,1,,,,
2020,KEN,1,,,,
2020,LBR,1,,,,
2020,MDG,1,,,,
2020,MOZ,1,,,,
2020,NAM,1,,,,
2020,SEN,0,,,,
2020,SSD,0,,,,
2020,SDN,1,,,,
2020,TZA,1,,,,
2020,UGA,1,,,,
2020,ZMB,1,,,,
2020,ZWE,1,,,,
2020,AUS,1,,,,
2020,PNG,1,,,,
