year,geo,value
2019,WLD,1
2020,WLD,1
2021,WLD,8
2022,WLD,11
2023,WLD,15
2024,WLD,26
2025,WLD,47
2025,ARE,1
2019,AUS,1
2020,AUS,1
2021,AUS,1
2022,AUS,1
2023,AUS,1
2024,AUS,2
2025,AUS,2
2024,AUT,1
2025,AUT,1
2022,BRA,1
2023,BRA,1
2024,BRA,1
2025,BRA,3
2025,CAN,1
2021,CHN,2
2022,CHN,4
2023,CHN,4
2024,CHN,5
2025,CHN,8
2024,DEU,2
2025,DEU,4
2025,FIN,2
2023,IND,1
2024,IND,2
2025,IND,4
2024,IRN,1
2025,IRN,1
2023,ITA,1
2024,ITA,1
2025,ITA,1
2021,JPN,2
2022,JPN,2
2023,JPN,3
2024,JPN,3
2025,JPN,3
2023,KOR,1
2024,KOR,1
2025,KOR,2
2021,LUX,1
2022,LUX,1
2023,LUX,1
2024,LUX,1
2025,LUX,2
2025,RUS,2
2025,SAU,1
2024,SWE,1
2025,SWE,3
2024,TUR,1
2025,TUR,1
2021,TWN,1
2022,TWN,1
2023,TWN,1
2024,TWN,1
2025,TWN,1
2021,USA,1
2022,USA,1
2023,USA,1
2024,USA,3
2025,USA,4
