year,geo,disaggs,value,projections,benchmark_low,benchmark_mid,benchmark_high
1990,WLD,Total,130,,,,
1991,WLD,Total,135,,,,
1992,WLD,Total,144,,,,
1993,WLD,Total,150,,,,
1994,WLD,Total,164,,,,
1995,WLD,Total,171,,,,
1996,WLD,Total,183,,,,
1997,WLD,Total,197,,,,
1998,WLD,Total,206,,,,
1999,WLD,Total,222,,,,
2000,WLD,Total,234,,,,
2001,WLD,Total,240,,,,
2002,WLD,Total,255,,,,
2003,WLD,Total,266,,,,
2004,WLD,Total,284,,,,
2005,WLD,Total,292,,,,
2006,WLD,Total,310,,,,
2007,WLD,Total,328,,,,
2008,WLD,Total,313,,,,
2009,WLD,Total,321,,,,
2010,WLD,Total,349,,,,
2011,WLD,Total,363,,,,
2012,WLD,Total,377,,,,
2013,WLD,Total,394,,,,
2014,WLD,Total,401,,,,
2015,WLD,Total,413,,,,
2016,WLD,Total,420,,,,
2017,WLD,Total,432,,,,
2018,WLD,Total,446,,,,
2019,WLD,Total,460,,,,
1990,WLD,Marine coatings,0.16,,,,
1990,WLD,Road marking coatings,0.2,,,,
1990,WLD,Tires,2.17,,,,
1990,WLD,"AB, ASA, SAN",2.68,,,,
1990,WLD,Other,23.55,,,,
1990,WLD,Fibres,16.51,,,,
1990,WLD,PUR,5.37,,,,
1990,WLD,PVC,14.7,,,,
1990,WLD,Bioplastics,0.69,,,,
1990,WLD,PS,6.35,,,,
1990,WLD,LLDPE,15.67,,,,
1990,WLD,PP,20.8,,,,
1990,WLD,PET,6.65,,,,
1990,WLD,HDPE,14.37,,,,
1991,WLD,Marine coatings,0.17,,,,
1991,WLD,Road marking coatings,0.2,,,,
1991,WLD,Tires,2.26,,,,
1991,WLD,"AB, ASA, SAN",2.78,,,,
1991,WLD,Other,24.44,,,,
1991,WLD,Fibres,17.19,,,,
1991,WLD,PUR,5.57,,,,
1991,WLD,PVC,15.25,,,,
1991,WLD,Bioplastics,0.72,,,,
1991,WLD,PS,6.58,,,,
1991,WLD,LLDPE,16.25,,,,
1991,WLD,PP,21.59,,,,
1991,WLD,PET,6.92,,,,
1991,WLD,HDPE,14.97,,,,
1992,WLD,Marine coatings,0.18,,,,
1992,WLD,Road marking coatings,0.22,,,,
1992,WLD,Tires,2.41,,,,
1992,WLD,"AB, ASA, SAN",2.96,,,,
1992,WLD,Other,25.99,,,,
1992,WLD,Fibres,18.34,,,,
1992,WLD,PUR,5.92,,,,
1992,WLD,PVC,16.22,,,,
1992,WLD,Bioplastics,0.76,,,,
1992,WLD,PS,6.99,,,,
1992,WLD,LLDPE,17.28,,,,
1992,WLD,PP,22.96,,,,
1992,WLD,PET,7.38,,,,
1992,WLD,HDPE,15.98,,,,
1993,WLD,Marine coatings,0.19,,,,
1993,WLD,Road marking coatings,0.22,,,,
1993,WLD,Tires,2.52,,,,
1993,WLD,"AB, ASA, SAN",3.08,,,,
1993,WLD,Other,27.07,,,,
1993,WLD,Fibres,19.16,,,,
1993,WLD,PUR,6.16,,,,
1993,WLD,PVC,16.89,,,,
1993,WLD,Bioplastics,0.8,,,,
1993,WLD,PS,7.27,,,,
1993,WLD,LLDPE,18,,,,
1993,WLD,PP,23.92,,,,
1993,WLD,PET,7.71,,,,
1993,WLD,HDPE,16.71,,,,
1994,WLD,Marine coatings,0.21,,,,
1994,WLD,Road marking coatings,0.25,,,,
