year,geo,disagg_type,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2015,WLD,Global,Groundwater,0.32,,,,
2015,WLD,Global,Surface water,74,,,,
2015,WLD,Global,Soil,65,,,,
2015,WLD,Global,Atmosphere,49,,,,
2015,WLD,High biodiversity,Groundwater,0.55,,,,
2015,WLD,High biodiversity,Surface water,82,,,,
2015,WLD,High biodiversity,Soil,78,,,,
2015,WLD,High biodiversity,Atmosphere,55,,,,
2015,WLD,High and upper-middle income countries,Groundwater,0.35,,,,
2015,WLD,High and upper-middle income countries,Surface water,75,,,,
2015,WLD,High and upper-middle income countries,Soil,66,,,,
2015,WLD,High and upper-middle income countries,Atmosphere,54,,,,
2015,WLD,Low and lower-middle income countries,Groundwater,0.25,,,,
2015,WLD,Low and lower-middle income countries,Surface water,71,,,,
2015,WLD,Low and lower-middle income countries,Soil,63,,,,
2015,WLD,Low and lower-middle income countries,Atmosphere,40,,,,
2015,AFG,Risk,Low Risk,27700,,,,
2015,AFG,Risk,Medium Risk,41000,,,,
2015,AFG,Risk,High Risk,206000,,,,
2015,AGO,Risk,Low Risk,277000,,,,
2015,AGO,Risk,Medium Risk,9510,,,,
2015,AGO,Risk,High Risk,0,,,,
2015,ALB,Risk,Low Risk,39,,,,
2015,ALB,Risk,Medium Risk,345,,,,
2015,ALB,Risk,High Risk,7930,,,,
2015,AND,Risk,Low Risk,0,,,,
2015,AND,Risk,Medium Risk,49,,,,
2015,AND,Risk,High Risk,83,,,,
2015,ARE,Risk,Low Risk,1260,,,,
2015,ARE,Risk,Medium Risk,408,,,,
2015,ARE,Risk,High Risk,2610,,,,
2015,ARG,Risk,Low Risk,231000,,,,
2015,ARG,Risk,Medium Risk,468000,,,,
2015,ARG,Risk,High Risk,146000,,,,
2015,ARM,Risk,Low Risk,0,,,,
2015,ARM,Risk,Medium Risk,5710,,,,
2015,ARM,Risk,High Risk,7770,,,,
2015,AUS,Risk,Low Risk,375000,,,,
2015,AUS,Risk,Medium Risk,342000,,,,
2015,AUS,Risk,High Risk,254000,,,,
2015,AUT,Risk,Low Risk,3110,,,,
2015,AUT,Risk,Medium Risk,18500,,,,
