year,geo,value
2015,WLD,19
2022,WLD,41
2024,WLD,51
2022,AGO,11
2024,AGO,11
2022,ALB,23
2024,ALB,23
2022,ARE,43
2024,ARE,190
2022,ARG,18
2024,ARG,20
2015,ARM,4
2022,ARM,22
2024,ARM,24
2022,ATG,30
2024,ATG,30
2015,AUS,10
2022,AUS,15
2024,AUS,17
2015,AUT,29
2022,AUT,125
2024,AUT,146
2022,BDI,19
2024,BDI,21
2015,BEL,29
2022,BEL,125
2024,BEL,146
2015,BEN,26
2022,BEN,32
2024,BEN,33
2015,BFA,3
2022,BFA,26
2024,BFA,28
2015,BGD,13
2022,BGD,16
2024,BGD,16
2015,BGR,41
2022,BGR,125
2024,BGR,146
2022,BHR,21
2024,BHR,155
2022,BIH,35
2024,BIH,35
2022,BLR,1
2024,BLR,1
2022,BLZ,29
2024,BLZ,33
2022,BOL,5
2024,BOL,10
2015,BRA,17
2022,BRA,75
2024,BRA,89
2022,BRB,4
2024,BRB,4
2022,BTN,1
2024,BTN,1
2022,BWA,6
2024,BWA,18
2022,CAF,3
2024,CAF,3
2015,CAN,10
2022,CAN,30
2024,CAN,29
2015,CHE,9
2022,CHE,91
2024,CHE,92
2022,CHL,26
2024,CHL,34
2015,CHN,33
2022,CHN,41
2024,CHN,44
2015,CIV,14
2022,CIV,21
2024,CIV,26
2015,CMR,12
2022,CMR,25
2024,CMR,25
2022,COD,19
2024,COD,19
2022,COG,6
2024,COG,5
2022,COK,23
2024,COK,23
2015,COL,17
2022,COL,38
2024,COL,39
2015,CPV,7
2022,CPV,29
2024,CPV,29
2015,CRI,11
2022,CRI,23
2024,CRI,27
2015,CUB,1
2022,CUB,19
2024,CUB,19
2015,CYP,29
2022,CYP,125
2024,CYP,146
2015,CZE,29
2022,CZE,125
2024,CZE,146
2015,DEU,29
2022,DEU,125
2024,DEU,146
2022,DMA,5
2024,DMA,5
2015,DNK,29
2022,DNK,125
2024,DNK,146
2015,DOM,7
2022,DOM,17
2024,DOM,15
2015,ECU,3
2022,ECU,23
2024,ECU,23
2022,EGY,76
2024,EGY,97
2022,ERI,21
2024,ERI,21
2015,ESP,29
2022,ESP,125
2024,ESP,146
2015,EST,29
2022,EST,125
2024,EST,146
2022,ETH,12
2024,ETH,12
2015,EUU,29
2022,EUU,125
2024,EUU,146
2015,FIN,29
2022,FIN,125
2024,FIN,146
2015,FJI,9
2022,FJI,14
2024,FJI,14
2015,FRA,29
2022,FRA,126
2024,FRA,147
2022,GAB,13
2024,GAB,35
2015,GBR,29
2022,GBR,124
2024,GBR,146
2022,GEO,21
2024,GEO,24
2022,GHA,9
2024,GHA,16
2015,GIN,31
2022,GIN,41
2024,GIN,47
2015,GMB,16
2022,GMB,28
2024,GMB,28
2015,GNB,1
2022,GNB,25
2024,GNB,28
2022,GNQ,23
2024,GNQ,23
2015,GRC,29
2022,GRC,125
2024,GRC,146
2022,GRD,12
2024,GRD,8
2022,GTM,6
2024,GTM,6
2015,GUY,12
2022,GUY,25
2024,GUY,30
2022,HND,23
2024,HND,23
2015,HRV,29
2022,HRV,125
2024,HRV,146
2015,HUN,36
2022,HUN,125
2024,HUN,146
2015,IDN,18
2022,IDN,54
2024,IDN,54
2015,IND,24
2022,IND,47
2024,IND,51
2015,IRL,29
2022,IRL,125
2024,IRL,146
2015,IRN,5
2022,IRN,20
2024,IRN,20
2022,IRQ,11
2024,IRQ,153
2022,ISL,1
2015,ISR,2
2022,ISR,19
2024,ISR,19
2015,ITA,29
2022,ITA,125
2024,ITA,146
2015,JAM,1
2022,JAM,22
2024,JAM,22
2015,JOR,6
2022,JOR,19
2024,JOR,19
2015,JPN,16
2022,JPN,20
2024,JPN,20
2022,KAZ,22
2024,KAZ,22
2022,KEN,14
2024,KEN,28
2015,KGZ,10
2022,KGZ,24
2024,KGZ,24
2015,KHM,47
2022,KHM,53
2024,KHM,76
2022,KNA,27
2024,KNA,27
2015,KOR,11
2022,KOR,21
2024,KOR,21
2022,KWT,31
2024,KWT,156
2015,LAO,30
2022,LAO,36
2024,LAO,36
2022,LBN,19
2024,LBN,24
2022,LBR,8
2024,LBR,15
2022,LBY,16
2024,LBY,16
2022,LCA,18
2024,LCA,18
2022,LIE,18
2024,LIE,22
2015,LKA,20
2022,LKA,33
2024,LKA,32
2022,LSO,23
2024,LSO,23
2015,LTU,29
2022,LTU,125
2024,LTU,146
2015,LUX,29
2022,LUX,126
2024,LUX,147
2015,LVA,29
2022,LVA,125
2024,LVA,146
2015,MAR,17
2022,MAR,59
2024,MAR,61
2022,MDA,21
2024,MDA,21
2022,MDG,19
2024,MDG,19
2022,MDV,21
2024,MDV,23
2015,MEX,4
2022,MEX,26
2024,MEX,26
2022,MKD,24
2024,MKD,24
2015,MLI,2
2022,MLI,19
2024,MLI,19
2015,MLT,29
2022,MLT,125
2024,MLT,146
2015,MMR,24
2022,MMR,25
2024,MMR,25
2022,MNE,23
2024,MNE,24
2015,MNG,18
2022,MNG,20
2024,MNG,22
2015,MOZ,22
2022,MOZ,36
2024,MOZ,36
2015,MRT,38
2022,MRT,47
2024,MRT,47
2022,MUS,23
2024,MUS,23
2015,MWI,2
2022,MWI,16
2024,MWI,13
2015,MYS,15
2022,MYS,36
2024,MYS,35
2024,NAM,6
2015,NER,16
2022,NER,29
2024,NER,29
2015,NGA,16
2022,NGA,19
2024,NGA,24
2015,NIC,7
2022,NIC,24
2024,NIC,25
2015,NLD,32
2022,NLD,125
2024,NLD,146
2015,NOR,10
2022,NOR,39
2024,NOR,40
2015,NPL,9
2022,NPL,32
2024,NPL,31
2015,NZL,16
2022,NZL,27
2024,NZL,29
2015,OMN,30
2022,OMN,42
2024,OMN,157
2015,PAK,9
2022,PAK,18
2024,PAK,18
2015,PAN,11
2022,PAN,19
2024,PAN,19
2015,PER,20
2022,PER,27
2024,PER,27
2015,PHL,12
2022,PHL,18
2024,PHL,18
2015,PNG,26
2022,PNG,26
2024,PNG,26
2015,POL,29
2022,POL,125
2024,POL,146
2022,PRK,2
2024,PRK,2
2015,PRT,29
2022,PRT,125
2024,PRT,146
2015,PRY,2
2022,PRY,11
2024,PRY,20
2022,PSE,45
2024,PSE,46
2022,QAT,23
2024,QAT,155
2015,ROU,40
2022,ROU,125
2024,ROU,146
2022,RUS,24
2024,RUS,23
2022,RWA,24
2024,RWA,24
2015,SAU,51
2022,SAU,132
2024,SAU,179
2022,SDN,18
2024,SDN,18
2015,SEN,7
2022,SEN,26
2024,SEN,27
2022,SGP,1
2024,SGP,1
2022,SLB,2
2024,SLE,7
2022,SLV,12
2024,SLV,11
2022,SRB,31
2024,SRB,35
2022,STP,20
2024,STP,20
2015,SUR,24
2022,SUR,27
2024,SUR,27
2015,SVK,29
2022,SVK,125
2024,SVK,146
2015,SVN,29
2022,SVN,125
2024,SVN,146
2015,SWE,30
2022,SWE,125
2024,SWE,146
2022,SWZ,20
2024,SWZ,20
2015,SYR,3
2022,SYR,23
2024,SYR,23
2015,TCD,6
2022,TCD,29
2024,TCD,29
2015,TGO,5
2022,TGO,20
2024,TGO,22
2015,THA,31
2022,THA,39
2024,THA,39
2022,TON,20
2024,TON,20
2015,TTO,12
2022,TTO,22
2024,TTO,23
2022,TUN,25
2024,TUN,25
2022,TUR,124
2024,TUR,123
2022,TWN,2
2024,TWN,2
2022,TZA,15
2024,TZA,15
2022,UGA,7
2024,UGA,8
2015,URY,12
2022,URY,21
2024,URY,22
2022,USA,14
2024,USA,14
2015,VEN,6
2022,VEN,20
2024,VEN,19
2015,VNM,21
2022,VNM,38
2024,VNM,40
2022,VUT,11
2024,VUT,10
2022,WSM,19
2024,WSM,19
2022,YEM,15
2024,YEM,15
2015,ZAF,12
2022,ZAF,15
2024,ZAF,15
2022,ZMB,3
2024,ZMB,3
2015,ZWE,9
2022,ZWE,22
2024,ZWE,24
