year,year_max,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,2005,WLD,Total,41,,,,
2006,2010,WLD,Total,34,,,,
2011,2015,WLD,Total,28,,,,
2016,2020,WLD,Total,28,,,,
2020,2030,WLD,Total,,,,100,
2020,2035,WLD,Total,,,,150,
2020,2050,WLD,Total,,,,300,
2000,2005,WLD,Natural,35,,,,
2006,2010,WLD,Natural,29,,,,
2011,2015,WLD,Natural,23,,,,
2016,2020,WLD,Natural,25,,,,
2000,2005,WLD,Planted,6.9,,,,
2006,2010,WLD,Planted,5.4,,,,
2011,2015,WLD,Planted,4.1,,,,
2016,2020,WLD,Planted,2.5,,,,
2000,2005,ABW,Natural,0.0000006,,,,
2006,2010,ABW,Natural,0.0000047,,,,
2011,2015,ABW,Natural,0.000003,,,,
2016,2020,ABW,Natural,0.000011,,,,
2000,2005,ABW,Planted,0,,,,
2006,2010,ABW,Planted,0,,,,
2011,2015,ABW,Planted,0,,,,
2016,2020,ABW,Planted,0,,,,
2000,2005,ABW,Total,0.0000006,,,,
2006,2010,ABW,Total,0.0000047,,,,
2011,2015,ABW,Total,0.000003,,,,
2016,2020,ABW,Total,0.000011,,,,
2000,2005,AFG,Natural,0.00086,,,,
2006,2010,AFG,Natural,0.0013,,,,
2011,2015,AFG,Natural,0.0022,,,,
2016,2020,AFG,Natural,0.0064,,,,
2000,2005,AFG,Planted,0,,,,
2006,2010,AFG,Planted,0,,,,
2011,2015,AFG,Planted,0,,,,
2016,2020,AFG,Planted,0,,,,
2000,2005,AFG,Total,0.00086,,,,
2006,2010,AFG,Total,0.0013,,,,
2011,2015,AFG,Total,0.0022,,,,
2016,2020,AFG,Total,0.0064,,,,
2000,2005,AGO,Natural,0.34,,,,
2006,2010,AGO,Natural,0.25,,,,
2011,2015,AGO,Natural,0.23,,,,
2016,2020,AGO,Natural,0.4,,,,
2000,2005,AGO,Planted,0.00000031,,,,
2006,2010,AGO,Planted,0.00000023,,,,
2011,2015,AGO,Planted,0.000001,,,,
2016,2020,AGO,Planted,0.0000013,,,,
2000,2005,AGO,Total,0.34,,,,
2006,2010,AGO,Total,0.25,,,,
