year,geo,disagg_type,disagg,value
2015,WLD,All,Total,60.4
2016,WLD,All,Total,94.5
2017,WLD,All,Total,89.3
2018,WLD,All,Total,258.8
2019,WLD,All,Total,84.4
2020,WLD,All,Total,21.9
2021,WLD,All,Total,400.6
2022,WLD,All,Total,475.9
2015,WLD,Funding Type,Foundation,17.6
2015,WLD,Funding Type,Government,9.4
2015,WLD,Funding Type,International body,23.9
2015,WLD,Funding Type,Multiple donors,8.8
2015,WLD,Funding Type,Private sector,0.7
2016,WLD,Funding Type,Foundation,33.1
2016,WLD,Funding Type,Government,19.6
2016,WLD,Funding Type,International body,23.0
2016,WLD,Funding Type,Multiple donors,17.1
2016,WLD,Funding Type,Private sector,1.6
2017,WLD,Funding Type,Government,7.2
2017,WLD,Funding Type,International body,27.0
2017,WLD,Funding Type,Multiple donors,55.1
2018,WLD,Funding Type,Foundation,7.0
2018,WLD,Funding Type,Government,0.5
2018,WLD,Funding Type,International body,36.4
2018,WLD,Funding Type,Multiple donors,214.9
2019,WLD,Funding Type,Government,30.0
2019,WLD,Funding Type,International body,32.7
2019,WLD,Funding Type,Multiple donors,19.6
2019,WLD,Funding Type,Private sector,2.1
2020,WLD,Funding Type,Foundation,9.0
2020,WLD,Funding Type,International body,12.8
2021,WLD,Funding Type,Foundation,0.3
2021,WLD,Funding Type,Government,150.7
2021,WLD,Funding Type,International body,193.3
2021,WLD,Funding Type,Multiple donors,5.3
2021,WLD,Funding Type,NA,47.8
2021,WLD,Funding Type,Private sector,3.1
2022,WLD,Funding Type,Government,12.4
2022,WLD,Funding Type,International body,463.4
2015,WLD,Habitat Type,Coral reefs,26.5
2015,WLD,Habitat Type,Mangroves,9.7
2015,WLD,Habitat Type,Multiple habitats,12.4
2015,WLD,Habitat Type,NA,9.9
2015,WLD,Habitat Type,Other habitat,1.8
2015,WLD,Habitat Type,Seagrass,0.1
2016,WLD,Habitat Type,Coral reefs,43.2
2016,WLD,Habitat Type,Mangroves,0.0
2016,WLD,Habitat Type,Multiple habitats,26.5
2016,WLD,Habitat Type,NA,11.0
2016,WLD,Habitat Type,Other habitat,13.8
2017,WLD,Habitat Type,Coral reefs,55.1
2017,WLD,Habitat Type,Mangroves,7.2
2017,WLD,Habitat Type,Multiple habitats,3.6
2017,WLD,Habitat Type,NA,17.7
2017,WLD,Habitat Type,Other habitat,3.2
2017,WLD,Habitat Type,Seagrass,2.6
2018,WLD,Habitat Type,Coral reefs,8.5
2018,WLD,Habitat Type,Mangroves,1.9
2018,WLD,Habitat Type,Multiple habitats,25.7
2018,WLD,Habitat Type,NA,204.1
2018,WLD,Habitat Type,Other habitat,18.5
2018,WLD,Habitat Type,Saltmarshes,0.1
2019,WLD,Habitat Type,Coral reefs,8.5
2019,WLD,Habitat Type,Mangroves,0.0
2019,WLD,Habitat Type,Multiple habitats,35.6
2019,WLD,Habitat Type,NA,1.6
2019,WLD,Habitat Type,Other habitat,19.4
2019,WLD,Habitat Type,Saltmarshes,13.4
2019,WLD,Habitat Type,Seagrass,5.9
2020,WLD,Habitat Type,Coral reefs,9.0
2020,WLD,Habitat Type,Multiple habitats,9.5
2020,WLD,Habitat Type,Other habitat,3.3
2021,WLD,Habitat Type,Coral reefs,4.9
2021,WLD,Habitat Type,Mangroves,2.8
2021,WLD,Habitat Type,Multiple habitats,173.3
2021,WLD,Habitat Type,NA,146.7
2021,WLD,Habitat Type,Other habitat,0.3
2021,WLD,Habitat Type,Saltmarshes,49.3
2021,WLD,Habitat Type,Seagrass,23.2
2022,WLD,Habitat Type,Mangroves,452.5
2022,WLD,Habitat Type,Multiple habitats,2.1
2022,WLD,Habitat Type,NA,19.2
2022,WLD,Habitat Type,Saltmarshes,0.6
2022,WLD,Habitat Type,Seagrass,1.5
2021,ARE,All,Total,5.3
2015,AUS,All,Total,15.6
2019,AUS,All,Total,0.7
2021,AUS,All,Total,19.4
2022,AUS,All,Total,4.2
2018,BGR,All,Total,2.7
2021,BGR,All,Total,20.0
2019,BHS,All,Total,2.1
2015,BLZ,All,Total,7.8
2016,BLZ,All,Total,16.4
2015,BRA,All,Total,7.1
2018,BRA,All,Total,183.0
