year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2017,WLD,4.8,,,,
2018,WLD,4.8,,,,
2019,WLD,4.7,,,,
2020,WLD,4.9,,,,
2021,WLD,5.3,,,,
2022,WLD,5.3,,,,
2017,AGO,0.00077,,,,
2018,AGO,0.0015,,,,
2019,AGO,0.00066,,,,
2020,AGO,0.00037,,,,
2021,AGO,0.00056,,,,
2017,ALB,0.011,,,,
2018,ALB,0.011,,,,
2019,ALB,0.012,,,,
2020,ALB,0.011,,,,
2021,ALB,0.012,,,,
2017,ARG,0.015,,,,
2018,ARG,0.016,,,,
2019,ARG,0.016,,,,
2020,ARG,0.016,,,,
2021,ARG,0.016,,,,
2017,ATG,0.00020,,,,
2018,ATG,0.00020,,,,
2019,ATG,0.00023,,,,
2020,ATG,0.00027,,,,
2021,ATG,0.00027,,,,
2017,AUS,0.0013,,,,
2018,AUS,0.0015,,,,
2019,AUS,0.0013,,,,
2020,AUS,0.0014,,,,
2021,AUS,0.0016,,,,
2017,BEL,0.000004,,,,
2018,BEL,0.00001,,,,
2019,BEL,0.000014,,,,
2020,BEL,0.000007,,,,
2021,BEL,0.000009,,,,
2017,BEN,0.00058,,,,
2018,BEN,0.00060,,,,
2019,BEN,0.00024,,,,
2020,BEN,0.00061,,,,
2021,BEN,0.00066,,,,
2017,BGD,0.13,,,,
2018,BGD,0.14,,,,
2019,BGD,0.14,,,,
2020,BGD,0.14,,,,
2021,BGD,0.12,,,,
2017,BGR,0.000070,,,,
2018,BGR,0.000029,,,,
2019,BGR,0.000053,,,,
2020,BGR,0.000030,,,,
2021,BGR,0.000062,,,,
2017,BHR,0.000003,,,,
2018,BHR,0.000004,,,,
2019,BHR,0.000004,,,,
2020,BHR,0,,,,
2021,BHR,0.000006,,,,
2017,BHS,0.00095,,,,
2018,BHS,0.0010,,,,
2019,BHS,0.0011,,,,
2020,BHS,0.0011,,,,
2021,BHS,0.0012,,,,
2017,BLZ,0.00054,,,,
2018,BLZ,0.00069,,,,
2019,BLZ,0.00083,,,,
2020,BLZ,0.00053,,,,
2021,BLZ,0.00065,,,,
2017,BRA,0.28,,,,
2018,BRA,0.31,,,,
2019,BRA,0.30,,,,
2020,BRA,0.33,,,,
2021,BRA,0.35,,,,
2017,BRB,0.00022,,,,
2018,BRB,0.00025,,,,
2019,BRB,0.00027,,,,
2020,BRB,0.00030,,,,
2021,BRB,0.00030,,,,
2017,BRN,0.00054,,,,
2018,BRN,0.00050,,,,
2019,BRN,0.00050,,,,
2020,BRN,0.00062,,,,
2021,BRN,0.00063,,,,
2017,CAN,0.00022,,,,
2018,CAN,0.00019,,,,
2019,CAN,0.00022,,,,
2020,CAN,0.00026,,,,
2021,CAN,0.00022,,,,
2017,CHL,0.0037,,,,
2018,CHL,0.0039,,,,
2019,CHL,0.0039,,,,
2020,CHL,0.0038,,,,
2021,CHL,0.0037,,,,
2017,CHN,0.65,,,,
2018,CHN,0.58,,,,
2019,CHN,0.50,,,,
2020,CHN,0.50,,,,
2021,CHN,0.73,,,,
2017,CIV,0.000014,,,,
2018,CIV,0.00077,,,,
2019,CIV,0.0010,,,,
2020,CIV,0.0011,,,,
2021,CIV,0.00095,,,,
2017,CMR,0.00025,,,,
2018,CMR,0.00029,,,,
2019,CMR,0.00019,,,,
2020,CMR,0.00026,,,,
2021,CMR,0.00062,,,,
2017,COD,0.000007,,,,
2018,COD,0.00001,,,,
2019,COD,0.000008,,,,
2020,COD,0.000007,,,,
2021,COD,0.000004,,,,
2017,COG,0.00019,,,,
2018,COG,0.00011,,,,
2019,COG,0.000035,,,,
2020,COG,0.00018,,,,
2021,COG,0.00015,,,,
2017,COL,0.0070,,,,
2018,COL,0.0053,,,,
2019,COL,0.0050,,,,
2020,COL,0.0089,,,,
2021,COL,0.0073,,,,
2017,COM,0.014,,,,
2018,COM,0.015,,,,
2019,COM,0.016,,,,
2020,COM,0.018,,,,
2021,COM,0.017,,,,
2017,CPV,0.0012,,,,
2018,CPV,0.0013,,,,
2019,CPV,0.0012,,,,
2020,CPV,0.0013,,,,
2021,CPV,0.0013,,,,
2017,CRI,0.0018,,,,
2018,CRI,0.0017,,,,
2019,CRI,0.0018,,,,
2020,CRI,0.0020,,,,
2021,CRI,0.0018,,,,
2017,CYP,0.000037,,,,
2018,CYP,0.000045,,,,
2019,CYP,0.000056,,,,
2020,CYP,0.000042,,,,
2021,CYP,0.000045,,,,
2017,DEU,0.00021,,,,
2018,DEU,0.00054,,,,
2019,DEU,0.00042,,,,
2020,DEU,0.00031,,,,
2021,DEU,0.00036,,,,
2017,DJI,0.00074,,,,
2018,DJI,0.00063,,,,
2019,DJI,0.00047,,,,
2020,DJI,0.00090,,,,
2021,DJI,0.00071,,,,
2017,DMA,0.00032,,,,
2018,DMA,0.00032,,,,
2019,DMA,0.00030,,,,
2020,DMA,0.00035,,,,
2021,DMA,0.00036,,,,
2017,DNK,0.000015,,,,
2018,DNK,0.000041,,,,
2019,DNK,0.000043,,,,
2020,DNK,0.000029,,,,
2021,DNK,0.000037,,,,
2017,DOM,0.041,,,,
2018,DOM,0.042,,,,
2019,DOM,0.043,,,,
2020,DOM,0.053,,,,
2021,DOM,0.056,,,,
2017,DZA,0.085,,,,
2018,DZA,0.11,,,,
2019,DZA,0.10,,,,
2020,DZA,0.091,,,,
2021,DZA,0.092,,,,
2017,ECU,0.00020,,,,
2018,ECU,0.00027,,,,
2019,ECU,0.00036,,,,
2020,ECU,0.00015,,,,
2021,ECU,0.000049,,,,
2017,EGY,0.018,,,,
2018,EGY,0.041,,,,
2019,EGY,0.052,,,,
2020,EGY,0.041,,,,
2021,EGY,0.041,,,,
2017,ERI,0.00061,,,,
2018,ERI,0.00080,,,,
2019,ERI,0.00024,,,,
2020,ERI,0.00085,,,,
2021,ERI,0.00031,,,,
2017,ESH,0.0017,,,,
2018,ESH,0.0017,,,,
2019,ESH,0.0017,,,,
2020,ESH,0.0019,,,,
2021,ESH,0.0019,,,,
2017,ESP,0.0034,,,,
2018,ESP,0.0039,,,,
2019,ESP,0.0035,,,,
2020,ESP,0.0036,,,,
2021,ESP,0.0034,,,,
2017,EST,0.000007,,,,
2018,EST,0.000007,,,,
2019,EST,0.000020,,,,
2020,EST,0.000003,,,,
2021,EST,0.000026,,,,
2017,FIN,0.000023,,,,
2018,FIN,0.000038,,,,
2019,FIN,0.000040,,,,
2020,FIN,0.000013,,,,
2021,FIN,0.000085,,,,
2017,FJI,0.00077,,,,
2018,FJI,0.00097,,,,
2019,FJI,0.00072,,,,
2020,FJI,0.00076,,,,
2021,FJI,0.00097,,,,
2017,FRA,0.00041,,,,
2018,FRA,0.00051,,,,
2019,FRA,0.00056,,,,
2020,FRA,0.00046,,,,
2021,FRA,0.00050,,,,
2017,FSM,0.00017,,,,
2018,FSM,0.00016,,,,
2019,FSM,0.00017,,,,
2020,FSM,0.00017,,,,
2021,FSM,0.00018,,,,
2017,GAB,0.000012,,,,
2018,GAB,0.000009,,,,
2019,GAB,0.00001,,,,
2020,GAB,0.000014,,,,
2021,GAB,0.000017,,,,
2017,GBR,0.0011,,,,
2018,GBR,0.0018,,,,
2019,GBR,0.0022,,,,
2020,GBR,0.0019,,,,
2021,GBR,0.0024,,,,
2017,GEO,0.00049,,,,
2018,GEO,0.00042,,,,
2019,GEO,0.00045,,,,
2020,GEO,0.00043,,,,
2021,GEO,0.00047,,,,
2017,GHA,0.0016,,,,
2018,GHA,0.0021,,,,
2019,GHA,0.0011,,,,
2020,GHA,0.0028,,,,
2021,GHA,0.00031,,,,
2017,GIB,0.000020,,,,
2018,GIB,0.000025,,,,
2019,GIB,0.000022,,,,
2020,GIB,0.000025,,,,
2021,GIB,0.000017,,,,
2017,GIN,0.000077,,,,
2018,GIN,0.000057,,,,
2019,GIN,0.00017,,,,
2020,GIN,0.000039,,,,
2021,GIN,0.000032,,,,
2017,GLP,0.000018,,,,
2018,GLP,0.000018,,,,
2019,GLP,0.000018,,,,
2020,GLP,0.000023,,,,
2021,GLP,0.000026,,,,
2017,GMB,0.0039,,,,
2018,GMB,0.0032,,,,
2019,GMB,0.0030,,,,
2020,GMB,0.0027,,,,
2021,GMB,0.0020,,,,
