year,geo,value
2023,WLD,18
2024,WLD,37
2025,WLD,49
2023,ALB,1
2023,AUS,1
2023,BLZ,1
2023,BWA,1
2023,CAN,1
2023,CHL,1
2023,CHN,1
2023,CIV,1
2023,CUB,1
2023,EUU,1
2023,FJI,1
2023,GAB,1
2023,GMB,1
2023,HKG,1
2023,ISL,1
2023,JPN,1
2023,KOR,1
2023,MAC,1
2023,NZL,1
2023,NGA,1
2023,PER,1
2023,LCA,1
2023,SYC,1
2023,SGP,1
2023,CHE,1
2023,UKR,1
2023,ARE,1
2023,GBR,1
2023,USA,1
2023,AUT,1
2023,BEL,1
2023,BGR,1
2023,HRV,1
2023,CYP,1
2023,CZE,1
2023,DNK,1
2023,EST,1
2023,FIN,1
2023,FRA,1
2023,DEU,1
2023,GRC,1
2023,HUN,1
2023,IRL,1
2023,ITA,1
2023,LVA,1
2023,LTU,1
2023,LUX,1
2023,MLT,1
2023,NLD,1
2023,POL,1
2023,PRT,1
2023,ROU,1
2023,SVK,1
2023,SVN,1
2023,ESP,1
2023,SWE,1
2023,BRB,0
2023,BEN,0
2023,BRN,0
2023,BFA,0
2023,CPV,0
2023,KHM,0
2023,CMR,0
2023,TCD,0
2023,COM,0
2023,CRI,0
2023,DMA,0
2023,ECU,0
2023,HTI,0
2023,JOR,0
2023,KAZ,0
2023,KWT,0
2023,LAO,0
2023,MYS,0
2023,MUS,0
2023,MNE,0
2023,NOR,0
2023,PHL,0
2023,QAT,0
2023,RUS,0
2023,RWA,0
2023,SAU,0
2023,SEN,0
2023,SLE,0
2023,ZAF,0
2023,TLS,0
2023,TGO,0
2023,TUR,0
2023,URY,0
2023,ATG,0
2023,ARG,0
2023,BHR,0
2023,COL,0
2023,COD,0
2023,GEO,0
2023,GHA,0
2023,GTM,0
2023,ISR,0
2023,LSO,0
2023,MWI,0
2023,MDA,0
2023,NIC,0
2023,MKD,0
2023,PAK,0
2023,PAN,0
2023,LKA,0
2023,ZMB,0
2024,ALB,1
2024,AUS,1
2024,BLZ,1
2024,BWA,1
2024,CAN,1
2024,CHL,1
2024,CHN,1
2024,CIV,1
2024,CUB,1
2024,EUU,1
2024,FJI,1
2024,GAB,1
2024,GMB,1
2024,HKG,1
2024,ISL,1
2024,JPN,1
2024,KOR,1
2024,MAC,1
2024,NZL,1
2024,NGA,1
2024,PER,1
2024,LCA,1
2024,SYC,1
2024,SGP,1
2024,CHE,1
2024,UKR,1
2024,ARE,1
2024,GBR,1
2024,USA,1
2024,AUT,1
2024,BEL,1
2024,BGR,1
2024,HRV,1
2024,CYP,1
2024,CZE,1
2024,DNK,1
2024,EST,1
2024,FIN,1
2024,FRA,1
2024,DEU,1
2024,GRC,1
2024,HUN,1
2024,IRL,1
2024,ITA,1
2024,LVA,1
2024,LTU,1
2024,LUX,1
2024,MLT,1
2024,NLD,1
2024,POL,1
2024,PRT,1
2024,ROU,1
2024,SVK,1
2024,SVN,1
2024,ESP,1
2024,SWE,1
2024,BRB,1
2024,BEN,1
2024,BRN,1
2024,BFA,1
2024,CPV,1
2024,KHM,1
2024,CMR,1
2024,TCD,1
2024,COM,1
2024,CRI,1
2024,DMA,1
2024,ECU,1
2024,HTI,1
2024,JOR,1
2024,KAZ,1
2024,KWT,1
2024,LAO,1
2024,MYS,1
2024,MUS,1
2024,MNE,1
2024,NOR,1
2024,PHL,1
2024,QAT,1
2024,RUS,1
2024,RWA,1
2024,SAU,1
2024,SEN,1
2024,SLE,1
2024,ZAF,1
2024,TLS,1
2024,TGO,1
2024,TUR,1
2024,URY,1
2024,ATG,0
2024,ARG,0
2024,BHR,0
2024,COL,0
2024,COD,0
2024,GEO,0
2024,GHA,0
2024,GTM,0
2024,ISR,0
2024,LSO,0
2024,MWI,0
2024,MDA,0
2024,NIC,0
2024,MKD,0
2024,PAK,0
2024,PAN,0
2024,LKA,0
2024,ZMB,0
2025,ALB,1
2025,AUS,1
2025,BLZ,1
2025,BWA,1
2025,CAN,1
2025,CHL,1
2025,CHN,1
2025,CIV,1
2025,CUB,1
2025,EUU,1
2025,FJI,1
2025,GAB,1
2025,GMB,1
2025,HKG,1
2025,ISL,1
2025,JPN,1
2025,KOR,1
2025,MAC,1
2025,NZL,1
2025,NGA,1
2025,PER,1
2025,LCA,1
2025,SYC,1
2025,SGP,1
2025,CHE,1
2025,UKR,1
2025,ARE,1
2025,GBR,1
2025,USA,1
2025,AUT,1
2025,BEL,1
2025,BGR,1
2025,HRV,1
2025,CYP,1
2025,CZE,1
2025,DNK,1
2025,EST,1
2025,FIN,1
2025,FRA,1
2025,DEU,1
2025,GRC,1
2025,HUN,1
2025,IRL,1
2025,ITA,1
2025,LVA,1
2025,LTU,1
2025,LUX,1
2025,MLT,1
2025,NLD,1
2025,POL,1
2025,PRT,1
2025,ROU,1
2025,SVK,1
2025,SVN,1
2025,ESP,1
2025,SWE,1
2025,BRB,1
2025,BEN,1
2025,BRN,1
2025,BFA,1
2025,CPV,1
2025,KHM,1
2025,CMR,1
2025,TCD,1
2025,COM,1
2025,CRI,1
2025,DMA,1
2025,ECU,1
2025,HTI,1
2025,JOR,1
2025,KAZ,1
2025,KWT,1
2025,LAO,1
2025,MYS,1
2025,MUS,1
2025,MNE,1
2025,NOR,1
2025,PHL,1
2025,QAT,1
2025,RUS,1
2025,RWA,1
2025,SAU,1
2025,SEN,1
2025,SLE,1
2025,ZAF,1
2025,TLS,1
2025,TGO,1
2025,TUR,1
2025,URY,1
2025,ATG,1
2025,ARG,1
2025,BHR,1
2025,COL,1
2025,COD,1
2025,GEO,1
2025,GHA,1
2025,GTM,1
2025,ISR,1
2025,LSO,1
2025,MWI,1
2025,MDA,1
2025,NIC,1
2025,MKD,1
2025,PAK,1
2025,PAN,1
2025,LKA,1
2025,ZMB,1
