year,geo,value
2016,WLD,3.4
2017,WLD,3
2018,WLD,3.3
2019,WLD,3.3
2020,WLD,3.7
2021,WLD,9.8
2022,WLD,12.4
2023,WLD,12.8
2016,BLZ,1
2016,CIV,1
2016,NAM,1
2016,RWA,1
2017,BLZ,1
2017,CIV,1
2017,ETH,1
2017,NAM,1
2017,RWA,1
2018,BLZ,1
2018,CIV,1
2018,ETH,1
2018,LSO,1
2018,NAM,1
2018,RWA,1
2019,BLZ,1
2019,CIV,1
2019,ETH,1
2019,LSO,1
2019,NAM,1
2019,RWA,1
2020,BLZ,1
2020,CIV,1
2020,ETH,1
2020,LSO,1
2020,MDV,1
2020,NAM,1
2020,ARE,1
2021,BLZ,1
2021,CPV,1
2021,CHN,1
2021,CIV,1
2021,ETH,1
2021,GMB,1
2021,JOR,1
2021,LSO,1
2021,MWI,1
2021,MDV,1
2021,MOZ,1
2021,NAM,1
2021,QAT,1
2021,SLE,1
2021,SSD,1
2021,LKA,1
2021,TGO,1
2021,TUN,1
2021,ARE,1
2022,AND,1
2022,BLZ,1
2022,BOL,1
2022,CPV,1
2022,CHN,1
2022,DMA,1
2022,ETH,1
2022,GMB,1
2022,JOR,1
2022,LSO,1
2022,MWI,1
2022,MDV,1
2022,MOZ,1
2022,NAM,1
2022,QAT,1
2022,SLE,1
2022,SDN,1
2022,SSD,1
2022,LKA,1
2022,TGO,1
2022,TUN,1
2022,UGA,1
2022,ARE,1
2022,URY,1
2023,AND,1
2023,BLZ,1
2023,BOL,1
2023,CPV,1
2023,CHN,1
2023,DMA,1
2023,ETH,1
2023,GMB,1
2023,JOR,1
2023,LSO,1
2023,MWI,1
2023,MDV,1
2023,MOZ,1
2023,NAM,1
2023,QAT,1
2023,SLE,1
2023,SDN,1
2023,SSD,1
2023,LKA,1
2023,TGO,1
2023,TUN,1
2023,TUR,1
2023,UGA,1
2023,ARE,1
2023,URY,1
