year,geo,disagg_type,disagg,value,projections,benchmark_low,benchmark_mid,benchmark _high
2018,WLD,All,Total,32,,,,
2024,WLD,All,Total,32,,,,
2024,WLD,Region,Africa,33,,,,
2024,WLD,Region,Asia-Pacific,33,,,,
2024,WLD,Region,Europe and North America,27,,,,
2024,WLD,Region,Latin America and Caribbean,31,,,,
2018,WLD,Role,Administrative,45,,,,
2018,WLD,Role,STEM technical,28,,,,
2018,WLD,Role,Non-STEM technical,35,,,,
2024,WLD,Role,Administrative,45,,,,
2024,WLD,Role,STEM technical,28,,,,
2024,WLD,Role,Non-STEM technical,36,,,,
2024,WLD,Role,Other roles,29,,,,
2024,WLD,Role,Medium certification,22,,,,
2021,WLD,Technology,Oil and gas,22,,,,
2021,WLD,Technology,Solar PV,40,,,,
2021,WLD,Technology,Renewable energy,32,,,,
2021,WLD,Technology,Nuclear,25,,,,
2024,WLD,Technology,Oil and gas,23,,,,
2024,WLD,Technology,Renewable energy,32,,,,
2024,WLD,Leadership,Leadership overall energy sector,20,,,,
2024,WLD,Leadership,Senior management in renewable energy,19,,,,
2024,WLD,Leadership,Middle management in renewable energy,26,,,,
2024,WLD,Leadership,Leadership overall economy,31,,,,
