year,geo,disagg,value
2000,AUS,Direct job creation,0.085
2001,AUS,Direct job creation,0.08
2002,AUS,Direct job creation,0.087
2003,AUS,Direct job creation,0.084
2004,AUS,Direct job creation,0.083
2005,AUS,Direct job creation,0.077
2006,AUS,Direct job creation,0.065
2007,AUS,Direct job creation,0.051
2008,AUS,Direct job creation,0.044
2009,AUS,Direct job creation,0.039
2010,AUS,Direct job creation,0.031
2011,AUS,Direct job creation,0.02
2012,AUS,Direct job creation,0.012
2013,AUS,Direct job creation,0.003
2014,AUS,Direct job creation,0.002
2015,AUS,Direct job creation,0.01
2016,AUS,Direct job creation,0.008
2017,AUS,Direct job creation,0.005
2018,AUS,Direct job creation,0.003
2019,AUS,Direct job creation,0.002
2021,AUS,Direct job creation,0.001
2000,AUS,Employment incentives,0.006
2001,AUS,Employment incentives,0.009
2002,AUS,Employment incentives,0.01
2003,AUS,Employment incentives,0.012
2004,AUS,Employment incentives,0.01
2005,AUS,Employment incentives,0.01
2006,AUS,Employment incentives,0.008
2007,AUS,Employment incentives,0.01
2008,AUS,Employment incentives,0.01
2009,AUS,Employment incentives,0.011
2010,AUS,Employment incentives,0.012
2011,AUS,Employment incentives,0.013
2012,AUS,Employment incentives,0.013
2013,AUS,Employment incentives,0.007
2015,AUS,Employment incentives,0.001
2016,AUS,Employment incentives,0.005
2017,AUS,Employment incentives,0.016
2018,AUS,Employment incentives,0.013
2019,AUS,Employment incentives,1.6
2020,AUS,Employment incentives,2.8
2021,AUS,Employment incentives,0.15
2022,AUS,Employment incentives,0.13
2023,AUS,Employment incentives,0.047
2000,AUS,Out-of-work income maintenance and support,0.86
2001,AUS,Out-of-work income maintenance and support,0.88
2002,AUS,Out-of-work income maintenance and support,0.77
2003,AUS,Out-of-work income maintenance and support,0.7
2004,AUS,Out-of-work income maintenance and support,0.62
2005,AUS,Out-of-work income maintenance and support,0.55
2006,AUS,Out-of-work income maintenance and support,0.48
2007,AUS,Out-of-work income maintenance and support,0.41
2008,AUS,Out-of-work income maintenance and support,0.44
2009,AUS,Out-of-work income maintenance and support,0.54
2010,AUS,Out-of-work income maintenance and support,0.5
2011,AUS,Out-of-work income maintenance and support,0.5
2012,AUS,Out-of-work income maintenance and support,0.57
2013,AUS,Out-of-work income maintenance and support,0.63
2014,AUS,Out-of-work income maintenance and support,0.68
2015,AUS,Out-of-work income maintenance and support,0.68
2016,AUS,Out-of-work income maintenance and support,0.64
2017,AUS,Out-of-work income maintenance and support,0.62
2018,AUS,Out-of-work income maintenance and support,0.55
2019,AUS,Out-of-work income maintenance and support,1
2020,AUS,Out-of-work income maintenance and support,1.4
2021,AUS,Out-of-work income maintenance and support,0.69
2022,AUS,Out-of-work income maintenance and support,0.55
2023,AUS,Out-of-work income maintenance and support,0.56
2000,AUS,Public employment services and administration,0.2
2001,AUS,Public employment services and administration,0.19
2002,AUS,Public employment services and administration,0.17
2003,AUS,Public employment services and administration,0.19
2004,AUS,Public employment services and administration,0.22
2005,AUS,Public employment services and administration,0.21
2006,AUS,Public employment services and administration,0.19
2007,AUS,Public employment services and administration,0.17
2008,AUS,Public employment services and administration,0.16
2009,AUS,Public employment services and administration,0.19
2010,AUS,Public employment services and administration,0.19
2011,AUS,Public employment services and administration,0.17
2012,AUS,Public employment services and administration,0.16
2013,AUS,Public employment services and administration,0.15
2014,AUS,Public employment services and administration,0.18
2015,AUS,Public employment services and administration,0.15
2016,AUS,Public employment services and administration,0.16
2017,AUS,Public employment services and administration,0.16
2018,AUS,Public employment services and administration,0.15
2019,AUS,Public employment services and administration,0.17
2020,AUS,Public employment services and administration,0.21
2021,AUS,Public employment services and administration,0.16
2022,AUS,Public employment services and administration,0.15
2023,AUS,Public employment services and administration,0.36
2000,AUS,Sheltered and supported employment and rehabilitation,0.049
2001,AUS,Sheltered and supported employment and rehabilitation,0.048
2002,AUS,Sheltered and supported employment and rehabilitation,0.048
2003,AUS,Sheltered and supported employment and rehabilitation,0.049
2004,AUS,Sheltered and supported employment and rehabilitation,0.05
2005,AUS,Sheltered and supported employment and rehabilitation,0.052
2006,AUS,Sheltered and supported employment and rehabilitation,0.052
2007,AUS,Sheltered and supported employment and rehabilitation,0.057
2008,AUS,Sheltered and supported employment and rehabilitation,0.06
2009,AUS,Sheltered and supported employment and rehabilitation,0.068
2010,AUS,Sheltered and supported employment and rehabilitation,0.068
2011,AUS,Sheltered and supported employment and rehabilitation,0.072
2012,AUS,Sheltered and supported employment and rehabilitation,0.066
2013,AUS,Sheltered and supported employment and rehabilitation,0.06
2014,AUS,Sheltered and supported employment and rehabilitation,0.063
2015,AUS,Sheltered and supported employment and rehabilitation,0.059
2016,AUS,Sheltered and supported employment and rehabilitation,0.057
2017,AUS,Sheltered and supported employment and rehabilitation,0.055
2018,AUS,Sheltered and supported employment and rehabilitation,0.057
2019,AUS,Sheltered and supported employment and rehabilitation,0.073
2020,AUS,Sheltered and supported employment and rehabilitation,0.069
2021,AUS,Sheltered and supported employment and rehabilitation,0.068
2022,AUS,Sheltered and supported employment and rehabilitation,0.06
2023,AUS,Sheltered and supported employment and rehabilitation,0.056
2000,AUS,Start-up incentives,0.014
2001,AUS,Start-up incentives,0.016
2002,AUS,Start-up incentives,0.011
2003,AUS,Start-up incentives,0.01
2004,AUS,Start-up incentives,0.01
2005,AUS,Start-up incentives,0.009
2006,AUS,Start-up incentives,0.01
2007,AUS,Start-up incentives,0.009
2008,AUS,Start-up incentives,0.008
2009,AUS,Start-up incentives,0.007
2010,AUS,Start-up incentives,0.006
2011,AUS,Start-up incentives,0.007
2012,AUS,Start-up incentives,0.008
2013,AUS,Start-up incentives,0.006
2014,AUS,Start-up incentives,0.007
2015,AUS,Start-up incentives,0.004
2016,AUS,Start-up incentives,0.005
2017,AUS,Start-up incentives,0.005
2018,AUS,Start-up incentives,0.005
2019,AUS,Start-up incentives,0.004
2020,AUS,Start-up incentives,0.004
2021,AUS,Start-up incentives,0.006
2022,AUS,Start-up incentives,0.004
2023,AUS,Start-up incentives,0.005
2019,AUS,Temporary employment and income maintenance in continued employment relationship,1.6
2020,AUS,Temporary employment and income maintenance in continued employment relationship,2.7
1985,AUS,Total,1.6
1986,AUS,Total,1.5
1987,AUS,Total,1.3
1988,AUS,Total,1.1
1989,AUS,Total,0.95
1990,AUS,Total,1.3
1991,AUS,Total,1.9
1992,AUS,Total,2.3
1993,AUS,Total,2.3
1994,AUS,Total,2.1
1995,AUS,Total,2
1996,AUS,Total,1.8
1997,AUS,Total,1.6
1998,AUS,Total,1.4
1999,AUS,Total,1.3
2000,AUS,Total,1.2
2001,AUS,Total,1.2
2002,AUS,Total,1.1
2003,AUS,Total,1.1
2004,AUS,Total,1
2005,AUS,Total,0.91
2006,AUS,Total,0.81
2007,AUS,Total,0.71
2008,AUS,Total,0.76
2009,AUS,Total,0.89
2010,AUS,Total,0.82
2011,AUS,Total,0.81
2012,AUS,Total,0.83
2013,AUS,Total,0.87
2014,AUS,Total,0.93
2015,AUS,Total,0.91
2016,AUS,Total,0.87
2017,AUS,Total,0.86
2018,AUS,Total,0.79
2019,AUS,Total,2.9
2020,AUS,Total,4.6
2021,AUS,Total,1.1
2022,AUS,Total,0.92
2023,AUS,Total,1.1
2000,AUS,Training,0.007
2001,AUS,Training,0.008
2002,AUS,Training,0.009
2003,AUS,Training,0.009
2004,AUS,Training,0.01
2005,AUS,Training,0.009
2006,AUS,Training,0.007
2007,AUS,Training,0.009
2008,AUS,Training,0.031
2009,AUS,Training,0.027
2010,AUS,Training,0.025
2011,AUS,Training,0.025
2012,AUS,Training,0.007
2013,AUS,Training,0.007
2014,AUS,Training,0.008
2015,AUS,Training,0.008
2016,AUS,Training,0.008
2017,AUS,Training,0.007
2018,AUS,Training,0.007
2019,AUS,Training,0.007
2020,AUS,Training,0.026
2021,AUS,Training,0.021
2022,AUS,Training,0.027
2023,AUS,Training,0.017
2000,AUT,Direct job creation,0.039
2001,AUT,Direct job creation,0.037
2002,AUT,Direct job creation,0.039
2003,AUT,Direct job creation,0.041
2004,AUT,Direct job creation,0.04
2005,AUT,Direct job creation,0.037
2006,AUT,Direct job creation,0.043
2007,AUT,Direct job creation,0.042
2008,AUT,Direct job creation,0.041
2009,AUT,Direct job creation,0.048
2010,AUT,Direct job creation,0.042
2011,AUT,Direct job creation,0.046
2012,AUT,Direct job creation,0.05
2013,AUT,Direct job creation,0.048
2014,AUT,Direct job creation,0.052
2015,AUT,Direct job creation,0.049
2016,AUT,Direct job creation,0.06
2017,AUT,Direct job creation,0.06
2018,AUT,Direct job creation,0.053
2019,AUT,Direct job creation,0.042
2020,AUT,Direct job creation,0.044
2021,AUT,Direct job creation,0.051
2022,AUT,Direct job creation,0.05
2023,AUT,Direct job creation,0.041
2000,AUT,Early retirement,0.063
2001,AUT,Early retirement,0.081
2002,AUT,Early retirement,0.15
