year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,WLD,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,WLD,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,WLD,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,WLD,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,WLD,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,WLD,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,WLD,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,WLD,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,WLD,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,WLD,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,WLD,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,WLD,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,WLD,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,WLD,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,RUS,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,RUS,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,RUS,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,RUS,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,RUS,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,RUS,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,RUS,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,RUS,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,RUS,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,RUS,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,RUS,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,RUS,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,IRN,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,IRN,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,IRN,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,IRN,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,IRN,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
