year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,WLD,Total,9878,,,,
2001,WLD,Total,10090,,,,
2002,WLD,Total,10521,,,,
2003,WLD,Total,11126,,,,
2004,WLD,Total,11564,,,,
2005,WLD,Total,12125,,,,
2006,WLD,Total,12643,,,,
2007,WLD,Total,13467,,,,
2008,WLD,Total,13607,,,,
2009,WLD,Total,13404,,,,
2010,WLD,Total,14345,,,,
2011,WLD,Total,14964,,,,
2012,WLD,Total,15360,,,,
2013,WLD,Total,15679,,,,
2014,WLD,Total,15962,,,,
2015,WLD,Total,15957,,,,
2016,WLD,Total,16263,,,,
2017,WLD,Total,16623,,,,
2018,WLD,Total,17166,,,,
2019,WLD,Total,17083,,,,
2020,WLD,Total,16597,,,,
2021,WLD,Total,17555,,,,
2022,WLD,Total,17761,,,,
2023,WLD,Total,17991,,,,
2024,WLD,Total,18308,,,,
2029,WLD,Total,,19658,,,
2000,WLD,Coal,5809,,,,
2001,WLD,Coal,5891,,,,
2002,WLD,Coal,6144,,,,
2003,WLD,Coal,6575,,,,
2004,WLD,Coal,6797,,,,
2005,WLD,Coal,7167,,,,
2006,WLD,Coal,7567,,,,
2007,WLD,Coal,8052,,,,
2008,WLD,Coal,8074,,,,
2009,WLD,Coal,7951,,,,
2010,WLD,Coal,8458,,,,
2011,WLD,Coal,8911,,,,
2012,WLD,Coal,8960,,,,
2013,WLD,Coal,9424,,,,
2014,WLD,Coal,9604,,,,
2015,WLD,Coal,9284,,,,
2016,WLD,Coal,9328,,,,
2017,WLD,Coal,9655,,,,
2018,WLD,Coal,10033,,,,
2019,WLD,Coal,9827,,,,
2020,WLD,Coal,9438,,,,
2021,WLD,Coal,10156,,,,
2022,WLD,Coal,10243,,,,
2023,WLD,Coal,10401,,,,
2024,WLD,Coal,10538,,,,
2000,WLD,Gas,2746,,,,
2001,WLD,Gas,2915,,,,
2002,WLD,Gas,3105,,,,
2003,WLD,Gas,3256,,,,
2004,WLD,Gas,3503,,,,
2005,WLD,Gas,3681,,,,
2006,WLD,Gas,3901,,,,
2007,WLD,Gas,4219,,,,
2008,WLD,Gas,4361,,,,
2009,WLD,Gas,4382,,,,
2010,WLD,Gas,4808,,,,
2011,WLD,Gas,4866,,,,
2012,WLD,Gas,5161,,,,
2013,WLD,Gas,5058,,,,
2014,WLD,Gas,5214,,,,
2015,WLD,Gas,5540,,,,
2016,WLD,Gas,5850,,,,
2017,WLD,Gas,5974,,,,
2018,WLD,Gas,6225,,,,
2019,WLD,Gas,6401,,,,
2020,WLD,Gas,6382,,,,
2021,WLD,Gas,6557,,,,
2022,WLD,Gas,6630,,,,
2023,WLD,Gas,6716,,,,
2024,WLD,Gas,6893,,,,
2000,WLD,Other fossil,1324,,,,
2001,WLD,Other fossil,1285,,,,
2002,WLD,Other fossil,1271,,,,
2003,WLD,Other fossil,1296,,,,
2004,WLD,Other fossil,1263,,,,
2005,WLD,Other fossil,1278,,,,
2006,WLD,Other fossil,1176,,,,
2007,WLD,Other fossil,1196,,,,
2008,WLD,Other fossil,1172,,,,
2009,WLD,Other fossil,1071,,,,
2010,WLD,Other fossil,1079,,,,
2011,WLD,Other fossil,1187,,,,
2012,WLD,Other fossil,1239,,,,
2013,WLD,Other fossil,1197,,,,
2014,WLD,Other fossil,1144,,,,
2015,WLD,Other fossil,1133,,,,
2016,WLD,Other fossil,1085,,,,
2017,WLD,Other fossil,994,,,,
2018,WLD,Other fossil,909,,,,
2019,WLD,Other fossil,855,,,,
2020,WLD,Other fossil,776,,,,
2021,WLD,Other fossil,842,,,,
2022,WLD,Other fossil,888,,,,
2023,WLD,Other fossil,874,,,,
2024,WLD,Other fossil,877,,,,
2000,ABW,Total,0.78,,,,
2001,ABW,Total,0.81,,,,
2002,ABW,Total,0.82,,,,
2003,ABW,Total,0.84,,,,
2004,ABW,Total,0.87,,,,
2005,ABW,Total,0.91,,,,
2006,ABW,Total,0.91,,,,
2007,ABW,Total,0.94,,,,
2008,ABW,Total,0.91,,,,
2009,ABW,Total,0.92,,,,
2010,ABW,Total,0.83,,,,
2011,ABW,Total,0.82,,,,
2012,ABW,Total,0.78,,,,
2013,ABW,Total,0.79,,,,
2014,ABW,Total,0.78,,,,
2015,ABW,Total,0.79,,,,
2016,ABW,Total,0.8,,,,
2017,ABW,Total,0.83,,,,
2018,ABW,Total,0.81,,,,
2019,ABW,Total,0.82,,,,
2020,ABW,Total,0.82,,,,
2021,ABW,Total,0.83,,,,
2022,ABW,Total,0.83,,,,
2000,AFG,Total,0.17,,,,
2001,AFG,Total,0.19,,,,
2002,AFG,Total,0.15,,,,
2003,AFG,Total,0.28,,,,
2004,AFG,Total,0.23,,,,
2005,AFG,Total,0.23,,,,
2006,AFG,Total,0.26,,,,
2007,AFG,Total,0.26,,,,
2008,AFG,Total,0.24,,,,
2009,AFG,Total,0.11,,,,
2010,AFG,Total,0.13,,,,
2011,AFG,Total,0.17,,,,
2012,AFG,Total,0.14,,,,
2013,AFG,Total,0.22,,,,
2014,AFG,Total,0.16,,,,
2015,AFG,Total,0.15,,,,
2016,AFG,Total,0.15,,,,
2017,AFG,Total,0.17,,,,
2018,AFG,Total,0.2,,,,
2019,AFG,Total,0.18,,,,
2020,AFG,Total,0.12,,,,
2021,AFG,Total,0.13,,,,
2022,AFG,Total,0.13,,,,
2023,AFG,Total,0.13,,,,
2000,AGO,Total,0.53,,,,
2001,AGO,Total,0.62,,,,
2002,AGO,Total,0.62,,,,
2003,AGO,Total,0.75,,,,
2004,AGO,Total,0.49,,,,
2005,AGO,Total,0.41,,,,
2006,AGO,Total,0.44,,,,
2007,AGO,Total,0.75,,,,
2008,AGO,Total,0.9,,,,
2009,AGO,Total,1.6,,,,
2010,AGO,Total,1.8,,,,
2011,AGO,Total,1.6,,,,
2012,AGO,Total,2.2,,,,
2013,AGO,Total,3.4,,,,
2014,AGO,Total,4.5,,,,
2015,AGO,Total,4.4,,,,
2016,AGO,Total,4.6,,,,
2017,AGO,Total,3.1,,,,
2018,AGO,Total,2.7,,,,
2019,AGO,Total,4.2,,,,
2020,AGO,Total,4.1,,,,
2021,AGO,Total,4.1,,,,
2022,AGO,Total,4.2,,,,
2023,AGO,Total,4.2,,,,
2000,ALB,Total,0.18,,,,
2001,ALB,Total,0.17,,,,
2002,ALB,Total,0.23,,,,
2003,ALB,Total,0.11,,,,
2004,ALB,Total,0.14,,,,
2005,ALB,Total,0.07,,,,
2006,ALB,Total,0.09,,,,
2007,ALB,Total,0.07,,,,
2011,ALB,Total,0.06,,,,
2000,ARE,Total,40,,,,
2001,ARE,Total,43,,,,
2002,ARE,Total,47,,,,
2003,ARE,Total,49,,,,
2004,ARE,Total,52,,,,
2005,ARE,Total,61,,,,
2006,ARE,Total,62,,,,
2007,ARE,Total,79,,,,
2008,ARE,Total,80,,,,
2009,ARE,Total,86,,,,
2010,ARE,Total,94,,,,
2011,ARE,Total,99,,,,
2012,ARE,Total,106,,,,
2013,ARE,Total,110,,,,
2014,ARE,Total,116,,,,
2015,ARE,Total,127,,,,
2016,ARE,Total,129,,,,
2017,ARE,Total,134,,,,
