year,geo,value
2020,WLD,61
2016,AFG,55
2016,AGO,11
2016,ARE,51
2016,ARG,58
2016,AUS,84
2016,AUT,96
2016,AZE,83
2016,BEL,94
2016,BEN,42
2016,BFA,38
2016,BGD,52
2016,BGR,85
2016,BHR,21
2016,BIH,71
2016,BLR,84
2016,BOL,27
2016,BRA,70
2016,BTN,34
2016,BWA,70
2016,CAN,77
2016,CHE,92
2016,CHL,87
2016,CHN,55
2016,CIV,51
2016,COD,11
2016,COL,43
2016,CRI,36
2016,CUB,56
2016,CYP,90
2016,CZE,90
2016,DEU,93
2016,DNK,94
2016,DOM,16
2016,DZA,41
2016,ECU,34
2016,EGY,22
2016,ESP,96
2016,EST,97
2016,ETH,32
2016,FIN,94
2016,FJI,25
2016,FRA,95
2016,GBR,96
2016,GHA,53
2016,GNB,43
2016,GRC,90
2016,GTM,45
2016,HND,21
2016,HRV,89
2016,HTI,18
2016,HUN,92
2016,IDN,33
2016,IND,39
2016,IRL,90
2016,IRN,38
2016,IRQ,8
2016,ISL,91
2016,ISR,100
2016,ITA,95
2016,JAM,33
2016,JOR,7
2016,JPN,57
2016,KAZ,35
2016,KEN,30
2016,KGZ,53
2016,KOR,70
2016,KWT,39
2016,LBN,24
2016,LKA,46
2016,LTU,89
2016,LUX,97
2016,LVA,90
2016,MAR,49
2016,MCO,74
2016,MDG,57
2016,MDV,99
2016,MEX,39
2016,MLI,67
2016,MLT,97
2016,MMR,42
2016,MNG,47
2016,MNP,8
2016,MOZ,35
2016,MWI,42
2016,MYS,40
2016,NER,17
2016,NGA,20
2016,NIC,49
2016,NLD,86
2016,NOR,90
2016,NPL,33
2016,NZL,94
2016,OMN,28
2016,PAK,19
2016,PAN,32
2016,PER,24
2016,PHL,32
2016,PNG,19
2016,POL,93
2016,PRK,28
2016,PRT,93
2016,PRY,12
2016,PSE,23
2016,PYF,19
2016,QAT,92
2016,ROU,75
2016,RUS,78
2016,RWA,30
2016,SAU,30
2016,SDN,14
2016,SEN,37
2016,SGP,99
2016,SLB,7
2016,SLV,28
2016,SRB,53
2016,SVK,92
2016,SVN,93
2016,SWE,87
2016,TGO,47
2016,THA,27
2016,TJK,41
2016,TKM,23
2016,TUN,56
2016,TUR,58
2016,TZA,38
2016,UGA,18
2016,UKR,82
2016,URY,56
2016,USA,59
2016,UZB,19
2016,VEN,43
2016,VNM,49
2016,WSM,19
2016,YEM,41
2016,ZAF,13
2016,ZMB,9
2016,ZWE,74
2017,AFG,55
2017,AGO,11
2017,ARE,51
2017,ARG,58
2017,AUS,84
2017,AUT,96
2017,AZE,83
2017,BEL,94
2017,BEN,42
2017,BFA,38
2017,BGD,52
2017,BGR,85
2017,BHR,21
2017,BIH,71
2017,BLR,84
2017,BOL,27
2017,BRA,70
2017,BTN,34
2017,BWA,70
2017,CAN,77
2017,CHE,92
2017,CHL,87
2017,CHN,55
2017,CIV,51
2017,COD,11
2017,COL,43
2017,CRI,36
2017,CUB,56
2017,CYP,90
2017,CZE,90
2017,DEU,93
2017,DNK,94
2017,DOM,16
2017,DZA,41
2017,ECU,34
2017,EGY,22
2017,ESP,96
2017,EST,97
2017,ETH,32
2017,FIN,94
2017,FJI,25
2017,FRA,95
2017,GBR,96
2017,GHA,53
2017,GNB,43
2017,GRC,90
2017,GTM,45
2017,HND,21
2017,HRV,89
2017,HTI,18
2017,HUN,92
2017,IDN,33
2017,IND,39
2017,IRL,90
2017,IRN,38
2017,IRQ,8
2017,ISL,91
2017,ISR,100
2017,ITA,95
2017,JAM,33
2017,JOR,7
2017,JPN,57
2017,KAZ,35
2017,KEN,30
2017,KGZ,53
2017,KOR,70
2017,KWT,39
2017,LBN,24
2017,LKA,46
2017,LTU,89
2017,LUX,97
2017,LVA,90
2017,MAR,49
2017,MCO,74
2017,MDG,57
2017,MDV,99
2017,MEX,39
2017,MLI,67
2017,MLT,97
2017,MMR,42
2017,MNG,47
2017,MNP,8
2017,MOZ,35
2017,MWI,42
2017,MYS,40
2017,NER,17
2017,NGA,20
2017,NIC,49
2017,NLD,86
2017,NOR,90
