year,geo,disagg,value
2010,WLD,Total,4010
2011,WLD,Total,10830
2012,WLD,Total,30600
2013,WLD,Total,44600
2014,WLD,Total,94300
2015,WLD,Total,163000
2016,WLD,Total,258000
2017,WLD,Total,332000
2018,WLD,Total,550000
2019,WLD,Total,880000
2020,WLD,Total,1270000
2021,WLD,Total,1770000
2022,WLD,Total,2710000
2023,WLD,Total,4000000
2024,WLD,Total,5400000
2017,ZAF,Total,124
2018,ZAF,Total,241
2019,ZAF,Total,240
2020,ZAF,Total,300
2021,ZAF,Total,300
2022,ZAF,Total,330
2023,ZAF,Total,350
2024,ZAF,Total,380
2023,VNM,Total,4900
2024,VNM,Total,6100
2010,USA,Total,480
2011,USA,Total,3900
2012,USA,Total,12000
2013,USA,Total,15000
2014,USA,Total,20000
2015,USA,Total,31500
2016,USA,Total,38800
2017,USA,Total,45600
2018,USA,Total,61000
2019,USA,Total,77000
2020,USA,Total,98000
2021,USA,Total,113000
2022,USA,Total,129000
2023,USA,Total,160000
2024,USA,Total,193000
2016,TUR,Total,11
2017,TUR,Total,69
2018,TUR,Total,69
2019,TUR,Total,150
2020,TUR,Total,1261
2021,TUR,Total,1970
2022,TUR,Total,2160
2023,TUR,Total,10100
2024,TUR,Total,11900
2017,THA,Total,96
2018,THA,Total,96
2019,THA,Total,819
2020,THA,Total,1910
2021,THA,Total,2270
2022,THA,Total,3200
2023,THA,Total,10500
2024,THA,Total,13400
2013,SWE,Total,5
2014,SWE,Total,1000
2015,SWE,Total,1100
2016,SWE,Total,2220
2017,SWE,Total,3590
2018,SWE,Total,6500
2019,SWE,Total,9000
2020,SWE,Total,11200
2021,SWE,Total,13700
2022,SWE,Total,17600
2023,SWE,Total,37800
2024,SWE,Total,44600
2021,RUS,Total,4700
2022,RUS,Total,5400
2023,RUS,Total,10500
2024,RUS,Total,10600
2011,PRT,Total,1106
2012,PRT,Total,1107
2013,PRT,Total,1217
2014,PRT,Total,1217
2015,PRT,Total,1222
2016,PRT,Total,1341
2017,PRT,Total,1650
2018,PRT,Total,1780
2019,PRT,Total,1960
2020,PRT,Total,2920
2021,PRT,Total,4200
2022,PRT,Total,5600
2023,PRT,Total,9400
2024,PRT,Total,13100
2014,POL,Total,124
2015,POL,Total,298
2016,POL,Total,302
2017,POL,Total,453
2018,POL,Total,600
2019,POL,Total,650
2020,POL,Total,1520
2021,POL,Total,3800
2022,POL,Total,4520
2023,POL,Total,5900
2024,POL,Total,9200
2017,NZL,Total,100
2018,NZL,Total,289
2019,NZL,Total,133
2020,NZL,Total,470
2021,NZL,Total,600
2022,NZL,Total,700
2023,NZL,Total,1140
2024,NZL,Total,1440
2010,NOR,Total,2800
2011,NOR,Total,3118
2012,NOR,Total,3758
2013,NOR,Total,4596
2014,NOR,Total,5310
2015,NOR,Total,5530
2016,NOR,Total,7500
2017,NOR,Total,9220
2018,NOR,Total,10500
2019,NOR,Total,14000
2020,NOR,Total,17300
2021,NOR,Total,19700
2022,NOR,Total,25000
2023,NOR,Total,28000
