year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2019,WLD,0.01,,,,
2020,WLD,0.03,,,,
2021,WLD,0.04,,,,
2022,WLD,0.1,,,,
2023,WLD,0.2,,,,
2024,WLD,0.3,,,,
2025,WLD,,0.6,1.6,2.0,2.7
2026,WLD,,1.1,4.0,3.8,5.0
2027,WLD,,2.2,6.0,6.0,7.0
2028,WLD,,,8.3,9.0,10.0
2029,WLD,,,10.5,11.5,12.5
2030,WLD,,,13.0,14.0,15.0
2031,WLD,,,15.2,16.8,18.2
2032,WLD,,,18.2,19.8,21.0
2033,WLD,,,21.0,23.1,24.8
2034,WLD,,,24.0,26.0,28.0
2035,WLD,,,28.0,30.0,32.0
2036,WLD,,,34.0,36.4,36.4
2037,WLD,,,41.0,42.5,42.5
2038,WLD,,,48.0,49.0,49.0
2039,WLD,,,55.0,55.0,55.0
2040,WLD,,,62.0,62.0,62.0
2041,WLD,,,72.3,72.3,72.3
2042,WLD,,,80.8,80.8,80.8
2043,WLD,,,87.2,87.2,87.2
2044,WLD,,,91.7,91.7,91.7
2045,WLD,,,94.7,94.7,94.7
2046,WLD,,,96.6,96.6,96.6
2047,WLD,,,97.9,97.9,97.9
2048,WLD,,,98.7,98.7,98.7
2049,WLD,,,99.2,99.2,99.2
2050,WLD,,,100.0,100.0,100.0
