year,geo,disagg,value
2007,WLD,Total,1800
2008,WLD,Total,1790
2009,WLD,Total,1810
2010,WLD,Total,1800
2011,WLD,Total,1760
2012,WLD,Total,1750
2013,WLD,Total,1820
2014,WLD,Total,1800
2015,WLD,Total,1870
2016,WLD,Total,1870
2017,WLD,Total,1830
2018,WLD,Total,1810
2019,WLD,Total,1830
2020,WLD,Total,1890
2021,WLD,Total,1910
2022,WLD,Total,1920
2023,WLD,Total,1920
2021,WLD,BF-BOF,2330
2021,WLD,Scrap-EAF,660
2021,WLD,DRI-EAF,1400
2022,WLD,BF-BOF,2330
2022,WLD,Scrap-EAF,670
2022,WLD,DRI-EAF,1360
2023,WLD,BF-BOF,2320
2023,WLD,Scrap-EAF,700
2023,WLD,DRI-EAF,1430
