year,geo,value
2022,ALB,169
2013,AND,7.7
2014,AND,3.5
2015,AND,4.0
2016,AND,3.8
2017,AND,5
2018,AND,5
2019,AND,6
2020,AND,6.6
2021,AND,6.6
2022,AND,6
2023,AND,7.1
2010,ARE,2.0
2011,ARE,1.9
2012,ARE,2.0
2013,ARE,2.1
2014,ARE,1.9
2015,ARE,2.1
2016,ARE,2.5
2017,ARE,1.8
2018,ARE,1.5
2019,ARE,1.2
2020,ARE,2.3
2021,ARE,1.5
2022,ARE,1.4
2023,ARE,1.2
2016,ARG,6
2017,ARG,4.4
2018,ARG,5.7
2019,ARG,5.8
2020,ARG,4.7
2021,ARG,4.9
2000,ARM,0.82
2001,ARM,0.82
2002,ARM,0.81
2003,ARM,0.88
2004,ARM,0.86
2005,ARM,0.87
2006,ARM,0.85
2007,ARM,0.82
2008,ARM,0.68
2009,ARM,0.67
2010,ARM,0.67
2011,ARM,0.63
2012,ARM,0.62
2013,ARM,0.50
2014,ARM,0.51
2015,ARM,0.53
2016,ARM,0.47
2017,ARM,0.54
2018,ARM,0.57
2019,ARM,0.51
2020,ARM,0.011
2021,ARM,0.011
2022,ARM,0.0095
2023,ARM,0.0092
2007,AUS,229
2009,AUS,207
2010,AUS,208
2011,AUS,221
2014,AUS,254
2015,AUS,227
2016,AUS,238
2017,AUS,262
2018,AUS,315
2019,AUS,314
2020,AUS,287
2021,AUS,284
2022,AUS,252
2023,AUS,244
2004,AUT,124
2006,AUT,116
2008,AUT,160
2010,AUT,176
2012,AUT,126
2014,AUT,149
2016,AUT,144
2018,AUT,149
2020,AUT,144
2022,AUT,163
2000,AZE,31
2001,AZE,50
2002,AZE,85
2003,AZE,31
2004,AZE,76
2005,AZE,67
2006,AZE,29
2007,AZE,84
2008,AZE,37
2009,AZE,6.9
2010,AZE,6.5
2011,AZE,5.0
2012,AZE,3.2
2013,AZE,4.7
2014,AZE,2.1
2015,AZE,5.1
2016,AZE,1.6
2017,AZE,5.3
2018,AZE,3.1
2019,AZE,3.4
2020,AZE,3.6
2021,AZE,4.2
2022,AZE,3.1
2023,AZE,4.4
2004,BEL,499
2006,BEL,383
2008,BEL,553
2010,BEL,438
2012,BEL,251
2014,BEL,264
2016,BEL,336
2018,BEL,343
2020,BEL,342
2022,BEL,190
2002,BEN,452
2004,BFA,3964
2005,BFA,3809
2006,BFA,2424
2007,BFA,3507
2008,BFA,2331
2009,BFA,2282
2010,BFA,45186
2011,BFA,91049
2007,BGD,743
2012,BGD,536
2019,BGD,1.8
2020,BGD,1.8
2021,BGD,1.5
2004,BGR,1542
2006,BGR,1783
2008,BGR,1741
2010,BGR,1833
2012,BGR,1835
2014,BGR,1726
2016,BGR,1933
2018,BGR,2002
2020,BGR,2130
2022,BGR,2246
2000,BHR,0.48
2001,BHR,0.50
2002,BHR,0.54
2003,BHR,2.4
2004,BHR,2.6
2005,BHR,2.4
2006,BHR,2.6
2007,BHR,3.0
2010,BHR,1.7
2011,BHR,1.7
2012,BHR,1.6
2013,BHR,1.7
2014,BHR,1.8
2015,BHR,1.8
2016,BHR,2.0
2017,BHR,2.1
2018,BHR,1.8
2019,BHR,1.6
2012,BIH,246
2014,BIH,2.0
2016,BIH,4.0
2018,BIH,4.0
2020,BIH,3.0
2022,BIH,4.0
2000,BLR,14
2001,BLR,10
2002,BLR,8.4
2003,BLR,7.9
2004,BLR,6.3
2005,BLR,5.0
2006,BLR,4.0
2007,BLR,3.0
2008,BLR,1.8
2009,BLR,1.3
2010,BLR,1.0
2011,BLR,1.0
2012,BLR,0.72
2013,BLR,0.67
2014,BLR,0.55
2015,BLR,0.79
2016,BLR,0.58
2017,BLR,0.57
2018,BLR,0.43
2019,BLR,0.46
2020,BLR,0.41
2021,BLR,0.46
2022,BLR,0.40
2023,BLR,0.39
2000,BLZ,31
2010,BMU,11
2011,BMU,11
2012,BMU,11
2013,BMU,11
2014,BMU,11
2015,BMU,11
2016,BMU,11
2017,BMU,12
2018,BMU,4.3
2019,BMU,3.6
2016,BRN,12575412
2017,BRN,36064334
2018,BRN,8756200
2019,BRN,8680000
2020,BRN,11773789
