year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2000,WLD,31,,,,
2001,WLD,31,,,,
2002,WLD,31,,,,
2003,WLD,31,,,,
2004,WLD,30,,,,
2005,WLD,30,,,,
2006,WLD,29,,,,
2007,WLD,29,,,,
2008,WLD,28,,,,
2009,WLD,28,,,,
2010,WLD,27,,,,
2011,WLD,27,,,,
2012,WLD,26,,,,
2013,WLD,26,,,,
2014,WLD,25,,,,
2015,WLD,25,,,,
2016,WLD,25,,,,
2017,WLD,25,,,,
2018,WLD,24,,,,
2019,WLD,24,,,,
2020,WLD,24,,,,
2021,WLD,25,,,,
2022,WLD,25,,,,
2027,WLD,,25,,,
2030,WLD,,,,0,
2000,ZWE,28,,,,
2002,ZWE,27,,,,
2004,ZWE,26,,,,
2006,ZWE,26,,,,
2008,ZWE,25,,,,
2010,ZWE,25,,,,
2012,ZWE,24,,,,
2014,ZWE,23,,,,
2016,ZWE,23,,,,
2018,ZWE,22,,,,
2020,ZWE,22,,,,
2000,ZMB,64,,,,
2002,ZMB,62,,,,
2004,ZMB,61,,,,
2006,ZMB,59,,,,
2008,ZMB,58,,,,
2010,ZMB,56,,,,
2012,ZMB,55,,,,
2014,ZMB,53,,,,
2016,ZMB,51,,,,
2018,ZMB,50,,,,
2020,ZMB,48,,,,
2000,ZAF,28,,,,
2002,ZAF,27,,,,
2004,ZAF,27,,,,
2006,ZAF,27,,,,
2008,ZAF,26,,,,
2010,ZAF,26,,,,
2012,ZAF,25,,,,
2014,ZAF,25,,,,
2016,ZAF,25,,,,
2018,ZAF,24,,,,
2020,ZAF,24,,,,
2000,YEM,64,,,,
2002,YEM,61,,,,
2004,YEM,59,,,,
2006,YEM,56,,,,
2008,YEM,53,,,,
2010,YEM,51,,,,
2012,YEM,48,,,,
2014,YEM,46,,,,
2016,YEM,44,,,,
2018,YEM,44,,,,
2000,VNM,45,,,,
2002,VNM,40,,,,
2004,VNM,35,,,,
2006,VNM,31,,,,
2008,VNM,26,,,,
2010,VNM,21,,,,
2012,VNM,16,,,,
2014,VNM,11,,,,
2016,VNM,5.8,,,,
2018,VNM,5.8,,,,
2020,VNM,5.8,,,,
2000,VEN,28,,,,
2002,VEN,26,,,,
2004,VEN,26,,,,
2006,VEN,26,,,,
2000,URY,24,,,,
2002,URY,24,,,,
2004,URY,24,,,,
2006,URY,20,,,,
2008,URY,16,,,,
2010,URY,13,,,,
2012,URY,8.8,,,,
2014,URY,5.0,,,,
2000,UKR,5.0,,,,
2002,UKR,5.0,,,,
2004,UKR,4.6,,,,
