year,geo,value
2000,WLD,75
2001,WLD,76
2002,WLD,76
2003,WLD,78
2004,WLD,80
2005,WLD,80
2006,WLD,82
2007,WLD,83
2008,WLD,83
2009,WLD,84
2010,WLD,84
2011,WLD,85
2012,WLD,85
2013,WLD,85
2014,WLD,86
2015,WLD,86
2016,WLD,86
2017,WLD,86
2000,AGO,0
2001,AGO,0
2002,AGO,0
2003,AGO,0
2004,AGO,0
2005,AGO,0
2006,AGO,0
2007,AGO,0
2008,AGO,0
2009,AGO,1
2010,AGO,1
2011,AGO,2
2012,AGO,2
2013,AGO,2
2014,AGO,2
2015,AGO,3
2016,AGO,3
2017,AGO,3
2000,ALB,0
2001,ALB,0
2002,ALB,2
2003,ALB,3
2004,ALB,3
2005,ALB,4
2006,ALB,4
2007,ALB,4
2008,ALB,4
2009,ALB,4
2010,ALB,4
2011,ALB,5
2012,ALB,5
2013,ALB,5
2014,ALB,6
2015,ALB,6
2016,ALB,7
2017,ALB,7
2000,AND,1
2001,AND,1
2002,AND,2
2003,AND,2
2004,AND,2
2005,AND,3
2006,AND,3
2007,AND,3
2008,AND,3
2009,AND,3
2010,AND,3
2011,AND,3
2012,AND,3
2013,AND,3
2014,AND,3
2015,AND,3
2016,AND,3
2017,AND,3
2000,ARG,7
2001,ARG,7
2002,ARG,7
2003,ARG,7
2004,ARG,8
2005,ARG,8
2006,ARG,8
2007,ARG,10
2008,ARG,10
2009,ARG,10
2010,ARG,10
2011,ARG,11
2012,ARG,11
2013,ARG,11
2014,ARG,11
2015,ARG,11
2016,ARG,11
2017,ARG,11
2000,ARM,3
2001,ARM,3
2002,ARM,3
2003,ARM,3
2004,ARM,3
2005,ARM,4
2006,ARM,4
2007,ARM,4
2008,ARM,4
2009,ARM,4
2010,ARM,4
2011,ARM,4
2012,ARM,4
2013,ARM,4
2014,ARM,4
2015,ARM,4
2016,ARM,4
2017,ARM,4
2000,ASM,0
2001,ASM,0
2002,ASM,0
2003,ASM,0
2004,ASM,0
2005,ASM,0
2006,ASM,0
2007,ASM,0
2008,ASM,0
2009,ASM,0
2010,ASM,0
2011,ASM,2
2012,ASM,2
2013,ASM,2
2014,ASM,2
2015,ASM,2
2016,ASM,2
2017,ASM,2
2000,AUS,3
2001,AUS,3
2002,AUS,3
2003,AUS,5
2004,AUS,5
2005,AUS,6
2006,AUS,6
2007,AUS,6
2008,AUS,6
2009,AUS,7
2010,AUS,10
2011,AUS,11
2012,AUS,12
2013,AUS,13
2014,AUS,13
2015,AUS,14
2016,AUS,14
2017,AUS,14
2000,AUT,44
2001,AUT,45
2002,AUT,45
2003,AUT,52
2004,AUT,52
2005,AUT,53
2006,AUT,54
2007,AUT,54
2008,AUT,56
2009,AUT,57
2010,AUT,57
2011,AUT,58
2012,AUT,58
2013,AUT,60
2014,AUT,60
2015,AUT,60
2016,AUT,62
2017,AUT,62
2000,AZE,2
2001,AZE,3
2002,AZE,4
2003,AZE,4
2004,AZE,4
2005,AZE,5
2006,AZE,5
2007,AZE,5
2008,AZE,5
2009,AZE,5
2010,AZE,5
2011,AZE,5
2012,AZE,5
2013,AZE,5
2014,AZE,5
2015,AZE,7
2016,AZE,7
2017,AZE,7
2000,BDI,1
2001,BDI,1
2002,BDI,1
2003,BDI,1
2004,BDI,1
2005,BDI,1
2006,BDI,1
2007,BDI,1
2008,BDI,1
2009,BDI,1
2010,BDI,1
2011,BDI,1
2012,BDI,1
2013,BDI,1
2014,BDI,1
2015,BDI,1
2016,BDI,1
2017,BDI,1
2000,BEL,14
2001,BEL,14
2002,BEL,15
2003,BEL,24
2004,BEL,25
2005,BEL,25
2006,BEL,28
2007,BEL,32
2008,BEL,34
2009,BEL,37
2010,BEL,38
2011,BEL,40
2012,BEL,41
2013,BEL,41
2014,BEL,41
2015,BEL,41
2016,BEL,41
2017,BEL,41
2000,BEN,0
2001,BEN,3
2002,BEN,3
2003,BEN,3
2004,BEN,3
2005,BEN,3
2006,BEN,3
2007,BEN,4
2008,BEN,4
2009,BEN,4
2010,BEN,4
2011,BEN,5
2012,BEN,5
2013,BEN,5
2014,BEN,5
2015,BEN,5
2016,BEN,5
2017,BEN,5
2000,BFA,0
2001,BFA,0
2002,BFA,0
2003,BFA,0
2004,BFA,1
2005,BFA,1
2006,BFA,1
2007,BFA,1
2008,BFA,1
2009,BFA,1
2010,BFA,1
2011,BFA,1
2012,BFA,1
2013,BFA,1
2014,BFA,1
2015,BFA,2
2016,BFA,2
2017,BFA,2
2000,BGD,0
2001,BGD,0
2002,BGD,0
2003,BGD,0
2004,BGD,0
2005,BGD,0
2006,BGD,0
2007,BGD,0
2008,BGD,0
2009,BGD,0
2010,BGD,0
2011,BGD,0
