year,geo,disagg_type,disagg,value
1990,WLD,All,Total,11530200215
1991,WLD,All,Total,143995053572
1992,WLD,All,Total,5337199176
1993,WLD,All,Total,75456015339
1994,WLD,All,Total,13725318447
1995,WLD,All,Total,12227727536
1996,WLD,All,Total,6597236956
1997,WLD,All,Total,1804167300
1998,WLD,All,Total,12888961193
1999,WLD,All,Total,294791063938
2000,WLD,All,Total,398782375330
2001,WLD,All,Total,353025461118
2002,WLD,All,Total,868201812104
2003,WLD,All,Total,702626340608
2004,WLD,All,Total,572807135667
2005,WLD,All,Total,736554178887
2006,WLD,All,Total,53365640014
2007,WLD,All,Total,98358872839
2008,WLD,All,Total,9336126933
2009,WLD,All,Total,53949989679
2010,WLD,All,Total,71224812640
2011,WLD,All,Total,223403077100
2012,WLD,All,Total,137387470210
2013,WLD,All,Total,260699015534
2014,WLD,All,Total,136767193204
2015,WLD,All,Total,9363346473
2016,WLD,All,Total,29451170606
2017,WLD,All,Total,81809934039
2018,WLD,All,Total,19129270671
2019,WLD,All,Total,11140327106
2020,WLD,All,Total,721608474
1990,WLD,Management Type,Knowledge funding,6372575
1990,WLD,Management Type,Mixed,693721
1990,WLD,Management Type,NA,10709597406
1990,WLD,Management Type,Post-invasion_management,813536512
1991,WLD,Management Type,Knowledge funding,3819281
1991,WLD,Management Type,Mixed,421997416
1991,WLD,Management Type,NA,143476468281
1991,WLD,Management Type,Post-invasion_management,67625201
1991,WLD,Management Type,Pre-invasion_management,25143393
1992,WLD,Management Type,Knowledge funding,20165661
1992,WLD,Management Type,Mixed,2241458
1992,WLD,Management Type,NA,2824938524
1992,WLD,Management Type,Post-invasion_management,2246155085
1992,WLD,Management Type,Pre-invasion_management,243698449
1993,WLD,Management Type,Knowledge funding,71248338
1993,WLD,Management Type,Mixed,12606514
1993,WLD,Management Type,NA,68046328220
1993,WLD,Management Type,Post-invasion_management,7324539293
1993,WLD,Management Type,Pre-invasion_management,1292976
1994,WLD,Management Type,Mixed,19296
1994,WLD,Management Type,NA,13703801334
1994,WLD,Management Type,Post-invasion_management,21497817
1995,WLD,Management Type,Knowledge funding,10214
1995,WLD,Management Type,Mixed,61286598
1995,WLD,Management Type,NA,10770060004
1995,WLD,Management Type,Post-invasion_management,1396370719
1996,WLD,Management Type,Knowledge funding,793884
1996,WLD,Management Type,NA,5484016441
1996,WLD,Management Type,Post-invasion_management,1112116629
1996,WLD,Management Type,Unspecified,310001
1997,WLD,Management Type,Knowledge funding,6981747
1997,WLD,Management Type,Mixed,27479
1997,WLD,Management Type,NA,147364784
1997,WLD,Management Type,Post-invasion_management,1649793290
1998,WLD,Management Type,Knowledge funding,6912331
1998,WLD,Management Type,Mixed,16981
1998,WLD,Management Type,NA,12415304902
1998,WLD,Management Type,Post-invasion_management,441536447
1998,WLD,Management Type,Pre-invasion_management,25190532
1999,WLD,Management Type,Knowledge funding,665119831
1999,WLD,Management Type,Mixed,36929354
1999,WLD,Management Type,NA,293190886671
1999,WLD,Management Type,Post-invasion_management,377644381
1999,WLD,Management Type,Pre-invasion_management,520284802
1999,WLD,Management Type,Unspecified,198900
2000,WLD,Management Type,Knowledge funding,306855046
2000,WLD,Management Type,Mixed,22741940
2000,WLD,Management Type,NA,357006215817
2000,WLD,Management Type,Post-invasion_management,6387064997
