year,geo,disagg_type,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2016,WLD,All,Total,59,,,,
2017,WLD,All,Total,72,,,,
2018,WLD,All,Total,80,,,,
2019,WLD,All,Total,80,,,,
2020,WLD,All,Total,83,,,,
2020,WLD,All,Total,,,,100,
2021,WLD,All,Total,90,,,,
2022,WLD,All,Total,116,,,,
2035,WLD,All,Total,,,,300,
2016,WLD,Source,Bilateral public,28,,,,
2016,WLD,Source,Multilateral public,19,,,,
2016,WLD,Source,Export credits,1.5,,,,
2016,WLD,Source,Mobilized private,10,,,,
2017,WLD,Source,Bilateral public,27,,,,
2017,WLD,Source,Multilateral public,27,,,,
2017,WLD,Source,Export credits,3,,,,
2017,WLD,Source,Mobilized private,15,,,,
2018,WLD,Source,Bilateral public,32,,,,
2018,WLD,Source,Multilateral public,31,,,,
2018,WLD,Source,Export credits,2.7,,,,
2018,WLD,Source,Mobilized private,15,,,,
2019,WLD,Source,Bilateral public,29,,,,
2019,WLD,Source,Multilateral public,35,,,,
2019,WLD,Source,Export credits,2.6,,,,
2019,WLD,Source,Mobilized private,14,,,,
2020,WLD,Source,Bilateral public,31,,,,
2020,WLD,Source,Multilateral public,37,,,,
2020,WLD,Source,Export credits,1.9,,,,
2020,WLD,Source,Mobilized private,13,,,,
2021,WLD,Source,Bilateral public,35,,,,
2021,WLD,Source,Multilateral public,39,,,,
2021,WLD,Source,Export credits,2.1,,,,
2021,WLD,Source,Mobilized private,14,,,,
2022,WLD,Source,Bilateral public,41,,,,
2022,WLD,Source,Multilateral public,51,,,,
2022,WLD,Source,Export credits,2.4,,,,
2022,WLD,Source,Mobilized private,22,,,,
2016,WLD,Theme,Mitigation,42,,,,
2016,WLD,Theme,Crosscutting,6.2,,,,
2016,WLD,Theme,Adaptation,10,,,,
2017,WLD,Theme,Mitigation,53,,,,
2017,WLD,Theme,Crosscutting,5.6,,,,
2017,WLD,Theme,Adaptation,13,,,,
2018,WLD,Theme,Mitigation,56,,,,
2018,WLD,Theme,Crosscutting,7.1,,,,
2018,WLD,Theme,Adaptation,17,,,,
2019,WLD,Theme,Mitigation,51,,,,
2019,WLD,Theme,Crosscutting,8.7,,,,
2019,WLD,Theme,Adaptation,20,,,,
2020,WLD,Theme,Mitigation,49,,,,
2020,WLD,Theme,Crosscutting,6,,,,
2020,WLD,Theme,Adaptation,29,,,,
2021,WLD,Theme,Mitigation,54,,,,
2021,WLD,Theme,Crosscutting,11,,,,
2021,WLD,Theme,Adaptation,25,,,,
2022,WLD,Theme,Mitigation,70,,,,
2022,WLD,Theme,Crosscutting,14,,,,
2022,WLD,Theme,Adaptation,32,,,,
