year,geo,value
2012,WLD,29
2013,WLD,29
2014,WLD,35
2015,WLD,33
2016,WLD,32
2017,WLD,29
2018,WLD,29
2019,WLD,30
2020,WLD,29
2021,WLD,33
2022,WLD,32
2023,WLD,34
2024,WLD,34
2014,ALB,0
2014,ARG,0
2014,AUS,1
2014,BGD,0
2014,BEL,1
2014,BRA,0
2014,BGR,0
2014,KHM,0
2014,CMR,0
2014,CAN,1
2014,CHL,1
2014,CHN,0
2014,COL,0
2014,CIV,0
2014,HRV,0
2014,DNK,1
2014,DOM,0
2014,ECU,0
2014,EGY,0
2014,SLV,0
2014,EST,1
2014,FIN,1
2014,FRA,1
2014,GEO,1
2014,DEU,1
2014,GHA,0
2014,GRC,0
2014,GTM,0
2014,HKG,1
2014,IND,0
2014,IDN,0
2014,IRN,0
2014,ITA,1
2014,JAM,0
2014,JPN,1
2014,JOR,0
2014,KAZ,1
2014,KEN,0
2014,KOR,1
2014,LBN,0
2014,LBR,0
2014,MDG,0
2014,MYS,0
2014,MEX,0
2014,MAR,0
2014,MMR,0
2014,NLD,1
2014,NZL,1
2014,NIC,0
2014,NGA,0
2014,NOR,1
2014,PAK,0
2014,PAN,0
2014,PER,0
2014,PHL,0
2014,POL,1
2014,PRT,1
2014,ROU,0
2014,RUS,0
2014,SEN,0
2014,SLE,0
2014,SGP,1
2014,ZAF,0
2014,ESP,1
2014,LKA,0
2014,SWE,1
2014,TZA,0
2014,THA,0
2014,TUN,0
2014,TUR,0
2014,UKR,0
2014,ARE,1
2014,GBR,1
2014,USA,1
2014,URY,1
2014,VEN,0
2014,VNM,0
2015,ALB,0
2015,ARG,0
2015,AUS,1
2015,BGD,0
2015,BEL,1
2015,BLZ,0
2015,BRA,0
2015,BGR,0
2015,KHM,0
2015,CMR,0
2015,CAN,1
2015,CHL,1
2015,CHN,0
2015,COL,0
2015,CRI,1
2015,CIV,0
2015,HRV,0
2015,DNK,1
2015,DOM,0
2015,ECU,0
2015,EGY,0
2015,SLV,0
2015,EST,1
2015,FIN,1
2015,FRA,1
2015,GEO,1
2015,DEU,1
2015,GHA,0
2015,GRC,0
2015,GTM,0
2015,HND,0
2015,HKG,1
2015,IND,0
2015,IDN,0
2015,IRN,0
2015,ITA,0
2015,JAM,0
2015,JPN,1
2015,JOR,0
2015,KAZ,0
2015,KEN,0
2015,KOR,1
2015,LBN,0
2015,LBR,0
2015,MDG,0
2015,MYS,0
2015,MEX,0
2015,MAR,0
2015,MMR,0
2015,NLD,1
2015,NZL,1
2015,NIC,0
2015,NGA,0
2015,NOR,1
2015,PAK,0
2015,PAN,0
2015,PER,0
2015,PHL,0
2015,POL,1
2015,PRT,1
2015,ROU,0
2015,RUS,0
2015,SEN,0
2015,SLE,0
2015,SGP,1
2015,ZAF,0
2015,ESP,1
2015,LKA,0
2015,SWE,1
2015,TZA,0
2015,THA,0
2015,TUN,0
2015,TUR,0
2015,UKR,0
2015,ARE,1
2015,GBR,1
2015,USA,1
2015,URY,1
2015,VEN,0
2015,VNM,0
2016,ALB,0
2016,ATG,0
2016,ARG,0
2016,AUS,1
2016,BGD,0
2016,BRB,0
2016,BEL,1
2016,BLZ,0
2016,BRA,0
2016,BGR,0
2016,KHM,0
2016,CMR,0
2016,CAN,1
2016,CHL,1
2016,CHN,0
2016,COL,0
2016,CRI,1
2016,CIV,0
2016,HRV,1
2016,DNK,1
2016,DMA,0
2016,DOM,0
2016,ECU,0
2016,EGY,0
2016,SLV,0
2016,EST,1
2016,FIN,1
2016,FRA,1
2016,GEO,1
2016,DEU,1
2016,GHA,0
2016,GRC,0
2016,GRD,1
2016,GTM,0
2016,GUY,0
2016,HND,0
2016,HKG,1
2016,IND,0
2016,IDN,0
2016,IRN,0
2016,ITA,0
2016,JAM,0
2016,JPN,1
2016,JOR,0
2016,KAZ,1
2016,KEN,0
2016,KOR,0
2016,LBN,0
2016,LBR,0
2016,MDG,0
2016,MYS,0
2016,MEX,0
2016,MAR,0
2016,MMR,0
2016,NLD,1
2016,NZL,1
2016,NIC,0
2016,NGA,0
2016,NOR,1
2016,PAK,0
2016,PAN,0
2016,PER,0
2016,PHL,0
2016,POL,1
2016,PRT,1
2016,ROU,1
2016,RUS,0
2016,SEN,0
2016,SLE,0
2016,SGP,1
2016,ZAF,0
2016,ESP,1
2016,LKA,0
2016,KNA,0
2016,LCA,0
2016,VCT,0
2016,SUR,0
2016,SWE,1
2016,TZA,0
2016,THA,0
2016,BHS,0
2016,TTO,0
2016,TUN,0
2016,TUR,0
2016,UKR,0
2016,ARE,1
2016,GBR,1
2016,USA,1
2016,URY,1
2016,VEN,0
2016,VNM,0
2019,ALB,0
2019,DZA,0
2019,AGO,0
2019,ATG,0
2019,ARG,0
2019,AUS,1
2019,BGD,0
2019,BRB,0
2019,BEL,1
2019,BLZ,0
2019,BEN,0
2019,BRA,0
2019,BGR,1
2019,KHM,0
2019,CMR,0
2019,CAN,1
2019,CHL,1
2019,CHN,0
2019,COL,0
2019,COD,0
2019,CRI,1
2019,CIV,0
2019,HRV,1
2019,DNK,1
2019,DMA,0
2019,DOM,0
2019,ECU,0
2019,EGY,0
2019,SLV,0
2019,EST,1
2019,FIN,1
