year,geo,disagg,disagg_type,value
2020,WLD,All,Total,19
2024,WLD,All,Total,23
2020,WLD,Gender,Male,19
2024,WLD,Gender,Male,24
2020,WLD,Gender,Female,19
2024,WLD,Gender,Female,23
2020,WLD,Property,Urban,19
2024,WLD,Property,Urban,23
2020,WLD,Property,Rural,16
2024,WLD,Property,Rural,18
2020,AFG,All,Total,24
2020,ALB,All,Total,18
2020,DZA,All,Total,16
2020,ARG,All,Total,16
2020,ARM,All,Total,14
2020,AUS,All,Total,13
2020,AUT,All,Total,5
2020,AZE,All,Total,6
2020,BGD,All,Total,28
2020,BLR,All,Total,10
2020,BEL,All,Total,13
2020,BEN,All,Total,35
2020,BOL,All,Total,25
2020,BIH,All,Total,8
2020,BWA,All,Total,30
2020,BRA,All,Total,23
2020,BGR,All,Total,9
2020,BFA,All,Total,44
2020,KHM,All,Total,35
2020,CMR,All,Total,32
2020,CAN,All,Total,14
2020,TCD,All,Total,19
2020,CHL,All,Total,23
2020,CHN,All,Total,11
2020,COL,All,Total,24
2020,COM,All,Total,32
2020,COG,All,Total,40
2020,CRI,All,Total,17
2020,HRV,All,Total,8
2020,CYP,All,Total,24
2020,CIV,All,Total,28
2020,DNK,All,Total,7
2020,DOM,All,Total,28
2020,ECU,All,Total,19
2020,EGY,All,Total,19
2020,SLV,All,Total,26
2020,EST,All,Total,11
2020,SWZ,All,Total,42
2020,ETH,All,Total,27
2020,FIN,All,Total,4
2020,FRA,All,Total,18
2020,GAB,All,Total,35
2020,GMB,All,Total,24
2020,GEO,All,Total,15
2020,DEU,All,Total,10
2020,GHA,All,Total,27
2020,GRC,All,Total,16
2020,GTM,All,Total,33
2020,GIN,All,Total,25
2020,HND,All,Total,19
2020,HUN,All,Total,9
2020,IND,All,Total,22
2020,IDN,All,Total,24
2020,IRN,All,Total,42
2020,IRQ,All,Total,29
2020,IRL,All,Total,15
2020,ISR,All,Total,13
2020,ITA,All,Total,9
2020,JPN,All,Total,19
2020,JOR,All,Total,40
2020,KAZ,All,Total,11
2020,KEN,All,Total,28
2020,KOR,All,Total,19
2020,XKX,All,Total,10
2020,KWT,All,Total,41
2020,KGZ,All,Total,17
2020,LAO,All,Total,25
2020,LVA,All,Total,11
2020,LBN,All,Total,21
2020,LBR,All,Total,43
2020,LBY,All,Total,29
2020,LTU,All,Total,5
2020,LUX,All,Total,24
2020,MDG,All,Total,25
2020,MWI,All,Total,21
2020,MYS,All,Total,34
2020,MLI,All,Total,31
2020,MLT,All,Total,8
2020,MRT,All,Total,18
2020,MUS,All,Total,27
2020,MEX,All,Total,15
2020,MDA,All,Total,11
2020,MNG,All,Total,19
2020,MNE,All,Total,13
2020,MAR,All,Total,21
2020,MOZ,All,Total,24
2020,MMR,All,Total,19
2020,NAM,All,Total,32
2020,NPL,All,Total,12
2020,NLD,All,Total,10
2020,NZL,All,Total,14
2020,NIC,All,Total,19
2020,NER,All,Total,29
2020,NGA,All,Total,23
2020,MKD,All,Total,8
2020,NOR,All,Total,8
2020,PAK,All,Total,17
2020,PSE,All,Total,25
2020,PAN,All,Total,23
2020,PRY,All,Total,13
2020,PER,All,Total,18
2020,PHL,All,Total,48
2020,POL,All,Total,10
2020,PRT,All,Total,11
2020,ROU,All,Total,8
2020,RUS,All,Total,11
2020,RWA,All,Total,8
2020,SAU,All,Total,35
2020,SEN,All,Total,21
2020,SRB,All,Total,9
2020,SLE,All,Total,35
2020,SGP,All,Total,4
2020,SVK,All,Total,14
2020,SVN,All,Total,7
2020,ZAF,All,Total,30
2020,ESP,All,Total,10
2020,LKA,All,Total,27
2020,SWE,All,Total,6
2020,CHE,All,Total,5
2020,TWN,All,Total,18
2020,TJK,All,Total,11
2020,TZA,All,Total,22
2020,THA,All,Total,17
2020,TGO,All,Total,26
2020,TUN,All,Total,24
2020,TUR,All,Total,31
2020,TKM,All,Total,2
2020,UGA,All,Total,26
2020,UKR,All,Total,10
2020,ARE,All,Total,38
2020,GBR,All,Total,11
2020,USA,All,Total,13
2020,URY,All,Total,15
2020,UZB,All,Total,6
2020,VEN,All,Total,26
2020,VNM,All,Total,10
2020,YEM,All,Total,26
2020,ZMB,All,Total,27
2020,ZWE,All,Total,27
2024,AFG,All,Total,33
2024,ALB,All,Total,20
2024,DZA,All,Total,22
2024,ARG,All,Total,20
2024,ARM,All,Total,18
2024,AZE,All,Total,8
2024,BGD,All,Total,15
2024,BEN,All,Total,25
2024,BOL,All,Total,27
2024,BIH,All,Total,10
2024,BWA,All,Total,35
2024,BRA,All,Total,24
2024,BGR,All,Total,7
