year,geo,value
2004,AFG,0.015601
2005,AFG,0.059808
2006,AFG,0.116381
2007,AFG,0.206287
2008,AFG,0.299597
2009,AFG,0.449157
2010,AFG,0.528944
2011,AFG,0.615837
2012,AFG,0.636844
2013,AFG,0.70517
2014,AFG,0.749717
2015,AFG,0.917248
2016,AFG,1.05993
2017,AFG,1.21324
2018,AFG,1.61195
2019,AFG,1.64043
2020,AFG,
2004,ALB,4.2275
2005,ALB,9.2617
2006,ALB,13.8734
2007,ALB,19.3657
2008,ALB,28.6294
2009,ALB,32.9408
2010,ALB,34.1317
2011,ALB,35.2852
2012,ALB,35.7375
2013,ALB,35.4275
2014,ALB,34.75
2015,ALB,35.2553
2016,ALB,34.0807
2017,ALB,31.7141
2018,ALB,30.6381
2019,ALB,29.9885
2020,ALB,31.4225
2004,DZA,1.26821
2005,DZA,1.50389
2006,DZA,2.38694
2007,DZA,3.71925
2008,DZA,4.20102
2009,DZA,5.32813
2010,DZA,5.92467
2011,DZA,6.10018
2012,DZA,6.20925
2013,DZA,6.51084
2014,DZA,7.60685
2015,DZA,8.35008
2016,DZA,8.57084
2017,DZA,9.12725
2018,DZA,9.53992
2019,DZA,9.63539
2020,DZA,8.90217
2004,AGO,0.854313
2005,AGO,1.45316
2006,AGO,3.04018
2007,AGO,4.4036
2008,AGO,6.23811
2009,AGO,8.34498
2010,AGO,10.4211
2011,AGO,12.7246
2012,AGO,15.1908
2013,AGO,16.9932
2014,AGO,18.1922
2015,AGO,18.8225
2016,AGO,19.0621
2017,AGO,19.1314
2018,AGO,18.9223
2019,AGO,18.3957
2020,AGO,
2004,ATG,52.8289
2005,ATG,65.1422
2006,ATG,63.8496
2007,ATG,60.915
2008,ATG,67.4266
2009,ATG,69.0258
2010,ATG,72.0677
2011,ATG,73.7496
2012,ATG,75.3448
2013,ATG,79.7437
2014,ATG,77.061
2015,ATG,74.5362
2016,ATG,68.1747
2017,ATG,66.0288
2018,ATG,66.6471
2019,ATG,65.9683
2020,ATG,61.4138
2004,ARG,1.87138
2005,ARG,2.09667
2006,ARG,2.879
2007,ARG,4.95749
2008,ARG,9.98982
2009,ARG,13.8582
2010,ARG,19.2882
2011,ARG,27.0495
2012,ARG,34.527
2013,ARG,43.3375
2014,ARG,45.668
2015,ARG,47.514
2016,ARG,50.3458
2017,ARG,53.1152
2018,ARG,58.9833
2019,ARG,60.7452
2020,ARG,62.4519
2004,ARM,3.04158
2005,ARM,4.95422
2006,ARM,7.69496
2007,ARM,14.4808
2008,ARM,23.1137
2009,ARM,30.239
2010,ARM,34.0472
2011,ARM,43.5413
2012,ARM,50.3974
2013,ARM,53.9141
2014,ARM,59.4316
2015,ARM,60.5618
2016,ARM,61.1632
2017,ARM,63.7367
2018,ARM,64.1142
2019,ARM,65.5422
2020,ARM,65.5179
2004,ABW,
2005,ABW,
2006,ABW,
2007,ABW,
2008,ABW,
2009,ABW,
2010,ABW,
2011,ABW,110.977
2012,ABW,119.575
2013,ABW,124.168
2014,ABW,117.937
2015,ABW,119.07
2016,ABW,125.993
2017,ABW,124.975
2018,ABW,126.432
2019,ABW,126.744
2020,ABW,125.839
2004,AUS,139.583
2005,AUS,146.463
2006,AUS,154.731
2007,AUS,155.282
2008,AUS,157.841
2009,AUS,154.322
2010,AUS,168.69
2011,AUS,170.511
2012,AUS,164.698
2013,AUS,161.165
2014,AUS,165.228
2015,AUS,163.896
2016,AUS,167.697
2017,AUS,160.324
2018,AUS,146.173
2019,AUS,136.538
2020,AUS,129.692
2004,AUT,116.156
2005,AUT,106.788
2006,AUT,108.336
2007,AUT,108.616
2008,AUT,110.156
2009,AUT,112.339
2010,AUT,112.918
2011,AUT,113.802
2012,AUT,115.627
2013,AUT,117.273
2014,AUT,186.367
2015,AUT,183.271
2016,AUT,162.923
