year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
1990,WLD,1.09,,,,
1991,WLD,23.81,,,,
1992,WLD,26.51,,,,
1993,WLD,26.18,,,,
1994,WLD,26.49,,,,
1995,WLD,31.59,,,,
1996,WLD,33.52,,,,
1997,WLD,33.47,,,,
1998,WLD,29.41,,,,
1999,WLD,30.29,,,,
2000,WLD,28.51,,,,
2001,WLD,25.63,,,,
2002,WLD,27.90,,,,
2003,WLD,36.21,,,,
2004,WLD,44.82,,,,
2005,WLD,48.62,,,,
2006,WLD,44.88,,,,
2007,WLD,32.22,,,,
2008,WLD,36.42,,,,
2009,WLD,24.00,,,,
2010,WLD,27.84,,,,
2011,WLD,21.48,,,,
2012,WLD,12.59,,,,
2013,WLD,11.13,,,,
2014,WLD,10.12,,,,
2015,WLD,8.11,,,,
2016,WLD,9.50,,,,
2017,WLD,10.21,,,,
2018,WLD,13.36,,,,
2019,WLD,13.13,,,,
2020,WLD,13.12,,,,
2021,WLD,14.53,,,,
2022,WLD,14.51,,,,
2030,WLD,,17.47,,170,
2050,WLD,,,,430,
