year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2015,WLD,Oil supply,592,,,,
2016,WLD,Oil supply,474,,,,
2017,WLD,Oil supply,501,,,,
2018,WLD,Oil supply,526,,,,
2019,WLD,Oil supply,491,,,,
2020,WLD,Oil supply,352,,,,
2021,WLD,Oil supply,421,,,,
2015,WLD,Gas supply,351,,,,
2016,WLD,Gas supply,299,,,,
2017,WLD,Gas supply,287,,,,
2018,WLD,Gas supply,290,,,,
2019,WLD,Gas supply,278,,,,
2020,WLD,Gas supply,224,,,,
2021,WLD,Gas supply,252,,,,
2015,WLD,Coal supply,114,,,,
2016,WLD,Coal supply,95,,,,
2017,WLD,Coal supply,88,,,,
2018,WLD,Coal supply,89,,,,
2019,WLD,Coal supply,105,,,,
2020,WLD,Coal supply,95,,,,
2021,WLD,Coal supply,105,,,,
2015,WLD,Fossil fuel power generation,160,,,,
2016,WLD,Fossil fuel power generation,154,,,,
2017,WLD,Fossil fuel power generation,143,,,,
2018,WLD,Fossil fuel power generation,130,,,,
2019,WLD,Fossil fuel power generation,129,,,,
2020,WLD,Fossil fuel power generation,111,,,,
2021,WLD,Fossil fuel power generation,119,,,,
2015,WLD,Total,1217,,,,
2016,WLD,Total,1022,,,,
2017,WLD,Total,1019,,,,
2018,WLD,Total,1035,,,,
2019,WLD,Total,1003,,,,
2020,WLD,Total,782,,,,
2021,WLD,Total,897,,,,
2030,WLD,Total,,449.7,,0,
