year,ISO,value,projections,benchmark_low,benchmark_mid,benchmark_high
1970,WLD,293.9178476,,,,
1971,WLD,309.8477269,,,,
1972,WLD,336.6723763,,,,
1973,WLD,348.7651741,,,,
1974,WLD,348.5176808,,,,
1975,WLD,346.2311026,,,,
1976,WLD,360.1430933,,,,
1977,WLD,377.4521727,,,,
1978,WLD,397.7477414,,,,
1979,WLD,407.9864607,,,,
1980,WLD,406.3735776,,,,
1981,WLD,405.8993805,,,,
1982,WLD,405.0548511,,,,
1983,WLD,414.9307187,,,,
1984,WLD,425.791932,,,,
1985,WLD,431.1791633,,,,
1986,WLD,450.2903389,,,,
1987,WLD,471.0445212,,,,
1988,WLD,497.8553733,,,,
1989,WLD,512.280311,,,,
1990,WLD,514.6725886,,,,
1991,WLD,520.6294708,,,,
1992,WLD,553.5694468,,,,
1993,WLD,581.4920508,,,,
1994,WLD,644.2532991,,,,
1995,WLD,670.8808229,,,,
1996,WLD,679.8534321,,,,
1997,WLD,680.892718,,,,
1998,WLD,665.7059058,,,,
1999,WLD,698.3689103,,,,
2000,WLD,731.0938438,,,,
2001,WLD,760.381271,,,,
2002,WLD,807.5772372,,,,
2003,WLD,888.9992733,,,,
2004,WLD,950.5094383,,,,
2005,WLD,1023.957441,,,,
2006,WLD,1125.729249,,,,
2007,WLD,1244.836968,,,,
2008,WLD,1240.592171,,,,
2009,WLD,1293.604295,,,,
2010,WLD,1387.95484,,,,
2011,WLD,1477.58502,,,,
2012,WLD,1534.61721,,,,
2013,WLD,1366.458036,,,,
2014,WLD,1399.344306,,,,
2015,WLD,1368.803896,,,,
2016,WLD,1432.567516,,,,
2017,WLD,1422.967937,,,,
2018,WLD,1511.994432,,,,
2019,WLD,1548.314668,,,,
2020,WLD,1590.006397,,,,
1970,AFG,0.046436,,,,
1971,AFG,0.036062,,,,
1972,AFG,0.044954,,,,
1973,AFG,0.06669,,,,
1974,AFG,0.074594,,,,
1975,AFG,0.072618,,,,
1976,AFG,0.06175,,,,
1977,AFG,0.0741,,,,
1978,AFG,0.062738,,,,
1979,AFG,0.048906,,,,
1980,AFG,0.042978,,,,
1981,AFG,0.038038,,,,
1982,AFG,0.043065,,,,
1983,AFG,0.06435,,,,
1984,AFG,0.05544,,,,
1985,AFG,0.063488,,,,
1986,AFG,0.051088,,,,
1987,AFG,0.051688,,,,
1988,AFG,0.03479,,,,
1989,AFG,0.0497,,,,
1990,AFG,0.0498,,,,
1991,AFG,0.054718,,,,
1992,AFG,0.058305,,,,
1993,AFG,0.058765,,,,
1994,AFG,0.05934,,,,
1995,AFG,0.0598,,,,
1996,AFG,0.060784,,,,
1997,AFG,0.061364,,,,
1998,AFG,0.061828,,,,
1999,AFG,0.062408,,,,
2000,AFG,0.0271,,,,
2001,AFG,0.02655,,,,
2002,AFG,0.0312,,,,
2003,AFG,0.03563,,,,
2004,AFG,0.03479,,,,
2005,AFG,0.02916,,,,
2006,AFG,0.0248,,,,
2007,AFG,0.02515,,,,
2008,AFG,0.017464,,,,
2009,AFG,0.014688,,,,
2010,AFG,0.015444,,,,
2011,AFG,0.01596,,,,
2012,AFG,0.0148,,,,
2013,AFG,0.019136,,,,
2014,AFG,0.031668,,,,
2015,AFG,0.0252,,,,
2016,AFG,0.0365014,,,,
