year,geo,value
2019,COM,11.2843
2020,COM,12.8963
2012,ARM,4.81208
2013,ARM,8.57043
2014,ARM,8.5353
2015,ARM,2.03723
2016,ARM,8.46505
2017,ARM,45.627
2018,ARM,141.588
2019,ARM,190.376
2020,ARM,225.325
2010,CMR,0.0423092
2011,CMR,0.325781
2012,CMR,1.03446
2013,CMR,14.4761
2014,CMR,12.8662
2015,CMR,53.8237
2016,CMR,76.2497
2017,CMR,174.665
2018,CMR,248.594
2019,CMR,364.83
2020,CMR,429.743
2012,AFG,0.891462
2013,AFG,1.16717
2014,AFG,1.65426
2015,AFG,2.34966
2016,AFG,2.19343
2017,AFG,2.9792
2018,AFG,2.94244
2019,AFG,3.29473
2014,BWA,0.356431
2015,BWA,3.06319
2016,BWA,2.74558
2017,BWA,2.38385
2018,BWA,2.56912
2019,BWA,5.13648
2020,BWA,6.04521
2014,TCD,1.43027
2015,TCD,1.84959
2016,TCD,1.9425
2017,TCD,1.54304
2018,TCD,15.2533
2019,TCD,15.1787
2020,TCD,14.2384
2013,BEN,3.97304
2014,BEN,27.3501
2015,BEN,93.0206
2016,BEN,185.145
2017,BEN,365.129
2018,BEN,642.675
2019,BEN,956.926
2011,BFA,0.281433
2012,BFA,9.75512
2013,BFA,1.76535
2014,BFA,21.1513
2015,BFA,59.2727
2016,BFA,46.3268
2017,BFA,158.227
2018,BFA,249.934
2019,BFA,443.904
2010,CIV,3.97484
2011,CIV,6.65094
2012,CIV,12.5472
2013,CIV,33.8113
2014,CIV,60.8805
2015,CIV,106.387
2016,CIV,126.255
2017,CIV,309.192
2018,CIV,464.097
2019,CIV,726.305
2015,ALB,7.84672
2016,ALB,11.2044
2018,ALB,46.1679
2019,ALB,52.6277
2020,ALB,58.3942
2015,AGO,0.113099
2016,AGO,0.121922
2017,AGO,0.330472
2018,AGO,0.458811
2019,AGO,0.141173
2009,KHM,1.8015
2010,KHM,3.90891
2011,KHM,4.71901
2012,KHM,4.62271
2013,KHM,5.24586
2014,KHM,12.7918
2015,KHM,20.5586
2016,KHM,103.257
2017,KHM,130.71
2018,KHM,196.091
2019,KHM,233.146
2020,KHM,262.112
2020,BHS,26.2737
2018,COL,1.10861
2019,COL,9.78819
2020,COL,39.9378
2014,COG,2.62079
2015,COG,2.35139
2016,COG,18.4422
2017,COG,4.05857
2016,CAF,0.00481556
2017,CAF,0.0481556
2007,KEN,2.77963
2008,KEN,10.725
2009,KEN,40.4329
2010,KEN,69.3133
2011,KEN,88.6794
2012,KEN,135.137
2013,KEN,198.774
2014,KEN,217.351
2015,KEN,252.918
2016,KEN,291.506
2017,KEN,320.61
2018,KEN,361.502
2019,KEN,393.766
2020,KEN,497.117
2013,GAB,1.14488
2012,MWI,40.804
2013,MWI,138.852
2016,MWI,259.079
2017,MWI,328.055
2018,MWI,418.265
2019,MWI,553.67
2010,MDG,1.36362
2011,MDG,3.33451
2012,MDG,5.57069
2013,MDG,7.79477
2014,MDG,12.8721
2015,MDG,18.6078
2016,MDG,23.1076
2017,MDG,33.221
2018,MDG,14.5806
2019,MDG,88.8707
2020,MDG,107.104
2013,LSO,47.5955
2014,LSO,82.4111
2015,LSO,116.403
2016,LSO,208.267
2017,LSO,255.27
2018,LSO,304.644
2019,LSO,388.406
2020,LSO,599.374
2011,HTI,31.8578
2012,HTI,34.9419
2013,HTI,36.0305
2014,HTI,22.2424
2015,HTI,45.6096
2012,GHA,38.0592
2013,GHA,76.8744
2014,GHA,118.173
2015,GHA,350.475
2016,GHA,601.077
2017,GHA,855.621
2018,GHA,1742.99
2019,GHA,1346.34
2020,GHA,1862.93
2014,JOR,0.0337914
2015,JOR,0.551926
2016,JOR,3.12007
2017,JOR,5.8797
2018,JOR,7.61433
2019,JOR,10.5542
2020,JOR,17.3125
2012,LBR,1.2147
2013,LBR,2.84468
2014,LBR,5.02492
2017,LBR,36.5968
2018,LBR,72.6225
2019,LBR,136.607
2020,LBR,316.715
2013,GUY,0.436881
2014,GUY,0.543561
2015,GUY,0.716281
2016,GUY,0.807722
2017,GUY,0.914402
2018,GUY,1.05156
2019,GUY,1.0414
2020,GUY,1.49352
2011,SWZ,12.9651
2012,SWZ,16.2209
2013,SWZ,22.3837
2014,SWZ,23.3721
2015,SWZ,72.5
2016,SWZ,118.198
2017,SWZ,205.756
2018,SWZ,210.349
2019,SWZ,455.174
2020,SWZ,724.535
2014,FJI,129.392
2015,FJI,19.7592
2016,FJI,19.2118
2017,FJI,22.9885
2018,FJI,20.0876
2020,FJI,15.1067
2019,EGY,353.391
2020,EGY,661.639
2015,IRQ,1.64237
2016,IRQ,4.60694
2017,IRQ,5.35096
2018,IRQ,6.60404
2015,GIN,17.117
2016,GIN,57.9074
2017,GIN,121.655
2018,GIN,147.485
2019,GIN,267.634
2020,GIN,365.916
2020,SLV,267.616
2019,GMB,132.806
2015,GNB,15.9317
2016,GNB,11.7354
2017,GNB,63.3713
2018,GNB,117.141
2019,GNB,347.76
2020,GNB,363.087
2011,PAK,29.203
2012,PAK,53.9215
2013,PAK,162.187
2014,PAK,264.727
2015,PAK,391.53
2016,PAK,466.747
2017,PAK,526.247
2018,PAK,551.576
2019,PAK,567.121
2020,PAK,625.048
2011,RWA,56.2221
2012,RWA,125.74
2013,RWA,353.709
2014,RWA,1161.9
2015,RWA,1640.33
2016,RWA,2430.16
2017,RWA,3385.93
2018,RWA,4372.03
2020,RWA,5317.11
2013,MOZ,6.43836
2014,MOZ,11.6826
2015,MOZ,22.7053
2016,MOZ,32.7501
2017,MOZ,37.6434
2018,MOZ,54.8399
2019,MOZ,71.3981
2020,MOZ,88.4407
2011,QAT,0.172265
2012,QAT,0.172265
2013,QAT,0.172265
2014,QAT,1.98105
2015,QAT,1.89492
2016,QAT,1.89492
2017,QAT,1.89492
2010,PHL,29.5771
2011,PHL,40.8827
2012,PHL,62.1961
2013,PHL,80.5883
2014,PHL,75.8896
2015,PHL,79.7565
2016,PHL,87.2925
2017,PHL,140.826
2018,PHL,93.8827
2019,PHL,95.3751
2013,SLB,1.64344
2014,SLB,4.60879
2015,SLB,5.93069
2016,SLB,9.71776
2017,SLB,8.36013
2018,SLB,5.50196
2019,SLB,4.7517
2020,SLB,3.75134
2010,NAM,0.00485856
2011,NAM,0.0194342
2012,NAM,0.241713
2013,NAM,0.241713
2014,NAM,0.283011
2015,NAM,0.494358
2016,NAM,1.21221
2017,NAM,0.404475
2018,NAM,1.15026
2019,NAM,0.210133
