year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
1993,WLD,5.27,,,,
1994,WLD,4.93,,,,
1995,WLD,4.88,,,,
1996,WLD,4.75,,,,
1997,WLD,4.89,,,,
1998,WLD,4.71,,,,
1999,WLD,4.27,,,,
2000,WLD,3.80,,,,
2001,WLD,3.63,,,,
2002,WLD,3.83,,,,
2003,WLD,3.89,,,,
2004,WLD,4.26,,,,
2005,WLD,4.29,,,,
2006,WLD,4.19,,,,
2007,WLD,4.27,,,,
2008,WLD,4.52,,,,
2009,WLD,4.53,,,,
2010,WLD,3.87,,,,
2011,WLD,3.66,,,,
2012,WLD,3.79,,,,
2013,WLD,4.38,,,,
2014,WLD,4.41,,,,
2015,WLD,4.36,,,,
2016,WLD,4.40,,,,
2017,WLD,4.02,,,,
2018,WLD,3.92,,,,
2019,WLD,3.95,,,,
2020,WLD,3.85,,,,
2021,WLD,3.78,,,,
2030,WLD,,3.30,,19.9,
