year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2011,WLD,50.6,,,,
2014,WLD,61.9,,,,
2017,WLD,68.5,,,,
2021,WLD,76.2,,,,
2030,WLD,,93.5,,100,
2011,AFG,9,,,,
2014,AFG,10,,,,
2017,AFG,14.9,,,,
2021,AFG,9.7,,,,
2011,ALB,28.3,,,,
2014,ALB,38,,,,
2017,ALB,40,,,,
2021,ALB,44.2,,,,
2011,DZA,33.3,,,,
2014,DZA,50.5,,,,
2017,DZA,42.8,,,,
2021,DZA,44.1,,,,
2011,AGO,39.2,,,,
2014,AGO,29.3,,,,
2011,ARG,33.1,,,,
2014,ARG,50.2,,,,
2017,ARG,48.7,,,,
2021,ARG,71.6,,,,
2011,ARM,17.5,,,,
2014,ARM,17.7,,,,
2017,ARM,47.8,,,,
2021,ARM,55.4,,,,
2011,AUS,99.1,,,,
2014,AUS,98.9,,,,
2017,AUS,99.5,,,,
2021,AUS,99.3,,,,
2011,AUT,97.1,,,,
2014,AUT,96.7,,,,
2017,AUT,98.2,,,,
2021,AUT,100,,,,
2011,AZE,14.9,,,,
2014,AZE,29.2,,,,
2017,AZE,28.6,,,,
2011,BHR,64.5,,,,
2014,BHR,81.9,,,,
2017,BHR,82.6,,,,
2011,BGD,31.7,,,,
2014,BGD,31,,,,
2017,BGD,50.1,,,,
2021,BGD,52.8,,,,
2011,BLR,58.6,,,,
2014,BLR,72,,,,
2017,BLR,81.2,,,,
2011,BEL,96.3,,,,
2014,BEL,98.1,,,,
2017,BEL,98.6,,,,
2021,BEL,99,,,,
2014,BLZ,48.2,,,,
2011,BEN,10.5,,,,
2014,BEN,16.6,,,,
2017,BEN,38.5,,,,
2021,BEN,48.6,,,,
2014,BTN,33.7,,,,
2011,BOL,28,,,,
2014,BOL,41.8,,,,
2017,BOL,54.4,,,,
2021,BOL,68.9,,,,
2011,BIH,56.2,,,,
2014,BIH,52.7,,,,
2017,BIH,58.8,,,,
2021,BIH,79.3,,,,
2011,BWA,30.3,,,,
2014,BWA,52,,,,
2017,BWA,51,,,,
2011,BRA,55.9,,,,
2014,BRA,68.1,,,,
2017,BRA,70,,,,
2021,BRA,84,,,,
2011,BGR,52.8,,,,
2014,BGR,63,,,,
2017,BGR,72.2,,,,
2021,BGR,84,,,,
2011,BFA,13.4,,,,
2014,BFA,14.4,,,,
2017,BFA,43.2,,,,
2021,BFA,36.1,,,,
2011,BDI,7.2,,,,
2014,BDI,7.1,,,,
2011,KHM,3.7,,,,
2014,KHM,22.2,,,,
2017,KHM,21.7,,,,
2021,KHM,33.4,,,,
2011,CMR,14.8,,,,
2014,CMR,12.2,,,,
2017,CMR,34.6,,,,
2021,CMR,51.7,,,,
2011,CAN,95.8,,,,
2014,CAN,99.1,,,,
2017,CAN,99.7,,,,
2021,CAN,99.6,,,,
2011,CAF,3.3,,,,
2017,CAF,13.8,,,,
2011,TCD,9,,,,
2014,TCD,12.4,,,,
2017,TCD,21.8,,,,
2011,CHL,42.2,,,,
2014,CHL,63.3,,,,
2017,CHL,74.4,,,,
2021,CHL,87.1,,,,
2011,CHN,63.8,,,,
2014,CHN,78.9,,,,
2017,CHN,79.5,,,,
2021,CHN,88.7,,,,
