year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2016,WLD,Oil & Gas,662.28,,,,
2017,WLD,Oil & Gas,680.29,,,,
2018,WLD,Oil & Gas,728.47,,,,
2019,WLD,Oil & Gas,764.63,,,,
2020,WLD,Oil & Gas,684.63,,,,
2021,WLD,Oil & Gas,680.9,,,,
2016,WLD,Coal,61.19,,,,
2017,WLD,Coal,57.27,,,,
2018,WLD,Coal,70.74,,,,
2019,WLD,Coal,65.31,,,,
2020,WLD,Coal,65.28,,,,
2021,WLD,Coal,60.93,,,,
2016,WLD,Total,723.47,,,,
2017,WLD,Total,737.56,,,,
2018,WLD,Total,799.21,,,,
2019,WLD,Total,829.94,,,,
2020,WLD,Total,749.91,,,,
2021,WLD,Total,741.83,,,,
2030,WLD,Total,,664,,0,
