year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2020,WLD,0.03,,,,
2021,WLD,0.04,,,,
2022,WLD,0.1,,,,
2023,WLD,,0.14,,0.19,
2024,WLD,,0.17,,0.35,
2025,WLD,,0.21,,0.65,
2026,WLD,,0.24,,1.21,
2027,WLD,,0.28,,2.24,
2028,WLD,,,,4.10,
2029,WLD,,,,7.41,
2030,WLD,,,,13.01,
2031,WLD,,,,21.86,
2032,WLD,,,,34.34,
2033,WLD,,,,49.44,
2034,WLD,,,,64.64,
2035,WLD,,,,77.37,
2036,WLD,,,,86.47,
2037,WLD,,,,92.28,
2038,WLD,,,,95.72,
2039,WLD,,,,97.66,
2040,WLD,,,,98.74,
2041,WLD,,,,99.32,
2042,WLD,,,,99.64,
2043,WLD,,,,99.80,
2044,WLD,,,,99.90,
2045,WLD,,,,99.94,
2046,WLD,,,,99.97,
2047,WLD,,,,99.98,
2048,WLD,,,,99.99,
2049,WLD,,,,100.00,
2050,WLD,,,,100.00,
