year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2019,AGO,Food organic waste,51.8,,,,
2019,AGO,Glass,6.7,,,,
2019,AGO,Metal,4.4,,,,
2019,AGO,Other,11.5,,,,
2019,AGO,Paper cardboard,11.9,,,,
2019,AGO,Plastic,13.5,,,,
2019,ALB,Food organic waste,51.4,,,,
2019,ALB,Glass,4.5,,,,
2019,ALB,Metal,4.8,,,,
2019,ALB,Other,15.21,,,,
2019,ALB,Paper cardboard,9.9,,,,
2019,ALB,Plastic,9.6,,,,
2019,ALB,Wood,4.6,,,,
2019,AND,Food organic waste,31.2,,,,
2019,AND,Glass,8.2,,,,
2019,AND,Metal,2.6,,,,
2019,AND,Other,11.6,,,,
2019,AND,Paper cardboard,35.1,,,,
2019,AND,Plastic,11.3,,,,
2019,ARE,Food organic waste,39,,,,
2019,ARE,Glass,4,,,,
2019,ARE,Metal,3,,,,
2019,ARE,Other,10,,,,
2019,ARE,Paper cardboard,25,,,,
2019,ARE,Plastic,19,,,,
2019,ARG,Food organic waste,38.74,,,,
2019,ARG,Glass,3.16,,,,
2019,ARG,Metal,1.84,,,,
2019,ARG,Other,15.36,,,,
2019,ARG,Paper cardboard,13.96,,,,
2019,ARG,Plastic,14.61,,,,
2019,ARG,Rubber leather,1.26,,,,
2019,ARG,Wood,1.09,,,,
2019,ARG,Yard garden green waste,9.95,,,,
2019,ARM,Food organic waste,57,,,,
2019,ARM,Glass,3.2,,,,
2019,ARM,Metal,3.4,,,,
2019,ARM,Other,17.4,,,,
2019,ARM,Paper cardboard,6.7,,,,
2019,ARM,Plastic,11.4,,,,
2019,ARM,Rubber leather,0.3,,,,
2019,ARM,Wood,0.6,,,,
2019,ASM,Food organic waste,19.7,,,,
2019,ASM,Glass,3.4,,,,
2019,ASM,Metal,7.9,,,,
2019,ASM,Other,25.6,,,,
2019,ASM,Paper cardboard,26.4,,,,
2019,ASM,Plastic,12.8,,,,
2019,ASM,Rubber leather,4.2,,,,
2019,ATG,Food organic waste,46,,,,
2019,ATG,Glass,7,,,,
2019,ATG,Metal,7,,,,
2019,ATG,Other,12,,,,
2019,ATG,Paper cardboard,15,,,,
2019,ATG,Plastic,13,,,,
2019,AUS,Food organic waste,48.44,,,,
2019,AUS,Glass,3.81,,,,
2019,AUS,Metal,19.38,,,,
2019,AUS,Other,3.46,,,,
