year,geo,value,projections,benchmark_low,benchmark_mid,benchmark _high
2012,ABW,11,,,,
2013,ABW,11.2,,,,
2014,ABW,12.9,,,,
2015,ABW,13.2,,,,
2016,ABW,13.2,,,,
2017,ABW,13.2,,,,
2018,ABW,13.3,,,,
2019,ABW,12.9,,,,
2020,ABW,12.9,,,,
2021,ABW,12.9,,,,
2012,AFG,55.1,,,,
2013,AFG,55.4,,,,
2014,AFG,55.8,,,,
2015,AFG,56.1,,,,
2016,AFG,59.6,,,,
2017,AFG,60,,,,
2018,AFG,60,,,,
2019,AFG,56.8,,,,
2020,AFG,56.8,,,,
2021,AFG,57.3,,,,
2012,AGO,51.5,,,,
2013,AGO,44.5,,,,
2014,AGO,43.9,,,,
2015,AGO,42.9,,,,
2016,AGO,56,,,,
2017,AGO,56.8,,,,
2018,AGO,59.6,,,,
2019,AGO,61.8,,,,
2020,AGO,64,,,,
2021,AGO,64,,,,
2012,AIA,0.2,,,,
2013,AIA,0.2,,,,
2014,AIA,4,,,,
2015,AIA,4,,,,
2016,AIA,7.3,,,,
2017,AIA,7.3,,,,
2018,AIA,4.6,,,,
2019,AIA,6,,,,
2020,AIA,6,,,,
2021,AIA,6,,,,
2012,ALB,94.4,,,,
2013,ALB,94.8,,,,
2014,ALB,94.6,,,,
2015,ALB,94.8,,,,
2016,ALB,95.1,,,,
2017,ALB,95.4,,,,
2018,ALB,95.5,,,,
2019,ALB,95.6,,,,
2020,ALB,95.9,,,,
2021,ALB,95.9,,,,
2012,AND,100,,,,
2013,AND,100,,,,
2014,AND,100,,,,
2015,AND,100,,,,
2016,AND,96.2,,,,
2017,AND,96.8,,,,
2018,AND,96.8,,,,
2019,AND,96.9,,,,
2020,AND,96.9,,,,
2021,AND,97,,,,
2012,ARE,0,,,,
2013,ARE,0.4,,,,
2014,ARE,0.5,,,,
2015,ARE,0.5,,,,
2016,ARE,0.5,,,,
2017,ARE,1.1,,,,
2018,ARE,1.9,,,,
2019,ARE,5.8,,,,
2020,ARE,6.6,,,,
2021,ARE,7.4,,,,
2012,ARG,32.8,,,,
2013,ARG,33,,,,
2014,ARG,32.4,,,,
2015,ARG,31.2,,,,
2016,ARG,30.9,,,,
2017,ARG,29.3,,,,
2018,ARG,29.4,,,,
2019,ARG,31.5,,,,
2020,ARG,33.1,,,,
2021,ARG,34.6,,,,
2012,ARM,30.9,,,,
2013,ARM,31.6,,,,
2014,ARM,31.7,,,,
2015,ARM,36.5,,,,
2016,ARM,36.9,,,,
2017,ARM,37.2,,,,
2018,ARM,37.8,,,,
2019,ARM,38.3,,,,
2020,ARM,39.1,,,,
2021,ARM,40.5,,,,
2012,ATG,0.4,,,,
2013,ATG,0.3,,,,
2014,ATG,0.3,,,,
2015,ATG,2.8,,,,
2016,ATG,4.2,,,,
2017,ATG,5.1,,,,
2018,ATG,9.7,,,,
2019,ATG,9.7,,,,
2020,ATG,16.9,,,,
2021,ATG,16.9,,,,
2012,AUS,22.5,,,,
2013,AUS,24.3,,,,
2014,AUS,25.5,,,,
2015,AUS,26.9,,,,
2016,AUS,28.8,,,,
2017,AUS,30.8,,,,
2018,AUS,32.9,,,,
2019,AUS,37.8,,,,
2020,AUS,42.2,,,,
2021,AUS,42.8,,,,
2012,AUT,72,,,,
2013,AUT,72.1,,,,
2014,AUT,73.4,,,,
2015,AUT,74.7,,,,
2016,AUT,76.7,,,,
2017,AUT,78.6,,,,
2018,AUT,79.5,,,,
2019,AUT,80.2,,,,
2020,AUT,80.3,,,,
2021,AUT,80.9,,,,
2012,AZE,16,,,,
2013,AZE,15,,,,
2014,AZE,15.2,,,,
2015,AZE,14.8,,,,
2016,AZE,15,,,,
2017,AZE,15,,,,
2018,AZE,16.3,,,,
2019,AZE,16.9,,,,
2020,AZE,17,,,,
2021,AZE,17.1,,,,
2012,BDI,78.4,,,,
2013,BDI,73.7,,,,
2014,BDI,73.7,,,,
2015,BDI,73.8,,,,
2016,BDI,74.2,,,,
2017,BDI,53.2,,,,
2018,BDI,53.2,,,,
2019,BDI,53.2,,,,
2020,BDI,53.2,,,,
2021,BDI,53.2,,,,
2012,BEL,24.6,,,,
2013,BEL,27.5,,,,
2014,BEL,28.6,,,,
2015,BEL,30.1,,,,
2016,BEL,31.4,,,,
2017,BEL,33.6,,,,
2018,BEL,36.4,,,,
2019,BEL,39.8,,,,
2020,BEL,43.9,,,,
2021,BEL,46.8,,,,
