year,geo,disagg,value
2010,WLD,Research and development,0.307026
2010,WLD,Management of resources,1.63269
2010,WLD,Total,1.93972
2011,WLD,Research and development,0.322592
2011,WLD,Management of resources,1.6793
2011,WLD,Total,2.00189
2012,WLD,Research and development,0.318272
2012,WLD,Management of resources,2.42771
2012,WLD,Total,2.74598
2013,WLD,Research and development,0.397714
2013,WLD,Management of resources,1.77395
2013,WLD,Total,2.17166
2014,WLD,Research and development,0.551548
2014,WLD,Management of resources,2.21115
2014,WLD,Total,2.7627
2015,WLD,Research and development,0.55196
2015,WLD,Management of resources,1.98041
2015,WLD,Total,2.53237
2016,WLD,Research and development,0.580669
2016,WLD,Management of resources,2.05322
2016,WLD,Total,2.63389
2017,WLD,Research and development,0.535536
2017,WLD,Management of resources,2.38825
2017,WLD,Total,2.92378
2018,WLD,Research and development,0.575003
2018,WLD,Management of resources,2.09262
2018,WLD,Total,2.66762
2010,ARG,Research and development,0.0126451
2010,ARG,Total,0.0126451
2011,ARG,Management of resources,0.00521747
2011,ARG,Research and development,0.013368
2011,ARG,Total,0.0185855
2012,ARG,Management of resources,0.00918619
2012,ARG,Research and development,0.0196572
2012,ARG,Total,0.0288434
2013,ARG,Management of resources,0.0104777
2013,ARG,Research and development,0.0183206
2013,ARG,Total,0.0287982
2014,ARG,Management of resources,0.00689882
2014,ARG,Research and development,0.0173944
2014,ARG,Total,0.0242932
2015,ARG,Management of resources,0.00818495
2015,ARG,Research and development,0.0184645
2015,ARG,Total,0.0266495
2016,ARG,Management of resources,0.0104469
2016,ARG,Research and development,0.0482231
2016,ARG,Total,0.0586701
2017,ARG,Management of resources,0.0181772
2017,ARG,Research and development,0.0429732
2017,ARG,Total,0.0611505
2018,ARG,Management of resources,0.0132257
2018,ARG,Research and development,0.0146443
2018,ARG,Total,0.02787
2010,AUS,Management of resources,0.0618168
2010,AUS,Research and development,0.0399076
2010,AUS,Total,0.101724
2011,AUS,Management of resources,0.0674446
2011,AUS,Research and development,0.0498215
2011,AUS,Total,0.117266
2012,AUS,Management of resources,0.0901996
2012,AUS,Research and development,0.0490046
2012,AUS,Total,0.139204
2013,AUS,Management of resources,0.0994327
2013,AUS,Research and development,0.0510254
2013,AUS,Total,0.150458
2014,AUS,Management of resources,0.0910114
2014,AUS,Research and development,0.0551491
2014,AUS,Total,0.14616
2015,AUS,Management of resources,0.0752154
2015,AUS,Research and development,0.0465009
2015,AUS,Total,0.121716
2016,AUS,Management of resources,0.073881
2016,AUS,Research and development,0.0480928
2016,AUS,Total,0.121974
2017,AUS,Management of resources,0.0902673
2017,AUS,Research and development,0.0518794
2017,AUS,Total,0.142147
2018,AUS,Management of resources,0.0698869
2018,AUS,Research and development,0.0463879
2018,AUS,Total,0.116275
2010,BEL,Management of resources,0.000605198
2010,BEL,Research and development,0.000995254
2010,BEL,Total,0.00160045
2011,BEL,Management of resources,0.00347015
2011,BEL,Research and development,0.00120973
2011,BEL,Total,0.00467988
2012,BEL,Management of resources,0.00451539
2012,BEL,Research and development,0.000524851
2012,BEL,Total,0.00504024
2013,BEL,Research and development,0.000322385
2013,BEL,Total,0.000322385
2014,BEL,Management of resources,0.000748927
2014,BEL,Research and development,0.000481784
2014,BEL,Total,0.00123071
2015,BEL,Management of resources,0.000148854
2015,BEL,Research and development,0.00046086
2015,BEL,Total,0.000609714
2016,BEL,Management of resources,0.0056711
2016,BEL,Research and development,0.000819348
2016,BEL,Total,0.00649045
2017,BEL,Management of resources,0.00716208
2017,BEL,Research and development,0.000568277
2017,BEL,Total,0.00773036
2018,BEL,Management of resources,0.0102377
2018,BEL,Research and development,0.000206207
2018,BEL,Total,0.0104439
2012,BRA,Management of resources,0.0610326
2012,BRA,Research and development,0.0031234
2012,BRA,Total,0.064156
2013,BRA,Management of resources,0.0540456
2013,BRA,Research and development,4.63416e-05
2013,BRA,Total,0.054092
2014,BRA,Management of resources,0.0783843
2014,BRA,Research and development,0.00424888
2014,BRA,Total,0.0826332
2015,BRA,Management of resources,0.0384853
2015,BRA,Research and development,0
2015,BRA,Total,0.0384853
2016,BRA,Management of resources,0.00307285
2016,BRA,Research and development,0
2016,BRA,Total,0.00307285
2017,BRA,Management of resources,0.00579716
2017,BRA,Research and development,0
2017,BRA,Total,0.00579716
2018,BRA,Management of resources,0.00222462
2018,BRA,Research and development,0
2018,BRA,Total,0.00222462
2010,CAN,Management of resources,0.450104
2010,CAN,Total,0.450104
2011,CAN,Management of resources,0.46195
2011,CAN,Total,0.46195
2012,CAN,Management of resources,0.411225
2012,CAN,Total,0.411225
2013,CAN,Management of resources,0.385273
2013,CAN,Total,0.385273
2014,CAN,Management of resources,0.345322
2014,CAN,Total,0.345322
2015,CAN,Management of resources,0.297427
2015,CAN,Total,0.297427
2016,CAN,Management of resources,0.293096
2016,CAN,Total,0.293096
2017,CAN,Management of resources,0.365096
2017,CAN,Total,0.365096
2018,CAN,Management of resources,0.390068
2018,CAN,Total,0.390068
2010,CHL,Management of resources,0.000390014
2010,CHL,Total,0.000390014
2011,CHL,Management of resources,0.00114041
2011,CHL,Total,0.00114041
2012,CHL,Management of resources,0.00153297
2012,CHL,Total,0.00153297
2013,CHL,Management of resources,0.00115571
2013,CHL,Total,0.00115571
2014,CHL,Management of resources,0.00101203
2014,CHL,Total,0.00101203
2015,CHL,Management of resources,0.000170711
2015,CHL,Total,0.000170711
2016,CHL,Management of resources,0.000491471
2016,CHL,Total,0.000491471
2017,CHL,Management of resources,0.000962295
2017,CHL,Total,0.000962295
2018,CHL,Management of resources,5.85889e-05
2018,CHL,Total,5.85889e-05
2010,CHN,Management of resources,0.0779204
2010,CHN,Research and development,0.00295466
