year,geo,disagg,value
2010,WLD,Electric arc furnace,6.5
2011,WLD,Electric arc furnace,10.2
2012,WLD,Electric arc furnace,7.0
2013,WLD,Electric arc furnace,9.4
2014,WLD,Electric arc furnace,12.7
2015,WLD,Electric arc furnace,5.7
2016,WLD,Electric arc furnace,2.9
2017,WLD,Electric arc furnace,2.7
2018,WLD,Electric arc furnace,7.1
2019,WLD,Electric arc furnace,0.0
2020,WLD,Electric arc furnace,10.2
2021,WLD,Electric arc furnace,13.2
2022,WLD,Electric arc furnace,30.4
2010,WLD,Blast furnace,27.1
2011,WLD,Blast furnace,27.9
2012,WLD,Blast furnace,10.7
2013,WLD,Blast furnace,14.2
2014,WLD,Blast furnace,3.3
2015,WLD,Blast furnace,2.2
2016,WLD,Blast furnace,12.0
2017,WLD,Blast furnace,9.1
2018,WLD,Blast furnace,6.2
2019,WLD,Blast furnace,16.2
2020,WLD,Blast furnace,29.9
2021,WLD,Blast furnace,22.7
2022,WLD,Blast furnace,43.0
2010,WLD,Direct reduced iron,2.4
2011,WLD,Direct reduced iron,5.0
2012,WLD,Direct reduced iron,1.1
2013,WLD,Direct reduced iron,2.5
2014,WLD,Direct reduced iron,0.0
2015,WLD,Direct reduced iron,0.0
2016,WLD,Direct reduced iron,0.0
2017,WLD,Direct reduced iron,2.2
2018,WLD,Direct reduced iron,0.8
2019,WLD,Direct reduced iron,0.0
2020,WLD,Direct reduced iron,0.0
2021,WLD,Direct reduced iron,2.5
2022,WLD,Direct reduced iron,4.3
2010,WLD,Blast furnace and direct reduced iron,0.0
2011,WLD,Blast furnace and direct reduced iron,0.0
2012,WLD,Blast furnace and direct reduced iron,0.0
2013,WLD,Blast furnace and direct reduced iron,6.0
2014,WLD,Blast furnace and direct reduced iron,0.0
2015,WLD,Blast furnace and direct reduced iron,0.0
2016,WLD,Blast furnace and direct reduced iron,0.0
2017,WLD,Blast furnace and direct reduced iron,0.0
2018,WLD,Blast furnace and direct reduced iron,0.0
2019,WLD,Blast furnace and direct reduced iron,0.0
2020,WLD,Blast furnace and direct reduced iron,0.0
2021,WLD,Blast furnace and direct reduced iron,0.0
2022,WLD,Blast furnace and direct reduced iron,0.0
2010,WLD,Oxygen,0.0
2011,WLD,Oxygen,0.0
2012,WLD,Oxygen,0.0
2013,WLD,Oxygen,0.0
2014,WLD,Oxygen,0.0
2015,WLD,Oxygen,0.0
2016,WLD,Oxygen,0.0
2017,WLD,Oxygen,0.0
2018,WLD,Oxygen,0.0
2019,WLD,Oxygen,0.0
2020,WLD,Oxygen,0.0
2021,WLD,Oxygen,4.7
2022,WLD,Oxygen,18.4
2010,WLD,Unknown,1.1
2011,WLD,Unknown,0.0
2012,WLD,Unknown,0.0
2013,WLD,Unknown,0.0
2014,WLD,Unknown,0.0
2015,WLD,Unknown,0.8
2016,WLD,Unknown,0.0
2017,WLD,Unknown,0.0
2018,WLD,Unknown,0.0
2019,WLD,Unknown,6.0
2020,WLD,Unknown,1.7
2021,WLD,Unknown,0.0
2022,WLD,Unknown,0.0
2010,WLD,Total,37.1
2011,WLD,Total,43.1
2012,WLD,Total,18.8
2013,WLD,Total,32.0
2014,WLD,Total,16.0
2015,WLD,Total,8.6
2016,WLD,Total,14.8
2017,WLD,Total,14.0
2018,WLD,Total,14.1
2019,WLD,Total,22.2
2020,WLD,Total,41.8
2021,WLD,Total,43.1
2022,WLD,Total,96.0
