year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2011,WLD,1760,,,,
2012,WLD,1750,,,,
2013,WLD,1820,,,,
2014,WLD,1800,,,,
2015,WLD,1870,,,,
2016,WLD,1870,,,,
2017,WLD,1840,,,,
2018,WLD,1810,,,,
2019,WLD,1850,,,,
2020,WLD,1890,,,,
2021,WLD,,,1834.5,1835.25,1836
2022,WLD,,,1779,1780.5,1782
2023,WLD,,,1723.5,1725.75,1728
2024,WLD,,,1668,1671,1674
2025,WLD,,1915,1612.5,1616.25,1620
2026,WLD,,,1557,1561.5,1566
2027,WLD,,,1501.5,1506.75,1512
2028,WLD,,,1446,1452,1458
2029,WLD,,,1390.5,1397.25,1404
2030,WLD,,,1335,1342.5,1350
2031,WLD,,,1268.25,1278.625,1289
2032,WLD,,,1201.5,1214.75,1228
2033,WLD,,,1134.75,1150.875,1167
2034,WLD,,,1068,1087,1106
2035,WLD,,,1001.25,1023.125,1045
2036,WLD,,,934.5,959.25,984
2037,WLD,,,867.75,895.375,923
2038,WLD,,,801,831.5,862
2039,WLD,,,734.25,767.625,801
2040,WLD,,,667.5,703.75,740
2041,WLD,,,600.75,639.875,679
2042,WLD,,,534,576,618
2043,WLD,,,467.25,512.125,557
2044,WLD,,,400.5,448.25,496
2045,WLD,,,333.75,384.375,435
2046,WLD,,,267,320.5,374
2047,WLD,,,200.25,256.625,313
2048,WLD,,,133.5,192.75,252
2049,WLD,,,66.75,128.875,191
2050,WLD,,,0,65,130
