year,geo,disagg,value
1996,ABW,Voice and Accountability,
1998,ABW,Voice and Accountability,
2000,ABW,Voice and Accountability,
2002,ABW,Voice and Accountability,
2003,ABW,Voice and Accountability,
2004,ABW,Voice and Accountability,0.74
2005,ABW,Voice and Accountability,1.15
2006,ABW,Voice and Accountability,1.02
2007,ABW,Voice and Accountability,0.97
2008,ABW,Voice and Accountability,0.97
2009,ABW,Voice and Accountability,1.25
2010,ABW,Voice and Accountability,1.28
2011,ABW,Voice and Accountability,1.27
2012,ABW,Voice and Accountability,1.28
2013,ABW,Voice and Accountability,1.28
2014,ABW,Voice and Accountability,1.28
2015,ABW,Voice and Accountability,1.27
2016,ABW,Voice and Accountability,1.28
2017,ABW,Voice and Accountability,1.3
2018,ABW,Voice and Accountability,1.27
2019,ABW,Voice and Accountability,1.26
2020,ABW,Voice and Accountability,1.29
1996,AND,Voice and Accountability,1.56
1998,AND,Voice and Accountability,1.53
2000,AND,Voice and Accountability,1.54
2002,AND,Voice and Accountability,1.44
2003,AND,Voice and Accountability,1.42
2004,AND,Voice and Accountability,1.56
2005,AND,Voice and Accountability,1.53
2006,AND,Voice and Accountability,1.33
2007,AND,Voice and Accountability,1.31
2008,AND,Voice and Accountability,1.33
2009,AND,Voice and Accountability,1.32
2010,AND,Voice and Accountability,1.32
2011,AND,Voice and Accountability,1.36
2012,AND,Voice and Accountability,1.43
2013,AND,Voice and Accountability,1.41
2014,AND,Voice and Accountability,1.17
2015,AND,Voice and Accountability,1.19
2016,AND,Voice and Accountability,1.18
2017,AND,Voice and Accountability,1.16
2018,AND,Voice and Accountability,1.04
2019,AND,Voice and Accountability,1.11
2020,AND,Voice and Accountability,1.09
1996,AFG,Voice and Accountability,-1.91
1998,AFG,Voice and Accountability,-2.04
2000,AFG,Voice and Accountability,-2.03
2002,AFG,Voice and Accountability,-1.43
2003,AFG,Voice and Accountability,-1.18
2004,AFG,Voice and Accountability,-1.2
2005,AFG,Voice and Accountability,-1.13
2006,AFG,Voice and Accountability,-1.11
2007,AFG,Voice and Accountability,-1.06
2008,AFG,Voice and Accountability,-1.17
2009,AFG,Voice and Accountability,-1.38
2010,AFG,Voice and Accountability,-1.4
2011,AFG,Voice and Accountability,-1.34
2012,AFG,Voice and Accountability,-1.27
2013,AFG,Voice and Accountability,-1.24
2014,AFG,Voice and Accountability,-1.14
2015,AFG,Voice and Accountability,-1.12
2016,AFG,Voice and Accountability,-1.04
2017,AFG,Voice and Accountability,-0.99
2018,AFG,Voice and Accountability,-1.01
2019,AFG,Voice and Accountability,-1.01
2020,AFG,Voice and Accountability,-1.08
1996,AGO,Voice and Accountability,-1.58
1998,AGO,Voice and Accountability,-1.41
2000,AGO,Voice and Accountability,-1.46
2002,AGO,Voice and Accountability,-1.24
2003,AGO,Voice and Accountability,-1.27
2004,AGO,Voice and Accountability,-1.29
2005,AGO,Voice and Accountability,-1.23
2006,AGO,Voice and Accountability,-1.25
2007,AGO,Voice and Accountability,-1.19
2008,AGO,Voice and Accountability,-1.12
2009,AGO,Voice and Accountability,-1.13
2010,AGO,Voice and Accountability,-1.12
2011,AGO,Voice and Accountability,-1.13
2012,AGO,Voice and Accountability,-1.08
2013,AGO,Voice and Accountability,-1.11
2014,AGO,Voice and Accountability,-1.15
2015,AGO,Voice and Accountability,-1.18
2016,AGO,Voice and Accountability,-1.14
2017,AGO,Voice and Accountability,-1.1
2018,AGO,Voice and Accountability,-0.91
2019,AGO,Voice and Accountability,-0.78
2020,AGO,Voice and Accountability,-0.81
1996,AIA,Voice and Accountability,
1998,AIA,Voice and Accountability,
2000,AIA,Voice and Accountability,
2002,AIA,Voice and Accountability,
2003,AIA,Voice and Accountability,
2004,AIA,Voice and Accountability,0.85
2005,AIA,Voice and Accountability,0.9
2006,AIA,Voice and Accountability,1.02
2007,AIA,Voice and Accountability,0.97
2008,AIA,Voice and Accountability,0.97
2009,AIA,Voice and Accountability,0.96
2010,AIA,Voice and Accountability,0.99
2011,AIA,Voice and Accountability,1.01
2012,AIA,Voice and Accountability,1.03
2013,AIA,Voice and Accountability,1
2014,AIA,Voice and Accountability,
2015,AIA,Voice and Accountability,
2016,AIA,Voice and Accountability,
2017,AIA,Voice and Accountability,
2018,AIA,Voice and Accountability,
2019,AIA,Voice and Accountability,
2020,AIA,Voice and Accountability,
1996,ALB,Voice and Accountability,-0.65
1998,ALB,Voice and Accountability,-0.39
2000,ALB,Voice and Accountability,-0.29
2002,ALB,Voice and Accountability,-0.01
2003,ALB,Voice and Accountability,0.07
2004,ALB,Voice and Accountability,0.01
2005,ALB,Voice and Accountability,0
2006,ALB,Voice and Accountability,0.08
2007,ALB,Voice and Accountability,0.11
2008,ALB,Voice and Accountability,0.17
2009,ALB,Voice and Accountability,0.14
2010,ALB,Voice and Accountability,0.12
2011,ALB,Voice and Accountability,0.06
2012,ALB,Voice and Accountability,0.02
2013,ALB,Voice and Accountability,0.05
2014,ALB,Voice and Accountability,0.14
2015,ALB,Voice and Accountability,0.16
2016,ALB,Voice and Accountability,0.17
2017,ALB,Voice and Accountability,0.2
2018,ALB,Voice and Accountability,0.18
2019,ALB,Voice and Accountability,0.14
2020,ALB,Voice and Accountability,0.09
1996,ANT,Voice and Accountability,
1998,ANT,Voice and Accountability,
2000,ANT,Voice and Accountability,
2002,ANT,Voice and Accountability,
2003,ANT,Voice and Accountability,
2004,ANT,Voice and Accountability,0.5
2005,ANT,Voice and Accountability,0.65
2006,ANT,Voice and Accountability,0.55
2007,ANT,Voice and Accountability,0.52
2008,ANT,Voice and Accountability,0.53
2009,ANT,Voice and Accountability,0.3
2010,ANT,Voice and Accountability,0.33
2011,ANT,Voice and Accountability,0.34
2012,ANT,Voice and Accountability,0.35
2013,ANT,Voice and Accountability,0.34
2014,ANT,Voice and Accountability,
2015,ANT,Voice and Accountability,
2016,ANT,Voice and Accountability,
2017,ANT,Voice and Accountability,
2018,ANT,Voice and Accountability,
2019,ANT,Voice and Accountability,
2020,ANT,Voice and Accountability,
1996,ARE,Voice and Accountability,-0.41
1998,ARE,Voice and Accountability,-0.52
2000,ARE,Voice and Accountability,-0.52
2002,ARE,Voice and Accountability,-0.63
2003,ARE,Voice and Accountability,-0.91
2004,ARE,Voice and Accountability,-0.69
2005,ARE,Voice and Accountability,-0.71
2006,ARE,Voice and Accountability,-1
2007,ARE,Voice and Accountability,-0.91
2008,ARE,Voice and Accountability,-0.91
2009,ARE,Voice and Accountability,-0.84
2010,ARE,Voice and Accountability,-0.9
2011,ARE,Voice and Accountability,-0.9
2012,ARE,Voice and Accountability,-1
2013,ARE,Voice and Accountability,-1.02
2014,ARE,Voice and Accountability,-1.06
2015,ARE,Voice and Accountability,-1.11
2016,ARE,Voice and Accountability,-1.05
2017,ARE,Voice and Accountability,-1.1
2018,ARE,Voice and Accountability,-1.13
2019,ARE,Voice and Accountability,-1.14
2020,ARE,Voice and Accountability,-1.18
