year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2019,ABW,0.09,,,,
2019,AFG,5.63,,,,
2019,AGO,4.21,,,,
2019,ALB,1.09,,,,
2019,AND,0.04,,,,
2019,ARE,5.62,,,,
2019,ARG,17.9,,,,
2019,ARM,0.49,,,,
2019,ASM,0.02,,,,
2019,ATG,0.03,,,,
2019,AUS,13.3,,,,
2019,AUT,5.22,,,,
2019,AZE,2.93,,,,
2019,BDI,1.87,,,,
2019,BEL,4.77,,,,
2019,BEN,0.69,,,,
2019,BFA,2.58,,,,
2019,BGD,14.8,,,,
2019,BGR,2.86,,,,
2019,BHR,0.95,,,,
2019,BHS,0.26,,,,
2019,BIH,1.25,,,,
2019,BLR,4.28,,,,
2019,BLZ,0.1,,,,
2019,BMU,0.08,,,,
2019,BOL,2.22,,,,
2019,BRA,79.1,,,,
2019,BRB,0.17,,,,
2019,BRN,0.22,,,,
2019,BTN,0.11,,,,
2019,BWA,0.21,,,,
2019,CAF,1.11,,,,
2019,CAN,25.1,,,,
2019,CHE,6.08,,,,
2019,CHI,0.18,,,,
2019,CHL,6.52,,,,
2019,CHN,395,,,,
2019,CIV,4.44,,,,
2019,CMR,3.27,,,,
2019,COD,14.4,,,,
2019,COG,0.45,,,,
2019,COL,12.2,,,,
2019,COM,0.09,,,,
2019,CPV,0.13,,,,
2019,CRI,1.46,,,,
2019,CUB,2.69,,,,
2019,CUW,0.02,,,,
2019,CYM,0.06,,,,
2019,CYP,0.77,,,,
2019,CZE,5.33,,,,
2019,DEU,50.6,,,,
2019,DJI,0.11,,,,
2019,DMA,0.01,,,,
2019,DNK,4.91,,,,
2019,DOM,4.06,,,,
2019,DZA,12.4,,,,
2019,ECU,5.3,,,,
2019,EGY,21,,,,
2019,ERI,0.73,,,,
2019,ESP,22.4,,,,
2019,EST,0.49,,,,
2019,ETH,6.53,,,,
2019,FIN,3.12,,,,
2019,FJI,0.19,,,,
2019,FRA,36.7,,,,
2019,FRO,0.06,,,,
2019,FSM,0.03,,,,
2019,GAB,0.24,,,,
2019,GBR,30.8,,,,
2019,GEO,0.8,,,,
2019,GHA,3.54,,,,
2019,GIB,0.02,,,,
2019,GIN,0.6,,,,
2019,GMB,0.19,,,,
2019,GNB,0.29,,,,
2019,GNQ,0.2,,,,
2019,GRC,5.62,,,,
